symbol,tf,quarter,train_pf_2x,cfg,test_pf_2x,test_trades
XAUUSD,15m,2024-10-01,1.742,107,0.4353,14
XAUUSD,15m,2025-01-01,1.6463,258,0.8851,23
XAUUSD,15m,2025-04-01,1.587,582,1.6506,20
XAUUSD,15m,2025-07-01,1.8112,98,0.2887,18
XAUUSD,15m,2025-10-01,1.748,97,1.9783,17
XAUUSD,15m,2026-01-01,1.7027,209,0.8346,15
XAUUSD,15m,2026-04-01,2.2088,215,1.058,15
XAUUSD,30m,2024-10-01,1.5336,368,0.8545,15
XAUUSD,30m,2025-01-01,2.8578,264,4.341,11
XAUUSD,30m,2025-04-01,3.1633,266,0.5893,11
XAUUSD,30m,2025-07-01,2.2125,320,1.4257,12
XAUUSD,30m,2025-10-01,1.9825,483,1.857,12
XAUUSD,30m,2026-01-01,2.2974,483,1.3444,12
XAUUSD,30m,2026-04-01,2.5345,483,1.1698,12
XAUUSD,1h,2024-10-01,1.5399,586,1.6036,13
XAUUSD,1h,2025-01-01,2.5064,103,1.9811,8
XAUUSD,1h,2025-04-01,4.0004,44,1.5798,9
XAUUSD,1h,2025-07-01,4.071,48,0.7544,10
XAUUSD,1h,2025-10-01,1.9302,48,2.8043,9
XAUUSD,1h,2026-01-01,1.8466,40,0.9784,12
XAUUSD,1h,2026-04-01,1.8211,644,1.9894,11
XAUUSD,4h,2024-10-01,2.3408,132,2.8778,15
XAUUSD,4h,2025-01-01,3.5411,203,0.5191,8
XAUUSD,4h,2025-04-01,2.3899,140,0.7708,11
XAUUSD,4h,2025-07-01,1.9427,154,1.0581,10
XAUUSD,4h,2025-10-01,2.3686,282,0.7643,9
XAUUSD,4h,2026-01-01,2.3187,433,0.8428,8
XAUUSD,4h,2026-04-01,2.5481,433,5.3768,6
XAGUSD,30m,2024-10-01,1.9956,589,1.1601,11
XAGUSD,30m,2025-01-01,1.8463,424,1.0734,12
XAGUSD,30m,2025-04-01,1.5236,630,1.6319,52
XAGUSD,30m,2025-07-01,2.3097,420,0.7665,32
XAGUSD,30m,2025-10-01,2.3871,154,0.5691,15
XAGUSD,30m,2026-01-01,2.0701,422,0.8469,12
XAGUSD,30m,2026-04-01,2.5032,51,0.6544,10
XAGUSD,1h,2024-10-01,2.1138,525,0.9486,17
XAGUSD,1h,2025-01-01,2.1924,209,2.3327,9
XAGUSD,1h,2025-04-01,2.1463,152,1.3304,11
XAGUSD,1h,2025-07-01,2.7636,311,0.7069,11
XAGUSD,1h,2025-10-01,2.8086,317,0.8566,9
XAGUSD,1h,2026-01-01,2.5589,317,3.1895,7
XAGUSD,1h,2026-04-01,2.1674,85,0.5651,8
XAGUSD,4h,2024-10-01,1.6588,486,1.7585,5
XAGUSD,4h,2025-01-01,1.6346,647,3.9941,7
XAGUSD,4h,2025-04-01,1.8809,639,3.2095,10
XAGUSD,4h,2025-07-01,1.9944,639,1.7455,10
XAGUSD,4h,2025-10-01,2.2432,66,0.9511,9
