symbol,tf,rule,folds,r_per_day,days_to_target,trades,pf_2x,total_r,max_dd_r,q_above_1,q_scored
XAUUSD,15m,single,7,0.014,676.0,122,1.1972,8.9,-9.43,3,7
XAUUSD,15m,top10,7,-0.0197,,1567,0.8399,-12.56,-14.98,2,7
XAUUSD,30m,single,7,0.006,1175.8,91,1.1212,3.85,-7.1,3,7
XAUUSD,30m,top10,7,0.0112,470.0,1103,1.1668,7.18,-5.29,3,7
XAUUSD,1h,single,7,-0.0138,,90,0.7246,-8.8,-10.18,3,7
XAUUSD,1h,top10,7,-0.0033,,883,0.9258,-2.09,-5.31,4,7
XAUUSD,4h,single,7,-0.026,,137,0.7581,-16.58,-22.89,1,7
XAUUSD,4h,top10,7,0.0002,21503.1,1100,1.0021,0.1,-3.26,3,7
XAGUSD,30m,single,7,0.0167,470.8,74,1.4412,10.63,-7.84,4,7
XAGUSD,30m,top10,7,0.0109,276.5,774,1.2574,6.95,-3.01,3,7
XAGUSD,1h,single,7,0.0059,639.5,80,1.1903,3.79,-3.8,5,7
XAGUSD,1h,top10,7,0.0061,478.2,847,1.1638,3.9,-2.92,4,7
XAGUSD,4h,single,7,0.0121,248.0,56,1.4943,7.72,-3.0,5,7
XAGUSD,4h,top10,7,0.0061,199.6,597,1.1948,3.89,-1.22,4,7
BTCUSDT,30m,single,31,0.0014,19662.4,519,1.0193,3.83,-26.62,18,31
BTCUSDT,30m,top10,31,-0.0049,,5720,0.9406,-13.87,-27.64,17,31
BTCUSDT,1h,single,31,-0.0004,,488,0.9928,-1.22,-14.95,14,31
BTCUSDT,1h,top10,31,-0.0139,,5591,0.8286,-39.24,-46.56,9,31
BTCUSDT,4h,single,31,0.0006,32299.9,346,1.0143,1.77,-20.24,14,31
BTCUSDT,4h,top10,31,0.0022,5326.3,3290,1.059,6.29,-11.83,16,31
ETHUSDT,1h,single,25,-0.001,,365,0.9801,-2.32,-21.74,11,25
ETHUSDT,1h,top10,25,0.0004,43943.1,3657,1.0087,1.0,-19.25,14,25
ETHUSDT,4h,single,25,-0.0014,,263,0.9522,-3.13,-9.5,14,24
ETHUSDT,4h,top10,25,-0.0013,,2442,0.9465,-2.94,-4.99,15,25
SOLUSDT,1h,single,19,-0.0021,,261,0.9527,-3.61,-10.93,8,19
SOLUSDT,1h,top10,19,-0.0011,,2601,0.9749,-1.89,-7.83,8,19
SOLUSDT,4h,single,19,0.0021,4856.8,193,1.0733,3.69,-10.35,11,19
SOLUSDT,4h,top10,19,0.0033,2614.7,1944,1.1095,5.73,-8.64,11,19
EURUSD,1h,single,7,-0.0039,,70,0.8771,-2.51,-5.98,3,7
EURUSD,1h,top10,7,-0.0107,,775,0.746,-6.84,-7.33,2,7
AUDUSD,1h,single,7,-0.0017,,64,0.9349,-1.07,-5.61,3,7
AUDUSD,1h,top10,7,-0.0039,,691,0.8704,-2.51,-4.9,4,7
