symbol,tf,quarter,train_pf_2x,cfg,test_pf_2x,test_trades
XAUUSD,15m,2024-10-01,1.8849,584,0.5045,17
XAUUSD,15m,2025-01-01,1.6651,535,1.5632,14
XAUUSD,15m,2025-04-01,1.525,638,1.6872,15
XAUUSD,15m,2025-07-01,2.0526,422,3.3522,16
XAUUSD,15m,2025-10-01,2.3778,156,2.2287,16
XAUUSD,15m,2026-01-01,2.5548,422,1.8668,19
XAUUSD,15m,2026-04-01,3.2148,582,0.6817,25
XAUUSD,30m,2024-10-01,2.1526,644,2.0784,13
XAUUSD,30m,2025-01-01,1.96,582,1.4205,16
XAUUSD,30m,2025-04-01,2.107,150,1.6245,17
XAUUSD,30m,2025-07-01,1.8626,150,2.2094,15
XAUUSD,30m,2025-10-01,2.1925,375,2.1467,16
XAUUSD,30m,2026-01-01,3.5307,644,1.9829,13
XAUUSD,30m,2026-04-01,2.9915,644,1.5792,13
XAUUSD,1h,2024-10-01,2.1961,421,5.6964,12
XAUUSD,1h,2025-01-01,2.599,376,0.8304,10
XAUUSD,1h,2025-04-01,2.2521,376,0.9264,12
XAUUSD,1h,2025-07-01,2.1436,309,1.2881,22
XAUUSD,1h,2025-10-01,2.4955,99,2.1053,18
XAUUSD,1h,2026-01-01,2.4407,512,2.8612,18
XAUUSD,1h,2026-04-01,2.9467,315,1.3668,18
XAUUSD,4h,2024-10-01,1.7716,213,0.8036,10
XAUUSD,4h,2025-01-01,1.8737,215,5.7529,10
XAUUSD,4h,2025-04-01,2.3208,215,0.1127,8
XAUUSD,4h,2025-07-01,2.4539,0,0.0646,6
XAUUSD,4h,2025-10-01,2.1649,61,1.2124,9
XAUUSD,4h,2026-01-01,2.4374,363,2.1151,12
XAUUSD,4h,2026-04-01,2.2742,54,0.643,17
XAGUSD,30m,2024-10-01,2.1414,153,0.7129,13
XAGUSD,30m,2025-01-01,2.1167,153,0.7244,12
XAGUSD,30m,2025-04-01,1.9095,592,1.0921,14
XAGUSD,30m,2025-07-01,1.9128,320,1.6057,12
XAGUSD,30m,2025-10-01,1.9265,422,5.2886,13
XAGUSD,30m,2026-01-01,2.7999,416,1.7007,17
XAGUSD,30m,2026-04-01,3.2602,416,1.4664,13
XAGUSD,1h,2024-10-01,1.6283,42,2.0509,9
XAGUSD,1h,2025-01-01,1.9325,477,0.0,7
XAGUSD,1h,2025-04-01,2.5361,49,0.8348,9
XAGUSD,1h,2025-07-01,1.7311,534,1.3654,12
XAGUSD,1h,2025-10-01,2.0131,537,4.2383,13
XAGUSD,1h,2026-01-01,3.2817,643,0.7372,11
XAGUSD,1h,2026-04-01,3.7521,537,0.3323,11
XAGUSD,4h,2024-10-01,1.5906,632,0.52,8
XAGUSD,4h,2025-01-01,1.3902,414,0.7974,9
XAGUSD,4h,2025-04-01,1.5447,192,0.8004,10
XAGUSD,4h,2025-07-01,1.6011,272,1.4165,11
XAGUSD,4h,2025-10-01,1.8029,633,2.4125,11
XAGUSD,4h,2026-01-01,2.3833,201,0.8604,10
XAGUSD,4h,2026-04-01,2.5379,410,1.4111,9
BTCUSDT,30m,2018-10-01,3.4712,427,1.6186,14
BTCUSDT,30m,2019-01-01,2.8026,536,0.2887,14
BTCUSDT,30m,2019-04-01,2.9191,366,2.1204,18
BTCUSDT,30m,2019-07-01,2.7796,643,0.8543,15
BTCUSDT,30m,2019-10-01,2.7069,582,0.6128,19
BTCUSDT,30m,2020-01-01,2.4476,214,0.5177,17
BTCUSDT,30m,2020-04-01,2.2085,159,0.56,16
BTCUSDT,30m,2020-07-01,1.8498,320,1.4794,14
BTCUSDT,30m,2020-10-01,1.9874,144,2.9632,22
BTCUSDT,30m,2021-01-01,2.361,264,0.2697,13
BTCUSDT,30m,2021-04-01,2.2558,576,0.7102,27
BTCUSDT,30m,2021-07-01,2.1345,643,1.3599,14
BTCUSDT,30m,2021-10-01,2.3229,150,1.2523,17
BTCUSDT,30m,2022-01-01,1.913,535,0.378,12
BTCUSDT,30m,2022-04-01,1.9217,643,0.7352,14
BTCUSDT,30m,2022-07-01,1.9767,430,0.4738,14
BTCUSDT,30m,2022-10-01,2.3172,48,1.125,16
BTCUSDT,30m,2023-01-01,2.2294,319,5.1053,13
BTCUSDT,30m,2023-04-01,3.77,319,0.62,13
BTCUSDT,30m,2023-07-01,2.9115,319,1.1579,15
BTCUSDT,30m,2023-10-01,3.4862,319,1.0766,12
BTCUSDT,30m,2024-01-01,2.9332,265,0.8974,14
BTCUSDT,30m,2024-04-01,1.5105,590,0.4675,14
BTCUSDT,30m,2024-07-01,1.7124,585,1.8681,19
BTCUSDT,30m,2024-10-01,2.2323,157,0.719,15
BTCUSDT,30m,2025-01-01,1.7825,583,0.6069,15
BTCUSDT,30m,2025-04-01,1.504,483,0.4266,14
BTCUSDT,30m,2025-07-01,1.4819,147,0.4793,35
BTCUSDT,30m,2025-10-01,1.5961,37,0.8648,20
BTCUSDT,30m,2026-01-01,1.7977,310,2.2668,22
BTCUSDT,30m,2026-04-01,1.9757,310,1.0192,23
BTCUSDT,1h,2018-10-01,3.169,210,2.1274,15
BTCUSDT,1h,2019-01-01,2.8937,528,0.5004,14
BTCUSDT,1h,2019-04-01,2.5238,528,2.0453,13
BTCUSDT,1h,2019-07-01,2.6438,204,1.4706,16
BTCUSDT,1h,2019-10-01,2.7257,306,0.8721,23
BTCUSDT,1h,2020-01-01,2.0299,642,1.494,16
BTCUSDT,1h,2020-04-01,2.3202,629,0.9334,18
BTCUSDT,1h,2020-07-01,2.1893,103,1.3738,12
BTCUSDT,1h,2020-10-01,2.0878,431,1.2513,14
BTCUSDT,1h,2021-01-01,3.2169,103,1.0475,12
BTCUSDT,1h,2021-04-01,3.2558,50,2.332,11
