symbol,tf,horizon_bars,band,n,mean_bps,excess_bps,base_bps,median_bps,hit_up,share
BNBUSDT,1h,1,<=-0.8,16065,-0.705,-1.528,0.823,2.054,0.5115,0.2402
BNBUSDT,1h,1,-0.8..-0.4,8330,1.323,0.5,0.823,0.366,0.5028,0.1246
BNBUSDT,1h,1,-0.4..-0.1,4161,-0.376,-1.198,0.823,0.157,0.5004,0.0622
BNBUSDT,1h,1,flat,2328,2.402,1.58,0.823,0.372,0.5026,0.0348
BNBUSDT,1h,1,0.1..0.4,3796,1.706,0.884,0.823,1.661,0.5105,0.0568
BNBUSDT,1h,1,0.4..0.8,6401,0.785,-0.038,0.823,1.261,0.5052,0.0957
BNBUSDT,1h,1,>=0.8,25791,1.543,0.72,0.823,0.0,0.4992,0.3857
BNBUSDT,1h,4,<=-0.8,16065,-0.534,-4.531,3.996,7.632,0.5336,0.2402
BNBUSDT,1h,4,-0.8..-0.4,8330,3.518,-0.478,3.996,3.41,0.5127,0.1246
BNBUSDT,1h,4,-0.4..-0.1,4161,0.784,-3.212,3.996,2.458,0.5102,0.0622
BNBUSDT,1h,4,flat,2328,3.738,-0.258,3.996,-1.681,0.4905,0.0348
BNBUSDT,1h,4,0.1..0.4,3793,10.416,6.42,3.996,3.305,0.5107,0.0567
BNBUSDT,1h,4,0.4..0.8,6401,6.812,2.815,3.996,6.284,0.5287,0.0957
BNBUSDT,1h,4,>=0.8,25791,5.872,1.875,3.996,0.0,0.4957,0.3857
BNBUSDT,1h,16,<=-0.8,16065,11.938,-4.882,16.821,23.651,0.5497,0.2403
BNBUSDT,1h,16,-0.8..-0.4,8326,-2.488,-19.308,16.821,4.149,0.5072,0.1245
BNBUSDT,1h,16,-0.4..-0.1,4157,14.953,-1.867,16.821,7.96,0.515,0.0622
BNBUSDT,1h,16,flat,2327,16.654,-0.167,16.821,18.332,0.535,0.0348
BNBUSDT,1h,16,0.1..0.4,3791,28.467,11.647,16.821,8.052,0.5152,0.0567
BNBUSDT,1h,16,0.4..0.8,6400,31.807,14.986,16.821,18.65,0.5425,0.0957
BNBUSDT,1h,16,>=0.8,25791,20.981,4.16,16.821,-5.175,0.4871,0.3858
BNBUSDT,4h,1,<=-0.8,4126,-1.404,-5.162,3.758,3.232,0.5124,0.2498
BNBUSDT,4h,1,-0.8..-0.4,1900,8.78,5.022,3.758,4.787,0.5226,0.115
BNBUSDT,4h,1,-0.4..-0.1,1039,2.666,-1.092,3.758,4.151,0.512,0.0629
BNBUSDT,4h,1,flat,528,1.482,-2.276,3.758,2.726,0.5076,0.032
BNBUSDT,4h,1,0.1..0.4,800,1.223,-2.535,3.758,-0.264,0.4975,0.0484
BNBUSDT,4h,1,0.4..0.8,1458,2.678,-1.08,3.758,2.796,0.5069,0.0883
BNBUSDT,4h,1,>=0.8,6667,6.412,2.654,3.758,3.866,0.5121,0.4036
BNBUSDT,4h,4,<=-0.8,4126,-5.515,-21.419,15.904,8.75,0.5216,0.2498
BNBUSDT,4h,4,-0.8..-0.4,1900,28.491,12.587,15.904,20.73,0.5463,0.115
BNBUSDT,4h,4,-0.4..-0.1,1039,24.904,9.0,15.904,0.912,0.5024,0.0629
BNBUSDT,4h,4,flat,525,5.719,-10.185,15.904,8.233,0.5124,0.0318
BNBUSDT,4h,4,0.1..0.4,800,22.942,7.038,15.904,7.68,0.5238,0.0484
BNBUSDT,4h,4,0.4..0.8,1458,13.154,-2.75,15.904,6.168,0.5185,0.0883
BNBUSDT,4h,4,>=0.8,6667,24.729,8.825,15.904,3.444,0.5062,0.4037
BNBUSDT,4h,16,<=-0.8,4126,-12.569,-78.021,65.452,24.361,0.5276,0.25
BNBUSDT,4h,16,-0.8..-0.4,1900,79.175,13.723,65.452,34.361,0.5316,0.1151
BNBUSDT,4h,16,-0.4..-0.1,1039,73.71,8.258,65.452,39.122,0.5448,0.063
BNBUSDT,4h,16,flat,524,83.733,18.281,65.452,52.926,0.5439,0.0318
BNBUSDT,4h,16,0.1..0.4,797,119.38,53.928,65.452,48.739,0.5546,0.0483
BNBUSDT,4h,16,0.4..0.8,1450,66.926,1.474,65.452,7.926,0.5062,0.0879
BNBUSDT,4h,16,>=0.8,6667,100.335,34.883,65.452,24.897,0.5259,0.404
