symbol,tf,rule,folds,r_per_day,days_to_target,trades,pf_2x,total_r,max_dd_r,q_above_1,q_scored
XAUUSD,15m,single,7,-0.0081,,122,0.902,-5.15,-9.74,3,7
XAUUSD,15m,top10,7,0.0032,1231.6,1458,1.0342,2.04,-3.93,4,7
XAUUSD,30m,single,7,0.0079,583.5,85,1.2203,5.01,-4.58,5,7
XAUUSD,30m,top10,7,0.0057,250.5,827,1.1513,3.61,-1.42,3,7
XAUUSD,1h,single,7,0.0107,267.1,72,1.4249,6.8,-2.85,5,7
XAUUSD,1h,top10,7,0.0088,168.4,742,1.3242,5.61,-1.48,5,7
XAUUSD,4h,single,7,0.011,389.7,67,1.3542,7.02,-4.29,3,7
XAUUSD,4h,top10,7,0.0132,242.1,591,1.53,8.41,-3.19,4,7
XAGUSD,30m,single,7,0.0078,1179.7,144,1.1086,4.96,-9.17,3,7
XAGUSD,30m,top10,7,0.0127,206.6,1356,1.1733,8.1,-2.62,3,7
XAGUSD,1h,single,7,0.0022,2692.9,72,1.0551,1.42,-5.98,3,7
XAGUSD,1h,top10,7,-0.0063,,781,0.8682,-4.04,-5.39,2,7
XAGUSD,4h,single,7,0.006,640.8,58,1.3432,3.85,-3.87,5,7
XAGUSD,4h,top10,7,0.005,422.2,626,1.3222,3.18,-2.1,5,7
BTCUSDT,30m,single,31,-0.0043,,537,0.9437,-12.05,-43.73,16,31
BTCUSDT,30m,top10,31,-0.0001,,5397,0.9985,-0.33,-24.63,16,31
BTCUSDT,1h,single,31,-0.001,,500,0.9852,-2.97,-33.85,12,31
BTCUSDT,1h,top10,31,-0.0026,,5565,0.9662,-7.39,-24.59,12,31
BTCUSDT,4h,single,31,-0.0006,,326,0.9855,-1.69,-24.55,16,30
BTCUSDT,4h,top10,31,-0.0003,,3385,0.9909,-0.94,-17.46,19,31
ETHUSDT,1h,single,25,-0.0143,,405,0.7946,-32.68,-38.59,10,25
ETHUSDT,1h,top10,25,-0.009,,4360,0.8795,-20.56,-23.25,8,25
ETHUSDT,4h,single,25,0.0081,818.2,249,1.2715,18.54,-6.65,17,24
ETHUSDT,4h,top10,25,0.0036,2201.2,2538,1.1151,8.11,-7.82,14,24
SOLUSDT,1h,single,19,0.009,830.8,260,1.2312,15.62,-7.48,14,19
SOLUSDT,1h,top10,19,0.0088,760.4,2698,1.1964,15.32,-6.72,12,19
SOLUSDT,4h,single,19,0.0009,13536.7,216,1.0205,1.52,-11.86,9,19
SOLUSDT,4h,top10,19,-0.0039,,2135,0.9012,-6.73,-10.44,8,19
EURUSD,1h,single,7,0.01,556.9,80,1.3676,6.37,-5.56,5,7
EURUSD,1h,top10,7,0.0013,3713.4,796,1.0434,0.85,-4.94,4,7
AUDUSD,1h,single,7,-0.0141,,82,0.7114,-8.99,-14.0,2,7
AUDUSD,1h,top10,7,-0.0117,,864,0.7669,-7.48,-9.11,2,7
