symbol,tf,quarter,train_pf_2x,cfg,test_pf_2x,test_trades
XAUUSD,15m,2024-10-01,1.503,373,3.1179,17
XAUUSD,15m,2025-01-01,1.925,590,2.7438,14
XAUUSD,15m,2025-04-01,1.7037,100,0.6644,20
XAUUSD,15m,2025-07-01,1.4795,159,0.9659,21
XAUUSD,15m,2025-10-01,1.4724,97,0.7988,17
XAUUSD,15m,2026-01-01,1.2981,100,1.1615,19
XAUUSD,15m,2026-04-01,1.6127,158,0.7335,14
XAUUSD,30m,2024-10-01,1.6039,591,0.8041,14
XAUUSD,30m,2025-01-01,1.26,480,3.8921,10
XAUUSD,30m,2025-04-01,2.181,592,1.4831,14
XAUUSD,30m,2025-07-01,2.3991,421,1.4519,15
XAUUSD,30m,2025-10-01,2.6693,637,0.6348,19
XAUUSD,30m,2026-01-01,2.7995,427,0.6536,10
XAUUSD,30m,2026-04-01,2.2052,482,0.7193,9
XAUUSD,1h,2024-10-01,3.8928,430,0.3255,13
XAUUSD,1h,2025-01-01,3.5813,145,0.9212,16
XAUUSD,1h,2025-04-01,2.0394,645,1.0096,14
XAUUSD,1h,2025-07-01,1.8392,589,1.2055,11
XAUUSD,1h,2025-10-01,1.7116,48,0.0288,11
XAUUSD,1h,2026-01-01,1.6049,410,0.6263,14
XAUUSD,1h,2026-04-01,1.6305,425,1.0529,11
XAUUSD,4h,2024-10-01,1.2082,324,0.7898,84
XAUUSD,4h,2025-01-01,1.5714,271,0.9154,8
XAUUSD,4h,2025-04-01,1.892,54,0.2604,6
XAUUSD,4h,2025-07-01,1.7021,71,0.7417,14
XAUUSD,4h,2025-10-01,1.9819,0,0.2348,9
XAUUSD,4h,2026-01-01,1.6354,425,0.4066,9
XAUUSD,4h,2026-04-01,1.2648,501,1.6436,7
XAGUSD,30m,2024-10-01,2.3915,589,2.8153,10
XAGUSD,30m,2025-01-01,2.1822,431,0.221,9
XAGUSD,30m,2025-04-01,1.6983,589,2.3883,13
XAGUSD,30m,2025-07-01,2.7571,529,5.8714,12
XAGUSD,30m,2025-10-01,4.3977,475,0.7384,12
XAGUSD,30m,2026-01-01,3.7943,323,0.3884,11
XAGUSD,30m,2026-04-01,3.0466,323,1.3689,7
