entry_bar,exit_bar_ref,dir_ref,entry_px_ref,exit_px_ref,r_ref,exit_bar_nau,dir_nau,entry_px_nau,exit_px_nau,r_nau,reason,_merge
493,503,-1,26642.33,26568.08,0.4072675777671388,503,-1,26642.3,26568.1,0.40671649650611125,session,both
636,637,1,26766.69,26668.562690454255,-1.3811851874516083,637,1,26766.7,26668.567856961916,-1.381166520386236,stop,both
663,671,1,26793.36,27021.39,2.2284196096600755,671,1,26793.4,27021.4,2.2279831738019373,session,both
743,743,1,27996.43,27992.57,-0.29052621137750867,743,1,27996.4,27992.6,-0.29013293165418913,session,both
766,767,-1,27472.23,27595.92980678093,-1.3116230563966564,767,-1,27472.2,27595.902386636928,-1.3116162324643197,stop,both
830,831,1,27992.76,27917.131288566194,-1.5174876466889515,831,1,27992.8,27917.16782513381,-1.517464657691427,stop,both
853,853,-1,27252.99,27348.382753001853,-1.4006694400187556,853,-1,27253.0,27348.396159894546,-1.4006553026261712,stop,both
856,856,1,27941.12,27868.190387281793,-1.5356742729739647,856,1,27941.1,27868.166583750604,-1.5356459167501553,stop,both
922,922,-1,27542.98,27600.95818194694,-1.6657807373589577,922,-1,27543.0,27600.97686210486,-1.6657963608595812,stop,both
963,969,-1,27120.93,27188.385222704048,-1.5635815750351396,969,-1,27120.9,27188.355955540534,-1.5635748373030698,stop,both
976,983,-1,26779.45,26867.12519652541,-1.428315009555603,983,-1,26779.5,26867.17331039676,-1.4283250073179206,stop,both
1086,1089,1,27916.43,27759.428534839913,-1.2482339953620631,1089,1,27916.4,27759.40153966747,-1.248238492245205,stop,both
1133,1133,1,28730.72,28669.285891392217,-1.6540341356704116,1133,1,28730.7,28669.265015026474,-1.6540243401676271,stop,both
1167,1167,1,28680.45,28620.401982103554,-1.6679753602632539,1167,1,28680.5,28620.451681408056,-1.667973177559824,stop,both
1179,1199,1,28980.0,29669.04,7.458656099522897,1199,1,28980.0,29669.0,7.458329419910785,session,both
1219,1219,1,30206.23,30102.067051381106,-1.4052862221712221,1219,1,30206.2,30102.03903357168,-1.4052935448957464,stop,both
1252,1252,1,30736.68,30605.9259195461,-1.3284014081596631,1252,1,30736.700000000004,30605.949051260588,-1.3284095048630256,stop,both
1254,1255,1,30788.62,30616.975436098794,-1.2504239914641908,1255,1,30788.6,30616.95656478189,-1.250425479662103,stop,both
1265,1265,1,31212.2,31049.724090159292,-1.268244978014527,1265,1,31212.2,31049.724924145612,-1.268246358512009,stop,both
1267,1271,1,31168.3,33069.99,11.20611898634366,1271,1,31168.300000000003,33070.0,11.206267879864766,session,both
1275,1277,1,34569.45,33847.04877407046,-1.066294944447567,1277,1,34569.5,33847.09677742861,-1.0662948561798047,stop,both
1310,1310,1,34483.99,34380.40886507668,-1.4653847367210158,1310,1,34484.0,34380.419198824755,-1.4653863736545587,stop,both
1312,1312,1,34839.8,34683.10213279751,-1.3105723923483195,1312,1,34839.8,34683.10107015622,-1.310570281479451,stop,both
1362,1362,-1,33600.14,33675.46626191434,-1.6251860000286507,1362,-1,33600.1,33675.421137167665,-1.6252277457147715,stop,both
1477,1477,1,34790.6,34723.54926546511,-1.725717694569149,1477,1,34790.6,34723.54686474286,-1.7256916864322625,stop,both
1479,1479,-1,34183.97,34261.24742445656,-1.6199954583638574,1479,-1,34184.0,34261.272557747354,-1.620035005791683,stop,both
1485,1485,1,35406.08,35285.43748948463,-1.4101710253810695,1485,1,35406.1,35285.45764354006,-1.4101717821378148,stop,both
1491,1492,1,35678.85,35451.22794033975,-1.218744416215884,1492,1,35678.899999999994,35451.275994994256,-1.218742848300379,stop,both
1627,1630,1,35377.0,35270.16204417571,-1.4628786937131077,1630,1,35377.0,35270.160207219196,-1.4628707231444826,stop,both
1659,1659,1,36363.44,36206.22080798992,-1.3231078974272927,1659,1,36363.4,36206.18519142726,-1.3231165695850913,stop,both
1661,1672,1,36705.05,36491.58106165855,-1.2400238748609245,1672,1,36705.100000000006,36491.632274084914,-1.240025570011657,stop,both
1697,1697,1,37377.47,37235.41074133368,-1.3676565470583737,1697,1,37377.5,37235.44046128024,-1.3676561165380983,stop,both
1774,1774,-1,36480.01,36571.09862807726,-1.5613848525228102,1774,-1,36480.0,36571.089108889995,-1.5613817392590246,stop,both
1792,1792,-1,36147.09,36240.86186274046,-1.5403706914104953,1792,-1,36147.100000000006,36240.87068850394,-1.5403775986973258,stop,both
1795,1795,-1,35230.0,35450.44071731486,-1.2244426941845639,1795,-1,35230.0,35450.4439316165,-1.2244394317835292,stop,both
1819,1823,1,37390.0,37858.2,1.3013065856156882,1823,1,37390.0,37858.2,1.3013147235186373,session,both
1844,1846,-1,35921.01,36221.89815541751,-1.1678365691687504,1846,-1,35921.0,36221.88958399798,-1.1678357290996773,stop,both
1935,1935,1,37411.11,37309.41043252558,-1.5143027212571432,1935,1,37411.100000000006,37309.39920693641,-1.5142963773364848,stop,both
1938,1938,1,37576.65,37491.75577250036,-1.6189806490785157,1938,1,37576.700000000004,37491.806419194705,-1.6189861941853179,stop,both
1959,1959,-1,36635.97,36767.3950520536,-1.3909631743229773,1959,-1,36636.0,36767.42489393742,-1.3909639634194553,stop,both
1987,1991,1,37197.99,37408.34,0.9285682788973145,1991,1,37198.0,37408.3,0.9282737403413762,session,both
2032,2032,1,38221.1,38066.43007752942,-1.3452595708414032,2032,1,38221.100000000006,38066.43222592599,-1.3452643763567433,stop,both
2129,2135,1,37877.57,37739.56581215763,-1.3835535420777694,2135,1,37877.6,37739.59351469905,-1.3835474495626936,stop,both
2194,2194,1,38705.25,38541.67537268026,-1.3305698973422124,2194,1,38705.299999999996,38541.72571491955,-1.330571018383807,stop,both
2201,2203,1,38801.92,38637.98447592547,-1.3306661776888669,2203,1,38801.9,38637.96680879991,-1.3306707224407923,stop,both
2228,2228,1,39419.99,39290.43706029897,-1.4252879098641453,2228,1,39420.0,39290.44860295523,-1.4252930904560634,stop,both
2255,2255,1,40060.71,39951.777020225796,-1.514157797117598,2255,1,40060.700000000004,39951.766499277386,-1.5141552064145467,stop,both
2262,2271,1,41500.01,41197.462726660015,-1.1913361514370953,2271,1,41500.0,41197.45420774277,-1.1913370452569574,stop,both
2296,2296,1,42268.28,42160.480022577176,-1.5482388162661749,2296,1,42268.3,42160.50154367002,-1.5482468218250858,stop,both
2298,2303,1,43377.87,44073.32,2.0619707826814335,2303,1,43377.9,44073.299999999996,2.061804225546398,session,both
2337,2343,-1,43585.61,43650.75060619278,-1.937440653278723,2343,-1,43585.6,43650.74096746174,-1.937435243237507,stop,both
2374,2374,1,44527.34,44334.91049992468,-1.3232538427091514,2374,1,44527.299999999996,44334.871681977624,-1.323255541682562,stop,both
2444,2445,-1,40779.99,41166.28631266163,-1.148493246087769,2445,-1,40780.0,41166.29607042129,-1.1484933750082744,stop,both
2492,2495,1,42734.01,42869.03,0.2821722843786158,2495,1,42734.0,42869.0,0.282102277670655,session,both
2614,2615,1,42619.99,42657.8,-0.10335829334371181,2615,1,42620.0,42657.8,-0.10340548319566432,session,both
2654,2656,1,43769.44,43546.61519013435,-1.2743017650051711,2656,1,43769.4,43546.58141192786,-1.2743091925910697,stop,both
2759,2759,-1,42977.29,43112.343515050015,-1.446213809675529,2759,-1,42977.299999999996,43112.35628145832,-1.4462047877100308,stop,both
2790,2807,-1,42764.85,42508.93,1.6682725184944107,2807,-1,42764.899999999994,42508.899999999994,1.668987377061316,session,both
2872,2879,-1,42271.09,42066.95,1.7346833564531223,2879,-1,42271.100000000006,42067.0,1.7341027112322487,session,both
2988,2999,-1,43702.89,42845.23,3.9458231367053522,2999,-1,43702.899999999994,42845.2,3.9460932547996963,session,both
3016,3016,1,44051.1,43848.833827842456,-1.3042028878243028,3016,1,44051.100000000006,43848.83270607772,-1.3042011968474456,stop,both
