symbol,feature,horizon,q1_bps,q2_bps,q3_bps,q4_bps,q5_bps
BTCUSDT,cvd_4h,12h,-1.45,0.7,3.84,5.63,12.89
BTCUSDT,cvd_4h,24h,1.23,4.27,5.71,7.1,24.72
BTCUSDT,crowd_z,1h,3.6,1.27,0.59,-1.5,-2.03
BTCUSDT,crowd_z,4h,10.38,6.78,1.11,-4.68,-5.86
BTCUSDT,crowd_z,8h,15.42,13.12,2.92,-6.45,-9.62
BTCUSDT,crowd_z,12h,19.64,17.09,2.11,-4.97,-10.83
BTCUSDT,crowd_z,24h,29.74,26.71,8.68,-4.88,-14.01
BTCUSDT,size_z,1h,1.18,0.36,0.9,0.83,-0.44
BTCUSDT,size_z,4h,2.04,2.73,3.5,4.29,-1.24
BTCUSDT,size_z,8h,3.16,7.24,6.32,6.59,-0.66
BTCUSDT,size_z,12h,4.44,11.78,8.81,9.88,-0.95
BTCUSDT,size_z,24h,9.46,16.41,18.24,20.46,4.47
BTCUSDT,disagree,1h,-1.42,-0.07,1.34,0.53,2.45
BTCUSDT,disagree,4h,-5.73,1.19,5.91,1.86,8.08
BTCUSDT,disagree,8h,-7.56,4.09,8.87,3.49,13.75
BTCUSDT,disagree,12h,-9.17,6.52,13.65,6.43,16.53
BTCUSDT,disagree,24h,-9.14,9.88,23.71,15.09,29.46
BTCUSDT,dcrowd_1h,1h,3.56,0.57,0.04,-0.55,-1.69
BTCUSDT,dcrowd_1h,4h,8.71,3.12,1.01,-0.49,-4.6
BTCUSDT,dcrowd_1h,8h,14.07,6.29,1.96,-1.41,-5.45
BTCUSDT,dcrowd_1h,12h,16.85,8.47,3.72,0.5,-6.36
BTCUSDT,dcrowd_1h,24h,23.75,16.36,8.29,3.11,-5.25
BTCUSDT,dcrowd_4h,1h,3.31,1.57,0.62,-0.68,-2.89
BTCUSDT,dcrowd_4h,4h,8.98,4.92,3.86,-1.77,-8.27
BTCUSDT,dcrowd_4h,8h,14.43,9.57,6.85,-3.22,-12.18
BTCUSDT,dcrowd_4h,12h,18.33,12.42,8.44,-2.48,-13.6
BTCUSDT,dcrowd_4h,24h,24.99,21.77,13.5,-0.93,-13.15
ETHUSDT,ret_15m,1h,0.06,-0.36,-0.2,-0.34,0.07
ETHUSDT,ret_15m,4h,-0.95,-1.57,-0.57,-0.7,0.68
ETHUSDT,ret_15m,8h,-1.0,-2.77,-1.51,-1.59,0.64
ETHUSDT,ret_15m,12h,-2.16,-4.07,-1.26,-1.9,0.02
ETHUSDT,ret_15m,24h,-4.17,-6.38,-3.17,-2.21,-2.81
ETHUSDT,ret_1h,1h,-0.22,-0.5,-0.26,0.05,0.15
ETHUSDT,ret_1h,4h,-1.79,-1.4,-1.34,-0.42,1.85
ETHUSDT,ret_1h,8h,-2.4,-3.35,-1.47,-0.27,1.27
ETHUSDT,ret_1h,12h,-4.36,-3.63,-1.59,-0.6,0.82
ETHUSDT,ret_1h,24h,-4.51,-5.87,-3.51,-2.71,-2.11
ETHUSDT,ret_4h,1h,-0.66,-0.91,-0.1,0.44,0.46
ETHUSDT,ret_4h,4h,-3.4,-0.76,-0.82,0.44,1.42
ETHUSDT,ret_4h,8h,-4.66,-2.06,-0.75,-0.52,1.76
ETHUSDT,ret_4h,12h,-7.9,-2.1,-0.94,-2.2,3.77
ETHUSDT,ret_4h,24h,-4.65,-4.58,-3.81,-5.47,-0.08
ETHUSDT,doi_15m,1h,0.47,0.04,-0.45,-0.32,-0.51
ETHUSDT,doi_15m,4h,0.76,-0.76,-1.06,-1.18,-0.87
ETHUSDT,doi_15m,8h,1.48,-1.62,-2.33,-2.95,-0.96
ETHUSDT,doi_15m,12h,3.3,-1.95,-3.81,-5.24,-1.92
ETHUSDT,doi_15m,24h,3.04,-5.57,-7.07,-9.61,0.05
ETHUSDT,doi_1h,1h,0.72,0.11,-0.16,-0.68,-0.75
ETHUSDT,doi_1h,4h,1.12,-0.22,-0.72,-1.54,-1.75
ETHUSDT,doi_1h,8h,2.05,-1.25,-2.77,-4.24,-0.18
ETHUSDT,doi_1h,12h,4.38,-1.06,-3.86,-7.0,-2.07
ETHUSDT,doi_1h,24h,2.34,-2.27,-5.16,-12.14,-1.92
ETHUSDT,doi_4h,1h,0.46,-0.53,-0.06,-0.7,0.05
ETHUSDT,doi_4h,4h,0.79,-1.45,-1.12,-2.57,1.24
ETHUSDT,doi_4h,8h,0.97,1.73,-3.28,-5.66,-0.19
ETHUSDT,doi_4h,12h,3.23,2.86,-5.82,-9.08,-0.82
ETHUSDT,doi_4h,24h,-1.44,2.4,-2.37,-12.7,-5.08
ETHUSDT,quad_15m,1h,-0.43,-0.15,-0.36,-0.23,0.39
ETHUSDT,quad_15m,4h,-1.15,-0.54,-1.03,-1.64,1.26
ETHUSDT,quad_15m,8h,-1.79,-2.57,-1.65,-2.71,2.33
ETHUSDT,quad_15m,12h,-1.54,-4.25,-2.94,-3.63,2.74
ETHUSDT,quad_15m,24h,-0.92,-7.34,-6.12,-8.51,3.72
ETHUSDT,quad_1h,1h,-1.58,-0.38,-0.17,0.19,1.18
ETHUSDT,quad_1h,4h,-3.99,-1.03,-0.83,-0.1,2.86
ETHUSDT,quad_1h,8h,-3.51,-2.96,-2.77,-1.96,4.81
ETHUSDT,quad_1h,12h,-3.51,-3.12,-4.17,-3.88,5.08
ETHUSDT,quad_1h,24h,-6.1,-6.32,-4.99,-7.3,5.56
ETHUSDT,quad_4h,1h,-1.1,-0.75,0.24,-0.43,1.25
ETHUSDT,quad_4h,4h,-3.5,-3.68,-0.35,-0.24,4.67
ETHUSDT,quad_4h,8h,-4.4,-3.18,-2.88,0.05,3.99
ETHUSDT,quad_4h,12h,-6.15,-5.46,-5.17,0.04,7.12
ETHUSDT,quad_4h,24h,-13.76,-5.35,-3.37,-1.68,4.96
ETHUSDT,taker,1h,0.03,0.34,-0.06,-0.25,-0.31
ETHUSDT,taker,4h,-0.21,-0.4,0.27,0.11,-1.0
ETHUSDT,taker,8h,-0.79,-0.82,1.51,-0.4,-1.98
ETHUSDT,taker,12h,-1.07,-0.84,1.07,-0.99,-1.72
ETHUSDT,taker,24h,-0.58,-1.72,1.78,-1.36,-1.65
ETHUSDT,taker_z,1h,0.06,0.5,-0.25,-0.24,-0.17
ETHUSDT,taker_z,4h,-0.49,0.46,-0.04,0.3,-0.61
ETHUSDT,taker_z,8h,-0.76,0.27,1.49,-0.26,-1.45
ETHUSDT,taker_z,12h,-0.33,-0.39,1.53,-0.63,-0.8
ETHUSDT,taker_z,24h,0.83,-1.42,1.88,-1.15,0.22
ETHUSDT,cvd,1h,0.15,0.11,-0.04,-0.56,-0.46
ETHUSDT,cvd,4h,-0.38,-0.63,0.0,-0.75,-1.39
ETHUSDT,cvd,8h,-1.6,-1.26,1.02,-1.55,-2.9
ETHUSDT,cvd,12h,-2.23,-1.86,0.06,-2.3,-3.09
ETHUSDT,cvd,24h,-3.96,-4.55,-0.86,-4.34,-5.11
ETHUSDT,cvd_z,1h,0.12,0.24,-0.2,-0.43,-0.51
ETHUSDT,cvd_z,4h,-0.54,-0.07,-0.58,-0.54,-1.42
ETHUSDT,cvd_z,8h,-1.45,-0.76,0.37,-1.47,-2.93
ETHUSDT,cvd_z,12h,-1.47,-1.87,-0.59,-2.43,-2.87
ETHUSDT,cvd_z,24h,-2.97,-4.87,-1.43,-4.4,-4.63
ETHUSDT,cvd_1h,1h,0.55,-0.56,-0.51,-0.28,0.01
ETHUSDT,cvd_1h,4h,-0.45,-2.11,-0.52,-0.61,0.57
ETHUSDT,cvd_1h,8h,-2.43,-2.6,0.03,-1.91,0.66
ETHUSDT,cvd_1h,12h,-2.63,-3.33,-2.1,-2.03,0.71
ETHUSDT,cvd_1h,24h,-2.67,-5.53,-6.06,-5.99,1.52
ETHUSDT,cvd_4h,1h,-1.22,0.06,0.27,0.21,-0.11
ETHUSDT,cvd_4h,4h,-3.22,-1.96,0.2,1.7,0.16
ETHUSDT,cvd_4h,8h,-4.66,-3.17,1.42,-0.27,0.45
ETHUSDT,cvd_4h,12h,-8.03,-4.03,-1.17,0.26,3.6
ETHUSDT,cvd_4h,24h,-6.46,-4.96,-5.91,-6.67,5.4
ETHUSDT,crowd_z,1h,2.79,0.81,-0.14,-1.11,-2.94
ETHUSDT,crowd_z,4h,6.85,5.15,-2.05,-3.0,-9.23
ETHUSDT,crowd_z,8h,7.4,11.36,-3.95,-5.7,-13.66
ETHUSDT,crowd_z,12h,10.55,12.85,-5.78,-10.74,-13.64
ETHUSDT,crowd_z,24h,13.25,14.37,-8.97,-18.92,-13.11
ETHUSDT,size_z,1h,0.47,1.1,-0.19,-1.47,0.09
ETHUSDT,size_z,4h,0.58,1.94,-0.8,-4.84,3.15
ETHUSDT,size_z,8h,1.43,2.08,-2.49,-5.09,4.3
ETHUSDT,size_z,12h,6.98,1.7,-6.44,-5.93,4.16
ETHUSDT,size_z,24h,9.75,6.75,-7.81,-3.84,-2.18
ETHUSDT,disagree,1h,-1.5,-0.57,0.27,0.9,0.9
ETHUSDT,disagree,4h,-5.57,-0.81,2.34,0.76,3.3
ETHUSDT,disagree,8h,-7.95,-1.07,3.93,2.19,3.11
ETHUSDT,disagree,12h,-6.0,-6.29,5.68,5.81,1.27
ETHUSDT,disagree,24h,-6.41,-12.29,12.08,8.87,0.37
ETHUSDT,dcrowd_1h,1h,2.95,1.28,-0.75,-0.78,-3.3
ETHUSDT,dcrowd_1h,4h,6.69,2.24,-1.65,-3.12,-6.48
ETHUSDT,dcrowd_1h,8h,7.55,2.49,-2.09,-4.36,-8.2
ETHUSDT,dcrowd_1h,12h,9.32,3.13,-2.42,-5.59,-11.32
ETHUSDT,dcrowd_1h,24h,9.99,2.48,-3.38,-8.79,-14.0
ETHUSDT,dcrowd_4h,1h,2.6,1.39,0.29,-1.56,-3.33
ETHUSDT,dcrowd_4h,4h,4.95,3.63,2.0,-4.11,-8.8
ETHUSDT,dcrowd_4h,8h,5.33,5.75,1.78,-3.21,-14.22
ETHUSDT,dcrowd_4h,12h,10.04,5.83,0.03,-5.97,-16.82
ETHUSDT,dcrowd_4h,24h,9.57,4.52,-1.75,-7.64,-18.4
SOLUSDT,ret_15m,1h,1.03,-0.04,-0.52,-0.93,-0.39
SOLUSDT,ret_15m,4h,1.77,-2.3,-1.47,-1.02,-0.44
SOLUSDT,ret_15m,8h,1.86,-2.89,-1.64,-2.62,-1.74
SOLUSDT,ret_15m,12h,1.57,-4.57,-2.75,-3.48,-1.49
SOLUSDT,ret_15m,24h,-3.56,-6.74,-4.19,-5.53,-2.16
SOLUSDT,ret_1h,1h,1.09,-0.62,-0.53,0.2,-0.99
SOLUSDT,ret_1h,4h,2.24,-2.1,-2.45,-1.08,-0.09
SOLUSDT,ret_1h,8h,2.39,-3.41,-2.7,-0.66,-2.68
SOLUSDT,ret_1h,12h,-0.53,-3.16,-3.27,-1.94,-1.87
SOLUSDT,ret_1h,24h,-2.43,-7.1,-4.19,-5.3,-3.23
SOLUSDT,ret_4h,1h,0.62,-1.43,-0.18,0.59,-0.49
SOLUSDT,ret_4h,4h,1.66,-3.17,-1.37,0.73,-1.42
SOLUSDT,ret_4h,8h,3.04,-4.79,-1.2,0.93,-5.22
SOLUSDT,ret_4h,12h,-1.19,-5.01,-1.79,0.14,-3.15
SOLUSDT,ret_4h,24h,-3.11,-12.44,-5.45,-2.11,0.58
SOLUSDT,doi_15m,1h,1.02,0.13,-0.15,-0.36,-1.51
SOLUSDT,doi_15m,4h,3.69,-0.66,-2.61,-1.12,-2.76
SOLUSDT,doi_15m,8h,4.86,-1.13,-3.94,-2.78,-4.15
SOLUSDT,doi_15m,12h,6.07,-2.64,-5.91,-4.3,-4.07
SOLUSDT,doi_15m,24h,3.95,-5.41,-8.73,-8.62,-3.45
SOLUSDT,doi_1h,1h,2.57,0.63,-0.64,-1.5,-1.92
SOLUSDT,doi_1h,4h,6.02,-1.05,-3.47,-3.93,-1.05
SOLUSDT,doi_1h,8h,8.51,-0.44,-5.18,-6.76,-3.31
SOLUSDT,doi_1h,12h,11.31,-0.97,-8.23,-8.8,-4.2
SOLUSDT,doi_1h,24h,8.31,-1.63,-12.6,-13.05,-3.38
SOLUSDT,doi_4h,1h,1.06,0.56,-1.18,-1.27,-0.06
SOLUSDT,doi_4h,4h,2.11,1.27,-2.39,-2.33,-2.21
SOLUSDT,doi_4h,8h,6.84,1.91,-4.03,-6.01,-6.01
SOLUSDT,doi_4h,12h,11.64,0.98,-6.64,-9.07,-7.97
SOLUSDT,doi_4h,24h,5.39,1.9,-15.53,-12.17,-2.3
SOLUSDT,quad_15m,1h,-1.76,0.27,-0.08,-0.42,1.11
SOLUSDT,quad_15m,4h,-1.06,-0.73,-2.57,-0.94,1.85
SOLUSDT,quad_15m,8h,-2.54,-1.95,-3.7,-1.72,2.77
SOLUSDT,quad_15m,12h,-2.32,-3.93,-5.82,-2.81,4.04
SOLUSDT,quad_15m,24h,-6.05,-7.79,-9.24,-5.16,5.97
SOLUSDT,quad_1h,1h,-0.14,-0.71,-0.62,-0.08,0.69
SOLUSDT,quad_1h,4h,0.12,-3.38,-3.35,-1.16,4.29
SOLUSDT,quad_1h,8h,-4.81,-4.0,-5.26,-1.84,8.74
SOLUSDT,quad_1h,12h,-5.63,-6.24,-8.0,-2.24,11.21
SOLUSDT,quad_1h,24h,-14.28,-8.52,-12.27,-4.04,16.75
SOLUSDT,quad_4h,1h,-0.55,-0.8,-1.19,0.45,1.2
SOLUSDT,quad_4h,4h,-4.11,-2.97,-2.06,2.03,3.57
SOLUSDT,quad_4h,8h,-8.06,-6.02,-3.53,2.37,7.92
SOLUSDT,quad_4h,12h,-14.73,-11.35,-5.77,4.23,16.55
SOLUSDT,quad_4h,24h,-30.5,-19.11,-13.03,9.28,30.64
SOLUSDT,taker,1h,0.59,0.07,0.17,0.07,-0.6
SOLUSDT,taker,4h,-0.02,-0.09,1.79,0.16,-0.85
SOLUSDT,taker,8h,-0.52,0.7,2.95,0.79,-1.79
SOLUSDT,taker,12h,-0.19,0.82,3.76,2.22,-3.04
SOLUSDT,taker,24h,-2.58,2.62,7.1,6.82,-2.61
SOLUSDT,taker_z,1h,0.52,0.29,0.29,-0.1,-0.35
SOLUSDT,taker_z,4h,1.03,-0.21,1.74,0.02,0.19
SOLUSDT,taker_z,8h,1.72,0.64,2.98,0.42,-0.61
SOLUSDT,taker_z,12h,2.91,1.71,3.58,0.86,-1.03
SOLUSDT,taker_z,24h,4.84,1.97,5.78,1.66,1.96
SOLUSDT,cvd,1h,0.6,0.2,-0.05,-0.57,-1.05
SOLUSDT,cvd,4h,-0.97,-0.88,1.03,-1.1,-1.57
SOLUSDT,cvd,8h,-2.65,-0.72,0.75,-1.49,-2.99
SOLUSDT,cvd,12h,-3.68,-1.52,0.73,-1.61,-4.63
SOLUSDT,cvd,24h,-9.98,-3.84,0.52,-0.14,-8.75
SOLUSDT,cvd_z,1h,0.69,-0.02,0.09,-0.63,-1.06
SOLUSDT,cvd_z,4h,0.14,-1.8,0.65,-1.31,-1.45
SOLUSDT,cvd_z,8h,-0.64,-1.87,-0.0,-2.27,-2.84
SOLUSDT,cvd_z,12h,-1.22,-2.12,-0.66,-3.21,-4.13
SOLUSDT,cvd_z,24h,-3.78,-5.81,-2.0,-5.17,-6.11
SOLUSDT,cvd_1h,1h,0.72,0.27,-0.25,-1.16,-0.45
SOLUSDT,cvd_1h,4h,-1.27,-1.53,0.3,-1.91,0.92
SOLUSDT,cvd_1h,8h,-4.0,-2.1,1.95,-3.49,0.57
SOLUSDT,cvd_1h,12h,-4.65,-3.23,1.67,-3.37,-1.19
SOLUSDT,cvd_1h,24h,-13.1,-8.09,3.34,-4.29,-0.11
SOLUSDT,cvd_4h,1h,-0.19,-0.01,-1.06,-0.76,1.13
SOLUSDT,cvd_4h,4h,-4.05,-1.16,-0.07,-1.4,3.11
SOLUSDT,cvd_4h,8h,-7.67,-1.96,-0.28,0.76,1.92
SOLUSDT,cvd_4h,12h,-10.44,-5.43,1.79,2.03,1.07
SOLUSDT,cvd_4h,24h,-24.31,-13.06,4.65,3.0,7.2
SOLUSDT,crowd_z,1h,1.51,1.68,-0.1,-2.34,-1.42
SOLUSDT,crowd_z,4h,3.72,2.92,2.0,-5.83,-5.43
SOLUSDT,crowd_z,8h,5.2,3.78,5.32,-11.44,-8.16
SOLUSDT,crowd_z,12h,7.77,4.63,2.54,-11.86,-11.07
SOLUSDT,crowd_z,24h,10.03,3.23,6.99,-11.11,-25.34
SOLUSDT,size_z,1h,-0.88,0.31,1.04,2.0,-0.05
SOLUSDT,size_z,4h,-3.9,0.29,4.13,7.96,1.22
SOLUSDT,size_z,8h,-1.65,2.99,4.98,9.39,3.99
SOLUSDT,size_z,12h,7.39,3.35,3.39,10.16,5.37
SOLUSDT,size_z,24h,16.95,10.67,6.38,12.89,13.44
SOLUSDT,disagree,1h,-2.35,0.69,-0.16,1.71,2.52
SOLUSDT,disagree,4h,-6.76,1.46,-1.16,7.31,8.83
SOLUSDT,disagree,8h,-7.63,-1.42,0.89,12.09,15.75
SOLUSDT,disagree,12h,-4.02,-4.34,4.37,13.47,20.18
SOLUSDT,disagree,24h,6.51,-5.88,7.65,24.48,27.53
SOLUSDT,dcrowd_1h,1h,2.75,0.84,0.45,-1.15,-3.53
SOLUSDT,dcrowd_1h,4h,2.87,1.77,-0.52,-3.09,-3.41
SOLUSDT,dcrowd_1h,8h,0.62,3.06,-1.47,-1.12,-5.93
SOLUSDT,dcrowd_1h,12h,3.36,3.97,-1.41,-1.68,-11.59
SOLUSDT,dcrowd_1h,24h,8.23,1.25,-0.45,-7.39,-17.23
SOLUSDT,dcrowd_4h,1h,1.53,1.17,-0.76,-1.74,-0.85
SOLUSDT,dcrowd_4h,4h,1.09,2.53,-0.74,-3.75,-1.57
SOLUSDT,dcrowd_4h,8h,3.53,1.44,1.13,-5.01,-6.01
SOLUSDT,dcrowd_4h,12h,5.43,1.2,2.12,-6.84,-9.48
SOLUSDT,dcrowd_4h,24h,9.11,3.75,2.82,-14.62,-17.04
