symbol,feature,horizon,q1_bps,q2_bps,q3_bps,q4_bps,q5_bps
BTCUSDT,size_z,24h,9.46,16.41,18.24,20.46,4.47
BTCUSDT,disagree,1h,-1.42,-0.07,1.34,0.53,2.45
BTCUSDT,disagree,4h,-5.73,1.19,5.91,1.86,8.08
BTCUSDT,disagree,8h,-7.56,4.09,8.87,3.49,13.75
BTCUSDT,disagree,12h,-9.17,6.52,13.65,6.43,16.53
BTCUSDT,disagree,24h,-9.14,9.88,23.71,15.09,29.46
BTCUSDT,dcrowd_1h,1h,3.56,0.57,0.04,-0.55,-1.69
BTCUSDT,dcrowd_1h,4h,8.71,3.12,1.01,-0.49,-4.6
BTCUSDT,dcrowd_1h,8h,14.07,6.29,1.96,-1.41,-5.45
BTCUSDT,dcrowd_1h,12h,16.85,8.47,3.72,0.5,-6.36
BTCUSDT,dcrowd_1h,24h,23.75,16.36,8.29,3.11,-5.25
BTCUSDT,dcrowd_4h,1h,3.31,1.57,0.62,-0.68,-2.89
BTCUSDT,dcrowd_4h,4h,8.98,4.92,3.86,-1.77,-8.27
BTCUSDT,dcrowd_4h,8h,14.43,9.57,6.85,-3.22,-12.18
BTCUSDT,dcrowd_4h,12h,18.33,12.42,8.44,-2.48,-13.6
BTCUSDT,dcrowd_4h,24h,24.99,21.77,13.5,-0.93,-13.15
