symbol,feature,horizon,ic,null_med,null_best,beats_null,spread_bps,monotone,clears_1x,clears_2x,years,same_sign_years,n
BTCUSDT,cvd,1h,-0.022,0.00019,0.00234,True,-1.55,1.0,False,False,7,1.0,630299
BTCUSDT,cvd,4h,-0.00884,-0.00053,0.00104,True,-0.72,0.75,False,False,7,1.0,630263
BTCUSDT,cvd,8h,-0.0062,0.00018,0.002,True,-0.35,0.5,False,False,7,1.0,630215
BTCUSDT,cvd,12h,-0.003,-0.00104,0.00195,True,0.72,0.75,False,False,7,0.71,630167
BTCUSDT,cvd,24h,0.00076,-0.00094,0.00305,False,3.0,0.75,False,False,7,0.57,630023
BTCUSDT,cvd_z,1h,-0.02269,-0.00028,0.00246,True,-1.77,1.0,False,False,7,1.0,630155
BTCUSDT,cvd_z,4h,-0.00982,-0.00056,0.0013,True,-1.32,0.75,False,False,7,1.0,630119
BTCUSDT,cvd_z,8h,-0.00795,0.00101,0.00155,True,-1.73,1.0,False,False,7,1.0,630071
BTCUSDT,cvd_z,12h,-0.00489,-0.00032,0.00126,True,-0.94,0.75,False,False,7,1.0,630023
BTCUSDT,cvd_z,24h,-0.00124,-0.00069,0.00229,False,0.78,0.5,False,False,7,0.71,629879
BTCUSDT,cvd_1h,1h,-0.0334,-0.00068,0.00318,True,-0.62,0.5,False,False,7,1.0,630336
BTCUSDT,cvd_1h,4h,-0.01717,-0.00111,0.00617,True,0.88,0.5,False,False,7,0.86,630300
BTCUSDT,cvd_1h,8h,-0.01033,0.00359,0.00542,True,0.66,0.75,False,False,7,0.71,630252
BTCUSDT,cvd_1h,12h,-0.00295,-0.005,0.00604,False,3.27,0.5,False,False,7,0.57,630204
BTCUSDT,cvd_1h,24h,0.0021,-0.00382,0.00903,False,9.16,1.0,False,False,7,0.57,630060
BTCUSDT,cvd_4h,1h,-0.02922,-0.00098,0.00359,True,0.52,0.75,False,False,7,1.0,630311
BTCUSDT,cvd_4h,4h,-0.02018,-0.00336,0.01111,True,3.35,0.5,False,False,7,1.0,630275
BTCUSDT,cvd_4h,8h,-0.00819,0.00235,0.00877,False,5.82,0.75,False,False,7,0.86,630227
BTCUSDT,cvd_4h,12h,0.00518,-0.00662,0.01652,False,14.34,1.0,True,False,7,0.86,630179
BTCUSDT,cvd_4h,24h,0.00721,-0.00312,0.01434,False,23.49,1.0,True,False,7,0.57,630035
BTCUSDT,crowd_z,1h,-0.009,0.00087,0.00701,True,-5.64,1.0,False,False,7,0.86,624273
BTCUSDT,crowd_z,4h,-0.02272,0.00319,0.01068,True,-16.25,1.0,True,False,7,0.71,624237
BTCUSDT,crowd_z,8h,-0.03437,-0.00304,0.01436,True,-25.04,1.0,True,False,7,0.86,624189
BTCUSDT,crowd_z,12h,-0.04042,0.00337,0.01405,True,-30.47,1.0,True,True,7,0.86,624141
BTCUSDT,crowd_z,24h,-0.04688,-0.01821,0.02492,True,-43.75,1.0,True,True,7,0.71,623997
BTCUSDT,size_z,1h,-0.00521,0.00162,0.00679,False,-1.63,0.75,False,False,7,0.57,537553
BTCUSDT,size_z,4h,-0.00771,-0.00138,0.00648,True,-3.28,0.75,False,False,7,0.71,537517
BTCUSDT,size_z,8h,-0.01195,-0.00199,0.01733,False,-3.81,0.5,False,False,7,0.86,537469
BTCUSDT,size_z,12h,-0.01825,0.00126,0.01019,True,-5.39,0.5,False,False,7,0.86,537421
BTCUSDT,size_z,24h,-0.00058,0.01222,0.01428,False,-5.0,0.75,False,False,7,0.57,537277
BTCUSDT,disagree,1h,0.00427,0.00054,0.00527,False,3.87,0.75,False,False,7,0.57,537551
BTCUSDT,disagree,4h,0.01093,-0.00345,0.01253,False,13.82,0.75,False,False,7,0.43,537515
BTCUSDT,disagree,8h,0.01259,0.0008,0.01649,False,21.31,0.75,True,False,7,0.71,537467
BTCUSDT,disagree,12h,0.0136,-0.00697,0.00996,True,25.7,0.75,True,False,7,0.71,537419
BTCUSDT,disagree,24h,0.03577,0.02462,0.02752,True,38.6,0.75,True,True,7,0.86,537275
BTCUSDT,dcrowd_1h,1h,-0.01429,0.00169,0.00645,True,-5.25,1.0,False,False,7,0.71,624485
BTCUSDT,dcrowd_1h,4h,-0.02356,0.00152,0.00646,True,-13.31,1.0,False,False,7,0.71,624449
BTCUSDT,dcrowd_1h,8h,-0.03225,0.00135,0.00909,True,-19.52,1.0,True,False,7,1.0,624401
BTCUSDT,dcrowd_1h,12h,-0.03374,0.00035,0.00518,True,-23.2,1.0,True,False,7,1.0,624353
BTCUSDT,dcrowd_1h,24h,-0.0319,-0.00231,0.01137,True,-29.0,1.0,True,True,7,1.0,624209
BTCUSDT,dcrowd_4h,1h,-0.01564,-0.00277,0.0057,True,-6.21,1.0,False,False,7,0.86,624412
BTCUSDT,dcrowd_4h,4h,-0.02814,0.00382,0.00883,True,-17.25,1.0,True,False,7,0.71,624376
BTCUSDT,dcrowd_4h,8h,-0.04065,-0.00102,0.01207,True,-26.61,1.0,True,False,7,0.86,624328
BTCUSDT,dcrowd_4h,12h,-0.04365,0.00227,0.00435,True,-31.93,1.0,True,True,7,0.86,624280
BTCUSDT,dcrowd_4h,24h,-0.04363,-0.00448,0.01715,True,-38.14,1.0,True,True,7,0.86,624136
