symbol,seed,signal,look,win,q,band,hold,contrarian,trades,tpd,avg_bps,win_rate,pf_0x,tot_0x,pf_1x,tot_1x,pf_2x,tot_2x,pf_3x,tot_3x
BTCUSDT,0,dcrowd,12,288,0.02,8640,96,True,1917,0.875,-9.75,0.469,0.8434,-18697.4,0.6611,-45535.4,0.5203,-72373.4,0.4123,-99211.4
BTCUSDT,0,dcrowd,12,288,0.02,8640,96,False,1917,0.875,9.75,0.531,1.1856,18697.4,0.9287,-8140.6,0.7295,-34978.6,0.5769,-61816.6
BTCUSDT,0,dcrowd,12,288,0.02,8640,144,True,1648,0.753,-14.1,0.4648,0.8197,-23238.3,0.6736,-46310.3,0.5551,-69382.3,0.459,-92454.3
BTCUSDT,0,dcrowd,12,288,0.02,8640,144,False,1648,0.753,14.1,0.5352,1.2199,23238.3,1.0014,166.3,0.8232,-22905.7,0.6788,-45977.7
BTCUSDT,0,dcrowd,12,288,0.02,8640,288,True,1160,0.53,-20.36,0.4664,0.8289,-23623.3,0.7288,-39863.3,0.6414,-56103.3,0.5649,-72343.3
BTCUSDT,0,dcrowd,12,288,0.02,8640,288,False,1160,0.53,20.36,0.5336,1.2064,23623.3,1.0603,7383.3,0.9324,-8856.7,0.8208,-25096.7
BTCUSDT,0,dcrowd,12,288,0.02,8640,576,True,743,0.339,-41.63,0.4643,0.7607,-30931.8,0.6937,-41333.8,0.6325,-51735.8,0.5767,-62137.8
BTCUSDT,0,dcrowd,12,288,0.02,8640,576,False,743,0.339,41.63,0.5357,1.3145,30931.8,1.1988,20529.8,1.0934,10127.8,0.9976,-274.2
BTCUSDT,0,dcrowd,12,288,0.02,8640,864,True,557,0.254,-29.56,0.4811,0.8516,-16463.1,0.7891,-24261.1,0.7313,-32059.1,0.678,-39857.1
BTCUSDT,0,dcrowd,12,288,0.02,8640,864,False,557,0.254,29.56,0.5189,1.1743,16463.1,1.0881,8665.1,1.0085,867.1,0.9349,-6930.9
BTCUSDT,1,dcrowd,12,288,0.02,8640,96,True,1928,0.88,-6.22,0.4881,0.8899,-11987.4,0.6846,-38979.4,0.5289,-65971.4,0.4117,-92963.4
BTCUSDT,1,dcrowd,12,288,0.02,8640,96,False,1928,0.88,6.22,0.5119,1.1238,11987.4,0.8648,-15004.6,0.6685,-41996.6,0.5212,-68988.6
BTCUSDT,1,dcrowd,12,288,0.02,8640,144,True,1628,0.743,1.42,0.4932,1.0208,2318.7,0.8344,-20473.3,0.6841,-43265.3,0.5633,-66057.3
BTCUSDT,1,dcrowd,12,288,0.02,8640,144,False,1628,0.743,-1.42,0.5068,0.9796,-2318.7,0.8003,-25110.7,0.655,-47902.7,0.5382,-70694.7
BTCUSDT,1,dcrowd,12,288,0.02,8640,288,True,1133,0.517,1.77,0.4925,1.0183,2010.0,0.883,-13852.0,0.7664,-29714.0,0.6662,-45576.0
BTCUSDT,1,dcrowd,12,288,0.02,8640,288,False,1133,0.517,-1.77,0.5066,0.9821,-2010.0,0.8513,-17872.0,0.7382,-33734.0,0.641,-49596.0
BTCUSDT,1,dcrowd,12,288,0.02,8640,576,True,752,0.343,-4.67,0.4801,0.9695,-3511.3,0.8836,-14039.3,0.8055,-24567.3,0.7348,-35095.3
BTCUSDT,1,dcrowd,12,288,0.02,8640,576,False,752,0.343,4.67,0.5199,1.0315,3511.3,0.9398,-7016.7,0.8561,-17544.7,0.7796,-28072.7
BTCUSDT,1,dcrowd,12,288,0.02,8640,864,True,551,0.252,2.7,0.5172,1.0148,1487.1,0.9402,-6226.9,0.8711,-13940.9,0.8073,-21654.9
BTCUSDT,1,dcrowd,12,288,0.02,8640,864,False,551,0.252,-2.7,0.4828,0.9854,-1487.1,0.913,-9201.1,0.8462,-16915.1,0.7845,-24629.1
BTCUSDT,2,dcrowd,12,288,0.02,8640,96,True,1953,0.892,1.67,0.4987,1.0306,3256.7,0.8009,-24085.3,0.6258,-51427.3,0.4933,-78769.3
BTCUSDT,2,dcrowd,12,288,0.02,8640,96,False,1953,0.892,-1.67,0.5008,0.9703,-3256.7,0.7536,-30598.7,0.5877,-57940.7,0.4624,-85282.7
BTCUSDT,2,dcrowd,12,288,0.02,8640,144,True,1663,0.759,-5.45,0.4889,0.9253,-9055.4,0.7582,-32337.4,0.6224,-55619.4,0.5127,-78901.4
BTCUSDT,2,dcrowd,12,288,0.02,8640,144,False,1663,0.759,5.45,0.5111,1.0808,9055.4,0.8854,-14226.6,0.7268,-37508.6,0.5986,-60790.6
BTCUSDT,2,dcrowd,12,288,0.02,8640,288,True,1161,0.53,-12.45,0.4858,0.8884,-14459.1,0.7778,-30713.1,0.6813,-46967.1,0.5972,-63221.1
BTCUSDT,2,dcrowd,12,288,0.02,8640,288,False,1161,0.53,12.45,0.5142,1.1256,14459.1,0.9854,-1794.9,0.8633,-18048.9,0.7572,-34302.9
BTCUSDT,2,dcrowd,12,288,0.02,8640,576,True,757,0.346,-1.23,0.4875,0.9912,-927.9,0.8967,-11525.9,0.8113,-22123.9,0.7344,-32721.9
BTCUSDT,2,dcrowd,12,288,0.02,8640,576,False,757,0.346,1.23,0.5125,1.0088,927.9,0.9124,-9670.1,0.8251,-20268.1,0.7462,-30866.1
BTCUSDT,2,dcrowd,12,288,0.02,8640,864,True,563,0.257,-1.05,0.5009,0.9942,-589.1,0.9194,-8471.1,0.8504,-16353.1,0.7866,-24235.1
BTCUSDT,2,dcrowd,12,288,0.02,8640,864,False,563,0.257,1.05,0.4991,1.0059,589.1,0.9302,-7292.9,0.8602,-15174.9,0.7956,-23056.9
BTCUSDT,0,dcrowd,12,288,0.05,2016,96,True,3360,1.534,-3.06,0.4833,0.9469,-10287.5,0.7391,-57327.5,0.5796,-104367.5,0.4583,-151407.5
BTCUSDT,0,dcrowd,12,288,0.05,2016,96,False,3360,1.534,3.06,0.5167,1.0561,10287.5,0.8232,-36752.5,0.6439,-83792.5,0.5074,-130832.5
