ts,hour,year,ticks,median_bps,mean_bps,p90_bps,sym
2023-09-01 01:00:00+00:00,1,2023,5198,1.7496912309704054,1.7077787658786252,1.8906089541897901,XAUUSD
2023-09-01 05:00:00+00:00,5,2023,1824,1.5980823012488499,1.6548957052733497,1.8915463597652207,XAUUSD
2023-09-01 09:00:00+00:00,9,2023,1892,1.491969090516034,1.5120651982815803,1.6458323154028631,XAUUSD
2023-09-01 13:00:00+00:00,13,2023,21425,1.5918497293852658,1.6042774312379662,1.7999781945951059,XAUUSD
2023-09-01 17:00:00+00:00,17,2023,2370,1.4968166838382253,1.588587668726946,1.7880823539240267,XAUUSD
2023-09-11 01:00:00+00:00,1,2023,6293,1.6133817000876711,1.6253850692956222,1.770832411093532,XAUUSD
2023-09-11 05:00:00+00:00,5,2023,5339,1.5566988643879425,1.6131714316794417,1.8163060693757156,XAUUSD
2023-09-11 09:00:00+00:00,9,2023,1893,1.5056487788667328,1.5480584254332108,1.6619776393884358,XAUUSD
2023-09-11 13:00:00+00:00,13,2023,8631,1.5935564260423267,1.6071198793353567,1.7654863006047732,XAUUSD
2023-09-11 17:00:00+00:00,17,2023,1533,1.5076134479117664,1.556328862701569,1.6997357092900858,XAUUSD
2023-09-20 01:00:00+00:00,1,2023,3726,1.5539049631838169,1.6245780074389724,1.8501689640093395,XAUUSD
2023-09-20 05:00:00+00:00,5,2023,2088,1.5897539067090931,1.6199098168512212,1.7981450089889095,XAUUSD
2023-09-20 09:00:00+00:00,9,2023,2035,1.502590673574941,1.532393061698017,1.642227949052466,XAUUSD
2023-09-20 13:00:00+00:00,13,2023,8927,1.647001299586635,1.631695799986424,1.801842615751066,XAUUSD
2023-09-20 17:00:00+00:00,17,2023,3117,1.5921113450781819,1.6028980971475169,1.7518672670274409,XAUUSD
2023-09-28 01:00:00+00:00,1,2023,4808,1.6894831274198436,1.675432147206233,1.9023325421155959,XAUUSD
2023-09-28 05:00:00+00:00,5,2023,2700,1.742112479199194,1.705252228089196,1.9040878419628267,XAUUSD
2023-09-28 09:00:00+00:00,9,2023,4012,1.691258832759349,1.760576143915811,2.260405060321778,XAUUSD
2023-09-28 13:00:00+00:00,13,2023,14879,1.7084753725941135,1.7268312509066464,1.852495944662049,XAUUSD
2023-09-28 17:00:00+00:00,17,2023,4966,1.7561539905503665,1.7420495168216483,1.8799314630696007,XAUUSD
2023-10-09 01:00:00+00:00,1,2023,7193,1.7303423644596532,1.7288817848232316,1.8933246781355428,XAUUSD
2023-10-09 05:00:00+00:00,5,2023,3811,1.734529924829688,1.7348013745856576,1.9297886665185768,XAUUSD
2023-10-09 09:00:00+00:00,9,2023,3336,1.5670085266875795,1.6298444997957928,1.8209144236940105,XAUUSD
2023-10-09 13:00:00+00:00,13,2023,11595,1.731035023707951,1.7268115954683014,1.8799582207467387,XAUUSD
2023-10-09 17:00:00+00:00,17,2023,4127,1.6720243360442355,1.691028694579871,1.871042065286467,XAUUSD
2023-10-17 01:00:00+00:00,1,2023,3237,1.7065100226151624,1.6982231468531515,1.915257425992975,XAUUSD
2023-10-17 05:00:00+00:00,5,2023,2442,1.7064833058182374,1.6771746842221686,1.8639713397618993,XAUUSD
2023-10-17 09:00:00+00:00,9,2023,3645,1.5111013844825048,1.5948776087925183,1.8049682401012443,XAUUSD
2023-10-17 13:00:00+00:00,13,2023,22137,2.0628772252894954,2.0382779247267933,2.2406249215712655,XAUUSD
