sym,session,cond,n,q1,q5,spread,null_max,beats_null,best_bucket_bps
BTCUSDT,ict,crowd_z,1420,8.88357680448659,19.94578598365641,11.06220917916982,33.06156877352,False,19.94578598365641
BTCUSDT,ict,oi_z,1432,-5.849359593904713,8.055033672797956,13.90439326670267,41.388712666530935,False,8.055033672797956
BTCUSDT,ict,doi_1d,1429,-3.170545354418356,2.899738062030316,6.070283416448673,23.836505280672704,False,9.136446109577227
BTCUSDT,ict,prem_z,1578,-8.849581804434035,1.5494643091442746,10.39904611357831,44.07108995179702,False,11.642868857150564
BTCUSDT,ict,imb_z,823,7.138897156775712,-14.549179018431504,-21.688076175207215,38.772675378753206,False,13.456200420732957
BTCUSDT,ict,dvol_z,1285,-1.4762630811505335,-4.132535298763112,-2.656272217612578,30.50842474766561,False,5.914915945537322
BTCUSDT,ict_lat,crowd_z,1588,-6.601116456247234,9.844742109933822,16.445858566181055,22.131113982038396,False,13.43920626745228
BTCUSDT,ict_lat,oi_z,1601,-0.23077750762536464,-4.102789086891308,-3.8720115792659433,20.195169789260007,False,3.5619532082443413
BTCUSDT,ict_lat,doi_1d,1596,16.861049211569657,-1.1810746088570545,-18.042123820426713,36.317092924251114,False,16.861049211569657
BTCUSDT,ict_lat,prem_z,1777,-10.96824520153831,12.452370912881799,23.420616114420106,19.465147728284034,True,12.452370912881799
BTCUSDT,ict_lat,imb_z,942,-1.5865341702863873,12.479602036849512,14.0661362071359,37.85241957284798,False,12.479602036849512
BTCUSDT,ict_lat,dvol_z,1449,-1.3211912020092758,-7.820181128375315,-6.498989926366039,24.811561518869045,False,1.6233986748801172
BTCUSDT,utc_day,crowd_z,2010,-26.21083316661246,10.534921864383904,36.745755030996364,15.875600097222417,True,10.534921864383904
BTCUSDT,utc_day,oi_z,2030,4.944696518252165,-7.781960897611378,-12.726657415863542,44.587486209317824,False,4.944696518252165
BTCUSDT,utc_day,doi_1d,2025,19.93363702705883,-1.299015033209865,-21.232652060268695,49.25682046273377,False,19.93363702705883
BTCUSDT,utc_day,prem_z,2230,-6.86788287439651,12.125595043744946,18.993477918141455,35.692900593152316,False,12.125595043744946
BTCUSDT,utc_day,imb_z,1230,-4.07696323938704,10.560932463868793,14.637895703255833,40.746357820284004,False,10.560932463868793
BTCUSDT,utc_day,dvol_z,1847,-11.538924866761608,-14.035600848209654,-2.496675981448046,36.46143454939599,False,7.4268503764770974
BTCUSDT,fast,crowd_z,1412,-16.40906672627216,-7.487818243281577,8.921248482990585,33.74956120887339,False,8.86125117606205
BTCUSDT,fast,oi_z,1421,6.729675863533071,-10.27604406892142,-17.00571993245449,24.29549281373886,False,6.729675863533071
BTCUSDT,fast,doi_1d,1419,-7.777306751202798,-7.6392279016129985,0.13807884958979955,19.705698766890823,False,5.447099417276346
BTCUSDT,fast,prem_z,1560,-25.622979012234005,-4.892954619818315,20.73002439241569,22.910993477910253,False,1.471091867551971
BTCUSDT,fast,imb_z,823,-5.322645365199449,-16.234646236687933,-10.912000871488484,30.48184966563037,False,2.2970200760439377
BTCUSDT,fast,dvol_z,1264,0.5681748599255168,-16.8544125388954,-17.422587398820916,20.540696534613893,False,7.929503797179971
ETHUSDT,ict,crowd_z,1074,23.19830149398772,-0.9030112907069543,-24.101312784694674,79.42264474027894,False,23.19830149398772
ETHUSDT,ict,oi_z,1089,11.87312053789332,10.974778655024336,-0.8983418828689835,74.2241416007194,False,11.87312053789332
ETHUSDT,ict,doi_1d,1088,5.230106077577798,17.505735508254585,12.275629430676787,32.514432684747696,False,36.55937977623441
