sym,what,n,mean_bps,median_bps,win,hold_h,net_taker1x,net_taker2x,net_mixed,net_maker2x
BTCUSDT,ict reversal,1586,-3.0584026280637224,5.909589997939769,0.5208070617906684,11.971469104665827,-17.05840262806372,-31.05840262806372,-12.058402628063723,-11.058402628063723
BTCUSDT,ict continuation,261,7.196419854973101,-2.887797158301365,0.49808429118773945,8.916666666666666,-6.803580145026899,-20.8035801450269,-1.8035801450268991,-0.8035801450268991
BTCUSDT,ict INVERSE,1586,3.0584026280637224,-5.909589997939769,0.4791929382093317,11.971469104665827,-10.941597371936277,-24.94159737193628,-5.941597371936277,-4.941597371936277
BTCUSDT,ict_lat reversal,1786,-5.963648005945473,4.0429377871593895,0.5151175811870101,11.391937290033596,-19.963648005945473,-33.96364800594547,-14.963648005945473,-13.963648005945473
BTCUSDT,ict_lat continuation,319,3.605434001624484,3.405602455871067,0.5078369905956113,7.916666666666667,-10.394565998375516,-24.394565998375516,-5.394565998375516,-4.394565998375516
BTCUSDT,ict_lat INVERSE,1786,5.963648005945473,-4.0429377871593895,0.4843225083986562,11.391937290033596,-8.036351994054527,-22.036351994054527,-3.0363519940545274,-2.0363519940545274
BTCUSDT,utc_day reversal,2239,-8.505971265749263,5.016783873970923,0.5167485484591335,12.493970522554712,-22.505971265749263,-36.50597126574927,-17.505971265749263,-16.505971265749263
BTCUSDT,utc_day continuation,316,-7.334787891420048,-5.829436834393475,0.4810126582278481,7.916666666666667,-21.33478789142005,-35.33478789142005,-16.33478789142005,-15.33478789142005
BTCUSDT,utc_day INVERSE,2239,8.505971265749263,-5.016783873970923,0.48325145154086646,12.493970522554712,-5.494028734250737,-19.494028734250737,-0.4940287342507368,0.5059712657492632
BTCUSDT,fast reversal,1571,-7.2878164364327604,1.340430340484666,0.5035009548058561,10.377625716104392,-21.28781643643276,-35.28781643643276,-16.28781643643276,-15.28781643643276
BTCUSDT,fast continuation,298,7.971073901302408,15.776455009711132,0.5335570469798657,7.916666666666667,-6.028926098697592,-20.028926098697593,-1.0289260986975917,-0.028926098697591662
BTCUSDT,fast INVERSE,1571,7.2878164364327604,-1.340430340484666,0.49649904519414384,10.377625716104392,-6.7121835635672396,-20.71218356356724,-1.7121835635672396,-0.7121835635672396
