symbol,tf,floor,topn,quarters,q_above_1,trades,pf,pf_2x,tpd,total_r
USDJPY,30m,30,1,7,3,81,0.799,0.679,0.131,-3.23
GBPUSD,5m,100,1,7,3,225,0.799,0.631,0.358,-42.83
EURUSD,30m,100,10,7,1,2110,0.797,0.685,3.314,-20.21
USDCAD,1h,100,1,7,5,175,0.794,0.636,0.283,-15.13
XAUUSD,15m,30,1,7,2,86,0.785,0.614,0.136,-5.2
USDJPY,30m,30,10,7,2,961,0.778,0.69,1.516,-7.39
USDJPY,1h,30,1,7,2,71,0.772,0.676,0.117,-8.02
XAUUSD,1h,100,10,7,0,2216,0.771,0.683,3.479,-24.75
NZDUSD,3m,100,1,7,4,206,0.768,0.628,0.326,-43.35
NZDUSD,5m,30,1,7,2,64,0.765,0.593,0.102,-12.64
USDCAD,5m,30,10,7,2,761,0.762,0.531,1.213,-12.61
EURUSD,30m,100,1,7,1,209,0.755,0.649,0.331,-27.12
GBPUSD,15m,30,1,7,5,61,0.753,0.578,0.096,-6.43
EURUSD,4h,30,1,7,1,70,0.752,0.691,0.112,-3.0
NZDUSD,1h,100,10,7,1,2106,0.751,0.632,3.302,-21.06
XAUUSD,3m,100,1,7,2,175,0.75,0.583,0.276,-38.77
NZDUSD,4h,30,10,7,1,695,0.749,0.651,1.134,-4.54
USDJPY,4h,30,10,7,3,590,0.747,0.678,1.009,-3.18
GBPUSD,1h,100,1,7,2,219,0.743,0.654,0.344,-25.37
NZDUSD,30m,100,10,7,1,2152,0.741,0.603,3.389,-33.23
AUDUSD,30m,30,10,7,2,725,0.739,0.626,1.144,-10.19
USDJPY,5m,100,10,7,1,2340,0.738,0.619,3.692,-47.84
USDCHF,1h,100,10,7,0,2047,0.734,0.602,3.25,-16.33
BTCUSDT,4h,30,10,7,2,775,0.729,0.593,1.241,-4.6
XAUUSD,3m,30,10,7,2,596,0.725,0.568,0.955,-18.58
NZDUSD,1h,30,1,7,2,60,0.723,0.637,0.095,-6.05
BTCUSDT,30m,100,10,7,1,2252,0.714,0.601,3.547,-31.2
XAUUSD,5m,100,10,7,1,2302,0.713,0.595,3.611,-44.75
GBPUSD,5m,100,10,7,1,2650,0.711,0.574,4.156,-61.51
USDCHF,5m,100,10,7,1,2481,0.71,0.55,3.905,-65.62
EURUSD,15m,100,1,7,1,326,0.709,0.608,0.521,-39.21
AUDUSD,1h,100,10,7,2,1966,0.705,0.627,3.082,-17.4
USDCHF,1h,30,10,7,2,680,0.704,0.581,1.075,-5.21
USDJPY,1h,100,10,7,2,2072,0.702,0.635,3.269,-23.43
AUDUSD,3m,30,1,7,4,55,0.701,0.564,0.091,-12.17
AUDUSD,1h,100,1,7,2,187,0.699,0.625,0.294,-13.65
USDCHF,15m,100,1,7,2,210,0.695,0.587,0.34,-44.4
USDJPY,4h,30,1,7,3,62,0.694,0.62,0.107,-6.69
BTCUSDT,15m,100,10,7,0,2584,0.692,0.57,4.057,-47.79
