symbol,tf,floor,topn,quarters,q_above_1,trades,pf,pf_2x,tpd,total_r
XAUUSD,5m,30,1,7,2,58,2.398,1.963,0.099,86.78
NZDUSD,1h,30,1,7,4,55,2.147,1.859,0.087,10.64
USDCAD,3m,30,1,7,3,69,2.049,1.681,0.111,55.85
EURUSD,5m,100,1,7,3,189,1.77,1.545,0.297,117.09
XAUUSD,3m,30,1,7,2,90,1.467,1.115,0.147,49.86
XAUUSD,1h,100,1,7,6,209,1.415,1.255,0.329,22.27
NZDUSD,4h,30,1,7,4,67,1.389,1.296,0.108,5.85
XAUUSD,5m,30,10,7,3,970,1.37,1.144,1.555,32.71
USDCHF,15m,30,1,7,5,66,1.301,1.104,0.11,9.91
USDJPY,3m,30,1,7,3,62,1.287,1.075,0.099,16.67
AUDUSD,15m,30,10,7,3,563,1.281,1.032,0.889,9.99
NZDUSD,3m,100,1,7,1,218,1.261,0.971,0.343,44.43
EURUSD,5m,30,1,7,3,51,1.25,1.048,0.083,11.3
GBPUSD,3m,30,1,7,3,82,1.218,0.978,0.134,16.72
EURUSD,15m,100,10,7,5,1927,1.208,1.038,3.026,26.78
USDJPY,30m,30,1,7,5,62,1.201,1.036,0.103,3.9
NZDUSD,1h,30,10,7,5,654,1.151,1.001,1.03,3.35
NZDUSD,4h,30,10,7,5,741,1.138,1.005,1.169,1.6
XAUUSD,5m,100,10,7,3,2615,1.131,0.956,4.099,30.41
GBPUSD,5m,30,1,7,1,63,1.113,0.876,0.102,5.56
EURUSD,30m,30,1,7,2,60,1.094,0.905,0.097,3.19
BTCUSDT,15m,30,1,7,3,65,1.09,0.973,0.103,4.2
EURUSD,15m,100,1,7,4,272,1.089,0.976,0.429,11.59
USDJPY,4h,100,10,3,2,406,1.079,0.985,1.844,0.69
NZDUSD,30m,100,1,7,5,194,1.079,0.939,0.305,3.97
GBPUSD,15m,100,1,7,2,219,1.048,0.866,0.344,4.24
XAUUSD,4h,30,10,7,3,636,1.046,0.982,1.009,0.93
EURUSD,5m,30,10,7,3,611,1.044,0.868,0.959,2.19
EURUSD,1h,100,10,7,6,1988,1.035,0.88,3.121,2.94
EURUSD,3m,30,10,7,3,748,1.028,0.855,1.18,1.6
USDJPY,3m,30,10,7,3,766,1.028,0.858,1.215,1.99
NZDUSD,3m,30,1,7,2,59,1.026,0.776,0.095,1.74
AUDUSD,15m,100,1,7,3,307,1.016,0.83,0.483,1.69
EURUSD,5m,100,10,7,3,2283,1.014,0.84,3.584,1.95
EURUSD,30m,30,10,7,3,663,1.014,0.848,1.045,0.49
XAUUSD,1h,100,10,7,4,2253,1.012,0.88,3.55,0.79
GBPUSD,15m,30,1,7,4,68,1.011,0.859,0.109,0.32
AUDUSD,4h,30,10,7,3,676,1.009,0.89,1.071,0.1
EURUSD,3m,100,10,7,4,2559,1.009,0.836,4.019,1.78
XAUUSD,5m,100,1,7,3,241,1.007,0.865,0.382,1.5
AUDUSD,30m,100,1,7,3,224,0.997,0.861,0.359,-0.22
USDCHF,5m,30,10,7,4,825,0.993,0.79,1.31,-0.38
BTCUSDT,1h,30,10,7,3,678,0.982,0.814,1.084,-0.34
USDCHF,1h,30,1,7,1,60,0.979,0.896,0.101,-0.37
BTCUSDT,15m,30,10,7,1,765,0.969,0.839,1.205,-1.55
BTCUSDT,30m,100,1,7,3,196,0.968,0.789,0.311,-2.95
EURUSD,4h,30,1,7,3,81,0.967,0.893,0.129,-0.64
USDJPY,1h,100,1,7,2,194,0.959,0.867,0.306,-2.47
NZDUSD,15m,100,10,7,4,2154,0.953,0.779,3.382,-4.21
USDCAD,15m,100,1,7,3,207,0.948,0.788,0.326,-5.99
USDCAD,1h,100,1,7,3,145,0.948,0.728,0.234,-1.23
USDCHF,1h,100,1,7,2,212,0.944,0.823,0.337,-3.05
USDCAD,5m,30,10,7,2,681,0.936,0.685,1.071,-3.88
XAUUSD,15m,30,10,7,3,774,0.925,0.772,1.22,-3.65
USDJPY,3m,100,10,7,3,2982,0.924,0.781,4.675,-17.97
XAUUSD,15m,100,1,7,2,223,0.917,0.796,0.353,-12.5
USDCAD,3m,100,1,7,1,211,0.917,0.69,0.331,-12.65
EURUSD,1h,100,1,7,3,199,0.914,0.75,0.313,-7.88
USDJPY,30m,100,10,7,3,2321,0.908,0.797,3.644,-9.67
EURUSD,4h,30,10,7,3,979,0.907,0.807,1.548,-1.91
USDCAD,15m,100,10,7,4,2063,0.899,0.733,3.235,-11.73
USDJPY,30m,30,10,7,3,745,0.892,0.78,1.176,-3.3
EURUSD,3m,100,1,7,3,235,0.892,0.722,0.369,-26.57
GBPUSD,1h,30,1,7,3,52,0.891,0.779,0.085,-1.59
GBPUSD,30m,100,1,7,3,195,0.889,0.742,0.307,-4.9
USDCHF,1h,100,10,7,3,2149,0.888,0.776,3.404,-8.12
USDCAD,30m,30,1,7,2,106,0.885,0.696,0.167,-11.78
XAUUSD,15m,100,10,7,3,2448,0.885,0.751,3.86,-18.47
NZDUSD,15m,100,1,7,2,203,0.884,0.729,0.319,-10.11
GBPUSD,3m,30,10,7,3,744,0.873,0.689,1.204,-8.03
USDCHF,1h,30,10,7,3,668,0.868,0.771,1.071,-2.84
BTCUSDT,4h,100,10,2,1,356,0.866,0.706,1.322,-1.09
AUDUSD,15m,100,10,7,3,2958,0.863,0.703,4.655,-18.48
AUDUSD,1h,30,10,7,3,563,0.862,0.752,0.91,-2.31
GBPUSD,5m,30,10,7,1,694,0.858,0.662,1.105,-5.52
EURUSD,30m,100,1,7,2,213,0.857,0.728,0.335,-17.59
NZDUSD,30m,100,10,7,2,2092,0.857,0.715,3.294,-10.47
USDJPY,3m,100,1,7,3,257,0.857,0.744,0.403,-30.97
XAUUSD,3m,30,10,7,2,839,0.856,0.672,1.327,-12.29
USDJPY,1h,30,1,7,2,71,0.855,0.788,0.115,-3.37
GBPUSD,3m,100,10,7,1,2769,0.851,0.662,4.344,-31.71
EURUSD,1h,30,10,7,2,718,0.847,0.754,1.161,-5.03
GBPUSD,15m,100,10,7,2,2505,0.846,0.695,3.929,-17.6
USDCHF,3m,100,1,7,2,222,0.845,0.578,0.352,-35.6
AUDUSD,3m,100,10,7,3,2947,0.836,0.662,4.634,-46.85
USDCAD,5m,30,1,7,1,62,0.833,0.607,0.099,-9.29
GBPUSD,3m,100,1,7,1,245,0.832,0.655,0.39,-42.19
USDJPY,4h,30,1,7,1,65,0.831,0.763,0.108,-1.74
BTCUSDT,4h,30,10,7,3,481,0.829,0.673,0.778,-2.0
USDJPY,15m,100,10,7,2,2309,0.829,0.715,3.65,-26.97
USDJPY,15m,100,1,7,2,240,0.825,0.708,0.381,-34.15
XAUUSD,3m,100,10,7,1,2612,0.823,0.634,4.1,-44.76
USDJPY,1h,100,10,7,2,1935,0.821,0.735,3.052,-11.83
GBPUSD,15m,30,10,7,1,742,0.813,0.677,1.177,-6.73
USDCHF,5m,100,10,7,3,2700,0.812,0.629,4.244,-33.17
GBPUSD,5m,100,10,7,2,2493,0.812,0.66,3.914,-24.35
USDCAD,15m,30,10,7,3,880,0.811,0.639,1.381,-12.19
AUDUSD,30m,100,10,7,1,2318,0.81,0.7,3.701,-17.01
BTCUSDT,1h,100,10,7,3,2071,0.808,0.669,3.253,-11.22
USDCHF,4h,30,10,7,2,826,0.807,0.707,1.303,-4.32
AUDUSD,4h,30,1,7,3,64,0.802,0.71,0.108,-2.38
XAUUSD,15m,30,1,7,3,79,0.801,0.66,0.124,-9.21
