symbol,tf,floor,topn,quarters,q_above_1,trades,pf,pf_2x,tpd,total_r
GBPUSD,30m,100,1,7,2,228,0.786,0.682,0.363,-29.69
GBPUSD,1h,30,10,7,1,655,0.785,0.695,1.03,-6.15
BTCUSDT,4h,100,1,7,1,177,0.782,0.602,0.28,-8.25
XAUUSD,4h,30,10,6,4,505,0.782,0.723,0.855,-2.43
GBPUSD,30m,100,10,7,1,2287,0.781,0.675,3.612,-29.6
USDCHF,15m,30,1,7,1,72,0.77,0.609,0.114,-11.31
USDCHF,15m,100,10,7,3,2484,0.768,0.632,3.908,-37.37
AUDUSD,15m,100,10,7,0,1965,0.764,0.662,3.107,-22.77
XAUUSD,1h,100,10,7,2,2262,0.762,0.661,3.552,-21.0
AUDUSD,15m,100,1,7,2,175,0.762,0.661,0.278,-21.42
USDCAD,3m,100,1,7,2,235,0.76,0.582,0.369,-44.96
USDCAD,5m,100,1,7,3,237,0.759,0.549,0.374,-43.71
USDCAD,15m,30,10,7,2,842,0.758,0.617,1.321,-12.26
NZDUSD,4h,30,1,7,3,57,0.758,0.645,0.09,-2.48
USDCAD,5m,100,10,7,1,2417,0.755,0.547,3.794,-47.16
USDCAD,1h,100,10,7,1,1851,0.751,0.568,2.907,-23.01
USDCAD,5m,30,1,7,3,58,0.749,0.581,0.091,-13.9
XAUUSD,15m,100,10,7,1,2304,0.746,0.608,3.617,-35.35
NZDUSD,5m,100,10,7,2,2487,0.739,0.559,3.912,-39.96
NZDUSD,1h,100,1,7,0,226,0.735,0.624,0.362,-17.52
USDCHF,30m,100,10,7,2,2219,0.734,0.594,3.486,-33.11
USDJPY,30m,30,1,7,2,64,0.731,0.619,0.101,-9.92
NZDUSD,5m,30,10,7,1,584,0.729,0.5,0.926,-8.44
AUDUSD,1h,100,10,7,1,2008,0.728,0.633,3.169,-22.33
BTCUSDT,4h,30,10,7,1,504,0.727,0.631,0.803,-3.86
EURUSD,1h,30,1,7,4,55,0.726,0.604,0.093,-3.81
AUDUSD,3m,100,10,7,1,2401,0.725,0.585,3.77,-43.49
EURUSD,15m,30,1,7,5,90,0.724,0.605,0.148,-16.88
NZDUSD,1h,100,10,7,0,2103,0.723,0.606,3.356,-22.55
USDCAD,3m,30,10,7,1,779,0.723,0.542,1.243,-15.38
