symbol,tf,floor,topn,quarters,q_above_1,trades,pf,pf_2x,tpd,total_r
GBPUSD,5m,30,1,7,4,63,2.674,2.181,0.101,104.03
USDJPY,30m,30,1,7,3,51,2.217,1.833,0.086,25.01
AUDUSD,5m,30,1,7,4,90,2.07,1.7,0.144,102.04
XAUUSD,1h,30,1,7,4,97,1.81,1.667,0.155,24.04
XAUUSD,3m,100,1,7,4,228,1.783,1.372,0.361,195.79
AUDUSD,4h,30,1,6,5,56,1.696,1.55,0.105,5.48
GBPUSD,5m,30,10,7,5,771,1.513,1.233,1.212,33.7
AUDUSD,5m,100,1,7,5,238,1.51,1.248,0.377,128.24
AUDUSD,15m,30,1,7,4,47,1.499,1.355,0.078,14.9
NZDUSD,4h,30,1,7,5,68,1.358,1.215,0.108,4.53
EURUSD,30m,30,1,7,3,49,1.353,1.185,0.078,3.54
EURUSD,4h,30,10,7,6,769,1.334,1.227,1.234,3.69
XAUUSD,3m,100,10,7,6,2606,1.3,1.038,4.121,81.72
XAUUSD,3m,30,10,7,5,715,1.298,1.04,1.162,23.75
XAUUSD,30m,30,1,7,5,68,1.295,1.152,0.108,8.2
USDJPY,15m,100,1,7,3,189,1.281,1.068,0.299,47.31
AUDUSD,15m,30,10,7,6,564,1.276,1.133,0.9,10.21
USDCHF,1h,100,1,7,4,207,1.235,1.074,0.335,8.9
USDCHF,3m,30,1,7,3,65,1.204,0.925,0.103,7.1
AUDUSD,5m,30,10,7,3,905,1.139,0.95,1.447,12.49
NZDUSD,4h,100,1,1,1,19,1.135,1.038,0.213,0.28
EURUSD,5m,100,1,7,6,188,1.129,0.918,0.295,20.0
XAUUSD,30m,100,1,7,5,232,1.124,1.001,0.369,10.67
USDCHF,1h,30,10,7,2,773,1.092,0.942,1.238,1.38
USDCHF,3m,30,10,7,2,668,1.081,0.803,1.051,3.13
GBPUSD,4h,30,10,7,4,659,1.076,0.989,1.046,1.25
NZDUSD,4h,30,10,7,4,814,1.071,0.952,1.285,1.06
EURUSD,3m,30,1,7,2,93,1.066,0.909,0.147,3.75
BTCUSDT,4h,100,1,5,3,114,1.046,0.892,0.259,1.05
XAUUSD,1h,30,10,7,3,938,1.041,0.929,1.495,1.46
EURUSD,4h,100,10,1,1,204,1.026,0.928,2.483,0.15
XAUUSD,15m,30,10,7,3,877,1.021,0.873,1.413,1.19
XAUUSD,30m,30,10,7,4,808,1.014,0.906,1.281,0.42
USDCAD,3m,100,1,7,2,216,1.014,0.754,0.344,2.29
AUDUSD,5m,100,10,7,3,2289,1.01,0.849,3.591,2.08
USDJPY,30m,30,10,7,4,578,1.006,0.876,0.916,0.13
