ts,hour,year,ticks,median_bps,mean_bps,p90_bps,sym,window
2024-04-21 23:00:00+00:00,23,2024,688,0.2814430523434777,0.2780334624984585,0.3752732458304136,EURUSD,weekly open 21-03 UTC
2024-05-12 21:00:00+00:00,21,2024,829,2.1355121747401635,2.2389014932381155,3.342339080298916,EURUSD,weekly open 21-03 UTC
2024-05-12 22:00:00+00:00,22,2024,786,0.3713399803193525,0.4708838771818002,0.7426248073803722,EURUSD,weekly open 21-03 UTC
2024-05-12 23:00:00+00:00,23,2024,889,0.18568550446024917,0.22605669169541062,0.3712744925145493,EURUSD,weekly open 21-03 UTC
2024-05-26 23:00:00+00:00,23,2024,636,0.1843793790094124,0.19595861781581098,0.27657289309051303,EURUSD,weekly open 21-03 UTC
2024-06-09 22:00:00+00:00,22,2024,1990,0.27845199255581327,0.3552040775025027,0.6495531074672344,EURUSD,weekly open 21-03 UTC
2024-06-09 23:00:00+00:00,23,2024,1098,0.18557695876601552,0.20373665394025472,0.2783667296082405,EURUSD,weekly open 21-03 UTC
2024-06-23 21:00:00+00:00,21,2024,1151,2.4320431032883936,2.4219254528721383,2.899648768351105,EURUSD,weekly open 21-03 UTC
2024-06-23 22:00:00+00:00,22,2024,820,0.28058230180343796,0.41014901037937784,0.8417783971596852,EURUSD,weekly open 21-03 UTC
2024-06-23 23:00:00+00:00,23,2024,1068,0.18713275197339888,0.2262949985291959,0.28070044116728804,EURUSD,weekly open 21-03 UTC
2024-07-14 21:00:00+00:00,21,2024,1747,1.7441353449039994,1.9614307951688008,3.48833799482796,EURUSD,weekly open 21-03 UTC
2024-07-14 22:00:00+00:00,22,2024,2209,0.27560483778335154,0.38430730696688226,0.6428960446368163,EURUSD,weekly open 21-03 UTC
2024-07-14 23:00:00+00:00,23,2024,1360,0.27558964701535943,0.25485845140155167,0.36745826363425227,EURUSD,weekly open 21-03 UTC
2024-07-28 21:00:00+00:00,21,2024,1067,2.3026512726761275,2.4588709596880993,3.131758611670222,EURUSD,weekly open 21-03 UTC
2024-07-28 22:00:00+00:00,22,2024,1129,0.3683309084885541,0.41610687269944047,0.5525726863316447,EURUSD,weekly open 21-03 UTC
2024-07-28 23:00:00+00:00,23,2024,843,0.27638434006510265,0.2698265028863788,0.3685134719366231,EURUSD,weekly open 21-03 UTC
2024-08-11 21:00:00+00:00,21,2024,425,1.4653624940463965,1.651303019368148,2.472969074147787,EURUSD,weekly open 21-03 UTC
2024-08-11 22:00:00+00:00,22,2024,1339,0.27494810354522203,0.3610849493040927,0.5497878735137036,EURUSD,weekly open 21-03 UTC
2024-08-25 21:00:00+00:00,21,2024,756,1.5189760314517704,1.7387161700632425,2.591078668855382,EURUSD,weekly open 21-03 UTC
