feature,form,horizon_bars,horizon_min,ic,spread_bps,net_bps,n
top_z,xs,12,60,-0.00228,-0.62,-27.38,383858
disagree,raw,12,60,0.01126,2.32,-25.68,383845
disagree,xs,12,60,0.00227,0.29,-27.71,383845
dcrowd_15m,raw,12,60,-0.0103,-3.72,-24.28,463187
dcrowd_15m,xs,12,60,-0.00051,-0.54,-27.46,463187
dcrowd_1h,raw,12,60,-0.01045,-4.41,-23.59,463126
dcrowd_1h,xs,12,60,0.00013,-0.45,-27.55,463126
dcrowd_6h,raw,12,60,-0.00986,-2.97,-25.03,463004
dcrowd_6h,xs,12,60,-0.00041,-0.26,-27.74,463004
doi_1h,raw,12,60,-0.01328,-1.74,-26.26,468194
doi_1h,xs,12,60,-0.0033,0.06,-27.94,468194
doi_z,raw,12,60,-0.00989,-1.39,-26.61,468058
doi_z,xs,12,60,-0.00149,0.02,-27.98,468058
oi_price,raw,12,60,0.00483,1.13,-26.87,468194
oi_price,xs,12,60,0.00253,0.65,-27.35,468194
premium_z,raw,12,60,-0.01207,-2.61,-25.39,467194
premium_z,xs,12,60,-0.00982,-1.92,-26.08,467194
imb,raw,24,120,0.00099,0.72,-27.28,468521
imb,xs,24,120,-0.00104,-0.39,-27.61,468521
imb_z,raw,24,120,0.00064,0.08,-27.92,468389
imb_z,xs,24,120,-0.00097,0.15,-27.85,468389
taker_ratio_z,raw,24,120,0.00705,2.56,-25.44,434235
taker_ratio_z,xs,24,120,0.00037,-0.0,-28.0,434235
crowd_z,raw,24,120,-0.01671,-5.39,-22.61,462938
crowd_z,xs,24,120,-0.00309,-1.35,-26.65,462938
top_z,raw,24,120,0.00092,-0.27,-27.73,383846
top_z,xs,24,120,-0.00279,-0.96,-27.04,383846
disagree,raw,24,120,0.01377,4.17,-23.83,383833
disagree,xs,24,120,0.00258,0.55,-27.45,383833
dcrowd_15m,raw,24,120,-0.00629,-4.35,-23.65,463169
dcrowd_15m,xs,24,120,0.0021,-0.8,-27.2,463169
dcrowd_1h,raw,24,120,-0.01211,-5.99,-22.01,463108
dcrowd_1h,xs,24,120,0.0003,-0.08,-27.92,463108
dcrowd_6h,raw,24,120,-0.01161,-4.52,-23.48,462986
dcrowd_6h,xs,24,120,-0.00089,-0.52,-27.48,462986
doi_1h,raw,24,120,-0.01066,-2.45,-25.55,468176
doi_1h,xs,24,120,-0.00212,-0.03,-27.97,468176
doi_z,raw,24,120,-0.00734,-2.0,-26.0,468040
doi_z,xs,24,120,-0.001,-0.04,-27.96,468040
oi_price,raw,24,120,0.00515,1.53,-26.47,468176
oi_price,xs,24,120,0.00333,1.18,-26.82,468176
premium_z,raw,24,120,-0.01073,-2.75,-25.25,467176
premium_z,xs,24,120,-0.00857,-2.33,-25.67,467176
