symbol,tf,topn,trades,pf_2x,total_r,max_dd_r,tpd,avg_r,K
LINKUSDT,30min,3,2362,0.903,-37.76,-41.95,1.233,-0.016,
LINKUSDT,30min,10,7955,0.859,-55.76,-56.26,4.152,-0.007,
LTCUSDT,15min,1,727,0.604,-224.5,-225.22,0.381,-0.3088,
LTCUSDT,15min,3,2120,0.651,-194.09,-194.59,1.111,-0.0916,
LTCUSDT,15min,10,7394,0.658,-194.18,-194.27,3.859,-0.0263,
LTCUSDT,1h,1,559,0.736,-83.18,-90.09,0.292,-0.1488,
LTCUSDT,1h,3,1817,0.714,-93.54,-96.71,0.948,-0.0515,
LTCUSDT,1h,10,6208,0.643,-123.92,-124.5,3.24,-0.02,
LTCUSDT,2h,1,701,0.589,-174.07,-175.85,0.366,-0.2483,
LTCUSDT,2h,3,2143,0.618,-145.47,-146.6,1.118,-0.0679,
LTCUSDT,2h,10,6842,0.7,-100.4,-101.07,3.571,-0.0147,
LTCUSDT,30min,1,651,0.663,-156.92,-158.18,0.341,-0.241,
LTCUSDT,30min,3,2008,0.65,-164.73,-165.93,1.051,-0.082,
LTCUSDT,30min,10,6890,0.714,-129.35,-130.59,3.596,-0.0188,
SOLUSDT,15min,1,650,0.791,-82.89,-92.82,0.375,-0.1275,
SOLUSDT,15min,3,2360,0.758,-114.56,-119.92,1.363,-0.0485,
SOLUSDT,15min,10,8216,0.792,-93.53,-97.25,4.744,-0.0114,
SOLUSDT,1h,1,531,0.953,-14.51,-33.05,0.307,-0.0273,
SOLUSDT,1h,3,1634,0.896,-34.13,-47.1,0.943,-0.0209,
SOLUSDT,1h,10,6120,0.795,-68.0,-70.44,3.533,-0.0111,
SOLUSDT,2h,1,497,0.746,-69.83,-76.16,0.288,-0.1405,
SOLUSDT,2h,3,1536,0.846,-41.02,-46.06,0.886,-0.0267,
SOLUSDT,2h,10,4950,0.892,-24.9,-26.45,2.856,-0.005,
SOLUSDT,30min,1,701,0.846,-50.95,-59.19,0.408,-0.0727,
SOLUSDT,30min,3,2264,0.81,-64.63,-70.33,1.318,-0.0285,
SOLUSDT,30min,10,8134,0.788,-85.41,-90.23,4.732,-0.0105,
XRPUSDT,15min,1,739,0.668,-210.89,-279.8,0.386,-0.2854,
XRPUSDT,15min,3,2281,0.708,-185.76,-229.74,1.191,-0.0814,
XRPUSDT,15min,10,8422,0.725,-188.29,-220.69,4.396,-0.0224,
XRPUSDT,1h,1,685,0.753,-124.49,-172.26,0.358,-0.1817,
XRPUSDT,1h,3,2122,0.752,-113.11,-146.82,1.108,-0.0533,
XRPUSDT,1h,10,7058,0.724,-118.28,-135.91,3.684,-0.0168,
XRPUSDT,2h,1,637,0.751,-76.58,-114.89,0.333,-0.1202,
XRPUSDT,2h,3,2260,0.724,-93.3,-107.99,1.18,-0.0413,
XRPUSDT,2h,10,8100,0.767,-82.07,-97.36,4.228,-0.0101,
XRPUSDT,30min,1,910,0.594,-242.89,-257.68,0.477,-0.2669,
XRPUSDT,30min,3,2575,0.67,-198.76,-198.76,1.349,-0.0772,
XRPUSDT,30min,10,8994,0.677,-193.45,-196.23,4.697,-0.0215,
