crit,legs,n_legs,trades,pf,pf_2x,tpd,total_r_2x,max_dd_r,K,r_per_day,days_est,risk,pass_rate,median_days,expected_days
K,XAUUSD 5min,1,2608,1.572,1.41,4.12,65.5,-12.91,0.00802,0.1035,202.7,0.005,0.594,209.0,351.9
pf,"XAUUSD 15min, XAUUSD 5min",2,5063,1.528,1.353,7.998,65.69,-14.17,0.00732,0.1038,221.9,0.005,0.6535,201.0,307.6
