n_legs,legs,r_per_day,max_dd_r,K,trades,tpd
5,BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.0581,-6.82082,0.00852,725,1.09023
5,BTCUSDT 4h + ETHUSDT 1h + ETHUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.10571,-4.9392,0.0214,856,1.28722
5,ETHUSDT 15m + ETHUSDT 1h + ETHUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.10207,-5.91999,0.01724,774,1.16566
6,BTCUSDT 1h + BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 1h + ETHUSDT 30m,0.08398,-10.30007,0.00815,1143,1.7188
6,BTCUSDT 1h + BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 1h + SOLUSDT 4h,0.07783,-12.18838,0.00639,1107,1.66466
6,BTCUSDT 1h + BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 1h + XAUUSD 5m,0.07328,-15.70967,0.00466,1224,1.8406
6,BTCUSDT 1h + BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 30m + SOLUSDT 4h,0.05621,-9.90601,0.00567,1027,1.54436
6,BTCUSDT 1h + BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 30m + XAUUSD 5m,0.05166,-13.1664,0.00392,1144,1.7203
6,BTCUSDT 1h + BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 15m + SOLUSDT 4h + XAUUSD 5m,0.04551,-15.85173,0.00287,1108,1.66617
6,BTCUSDT 1h + BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 1h + ETHUSDT 30m + SOLUSDT 4h,0.09589,-8.97643,0.01068,1158,1.74135
6,BTCUSDT 1h + BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 1h + ETHUSDT 30m + XAUUSD 5m,0.09134,-11.23203,0.00813,1275,1.91729
6,BTCUSDT 1h + BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 1h + SOLUSDT 4h + XAUUSD 5m,0.08519,-12.98035,0.00656,1239,1.86316
6,BTCUSDT 1h + BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.06357,-10.82476,0.00587,1159,1.74286
6,BTCUSDT 1h + BTCUSDT 30m + ETHUSDT 15m + ETHUSDT 1h + ETHUSDT 30m + SOLUSDT 4h,0.09287,-10.23373,0.00907,1076,1.62048
6,BTCUSDT 1h + BTCUSDT 30m + ETHUSDT 15m + ETHUSDT 1h + ETHUSDT 30m + XAUUSD 5m,0.08818,-13.174,0.00669,1193,1.79398
6,BTCUSDT 1h + BTCUSDT 30m + ETHUSDT 15m + ETHUSDT 1h + SOLUSDT 4h + XAUUSD 5m,0.08203,-15.12529,0.00542,1157,1.73985
6,BTCUSDT 1h + BTCUSDT 30m + ETHUSDT 15m + ETHUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.06041,-12.76673,0.00473,1077,1.61955
6,BTCUSDT 1h + BTCUSDT 30m + ETHUSDT 1h + ETHUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.10009,-10.96923,0.00912,1208,1.81654
6,BTCUSDT 1h + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 1h + ETHUSDT 30m + SOLUSDT 4h,0.08224,-8.84963,0.00929,943,1.42018
6,BTCUSDT 1h + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 1h + ETHUSDT 30m + XAUUSD 5m,0.07757,-11.93093,0.0065,1060,1.59398
6,BTCUSDT 1h + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 1h + SOLUSDT 4h + XAUUSD 5m,0.07141,-13.57058,0.00526,1024,1.53985
6,BTCUSDT 1h + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.0498,-11.5307,0.00432,944,1.41955
6,BTCUSDT 1h + BTCUSDT 4h + ETHUSDT 1h + ETHUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.08947,-9.25709,0.00967,1075,1.61654
6,BTCUSDT 1h + ETHUSDT 15m + ETHUSDT 1h + ETHUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.08632,-11.39859,0.00757,993,1.49323
6,BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 1h + ETHUSDT 30m + SOLUSDT 4h,0.09609,-6.70087,0.01434,1028,1.54586
6,BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 1h + ETHUSDT 30m + XAUUSD 5m,0.09154,-6.49511,0.01409,1145,1.7218
6,BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 1h + SOLUSDT 4h + XAUUSD 5m,0.08539,-7.12063,0.01199,1109,1.66767
6,BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.06377,-5.81687,0.01096,1029,1.54737
6,BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 1h + ETHUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.10345,-5.63876,0.01835,1160,1.74436
6,BTCUSDT 30m + ETHUSDT 15m + ETHUSDT 1h + ETHUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.10044,-6.0169,0.01669,1078,1.62349
6,BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 1h + ETHUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.08968,-4.81493,0.01862,945,1.42105
7,BTCUSDT 1h + BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 1h + ETHUSDT 30m + SOLUSDT 4h,0.08355,-8.64618,0.00966,1247,1.87519
7,BTCUSDT 1h + BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 1h + ETHUSDT 30m + XAUUSD 5m,0.07965,-11.34728,0.00702,1364,2.05113
7,BTCUSDT 1h + BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 1h + SOLUSDT 4h + XAUUSD 5m,0.07438,-13.17813,0.00564,1328,1.99699
7,BTCUSDT 1h + BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.05585,-10.96962,0.00509,1248,1.87669
7,BTCUSDT 1h + BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 1h + ETHUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.08986,-9.34015,0.00962,1379,2.07368
7,BTCUSDT 1h + BTCUSDT 30m + ETHUSDT 15m + ETHUSDT 1h + ETHUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.08715,-11.0047,0.00792,1297,1.95038
7,BTCUSDT 1h + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 1h + ETHUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.07805,-9.94525,0.00785,1164,1.75038
7,BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 1h + ETHUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.09003,-5.18681,0.01736,1249,1.8782
8,BTCUSDT 1h + BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 1h + ETHUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.07981,-9.65248,0.00827,1468,2.20752
