n_legs,legs,r_per_day,max_dd_r,K,trades,tpd
3,BTCUSDT 30m + ETHUSDT 15m + ETHUSDT 30m,0.07329,-16.48144,0.00445,533,0.80271
3,BTCUSDT 30m + ETHUSDT 15m + SOLUSDT 4h,0.06152,-8.19448,0.00751,497,0.75532
3,BTCUSDT 30m + ETHUSDT 15m + XAUUSD 5m,0.05225,-15.12031,0.00346,614,0.93171
3,BTCUSDT 30m + ETHUSDT 1h + ETHUSDT 30m,0.15277,-13.39559,0.0114,664,1.0
3,BTCUSDT 30m + ETHUSDT 1h + SOLUSDT 4h,0.14044,-11.88571,0.01182,628,0.94578
3,BTCUSDT 30m + ETHUSDT 1h + XAUUSD 5m,0.13133,-10.88215,0.01207,745,1.12199
3,BTCUSDT 30m + ETHUSDT 30m + SOLUSDT 4h,0.09714,-10.98013,0.00885,548,0.8253
3,BTCUSDT 30m + ETHUSDT 30m + XAUUSD 5m,0.08803,-10.83489,0.00812,665,1.00151
3,BTCUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.07698,-9.76222,0.00789,629,0.96325
3,BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 1h,0.09533,-6.64016,0.01436,480,0.72289
3,BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 30m,0.05203,-13.54807,0.00384,400,0.60241
3,BTCUSDT 4h + ETHUSDT 15m + SOLUSDT 4h,0.03971,-7.12008,0.00558,364,0.54819
3,BTCUSDT 4h + ETHUSDT 15m + XAUUSD 5m,0.03055,-12.83976,0.00238,481,0.72331
3,BTCUSDT 4h + ETHUSDT 1h + ETHUSDT 30m,0.1317,-10.91013,0.01207,531,0.8009
3,BTCUSDT 4h + ETHUSDT 1h + SOLUSDT 4h,0.11936,-5.68793,0.02098,495,0.74661
3,BTCUSDT 4h + ETHUSDT 1h + XAUUSD 5m,0.1099,-7.60764,0.01445,612,0.9203
3,BTCUSDT 4h + ETHUSDT 30m + SOLUSDT 4h,0.076,-9.43147,0.00806,415,0.62594
3,BTCUSDT 4h + ETHUSDT 30m + XAUUSD 5m,0.06667,-9.31199,0.00716,532,0.8
3,BTCUSDT 4h + SOLUSDT 4h + XAUUSD 5m,0.05436,-7.39304,0.00735,496,0.74586
3,ETHUSDT 15m + ETHUSDT 1h + ETHUSDT 30m,0.12537,-12.26408,0.01022,449,0.67722
3,ETHUSDT 15m + ETHUSDT 1h + SOLUSDT 4h,0.11302,-6.06984,0.01862,413,0.62293
3,ETHUSDT 15m + ETHUSDT 1h + XAUUSD 5m,0.10374,-11.66393,0.00889,530,0.79819
3,ETHUSDT 15m + ETHUSDT 30m + SOLUSDT 4h,0.06966,-13.25928,0.00525,333,0.50226
3,ETHUSDT 15m + ETHUSDT 30m + XAUUSD 5m,0.06044,-12.81128,0.00472,450,0.67771
3,ETHUSDT 15m + SOLUSDT 4h + XAUUSD 5m,0.04848,-11.40568,0.00425,414,0.62822
3,ETHUSDT 1h + ETHUSDT 30m + SOLUSDT 4h,0.14971,-10.41198,0.01438,464,0.70197
3,ETHUSDT 1h + ETHUSDT 30m + XAUUSD 5m,0.13992,-10.48193,0.01335,581,0.875
3,ETHUSDT 1h + SOLUSDT 4h + XAUUSD 5m,0.12759,-6.38293,0.01999,545,0.82078
3,ETHUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.08429,-8.4165,0.01002,465,0.7003
4,BTCUSDT 1h + BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 15m,0.03461,-19.41596,0.00178,783,1.17744
4,BTCUSDT 1h + BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 1h,0.09412,-15.10888,0.00623,914,1.37444
4,BTCUSDT 1h + BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 30m,0.0617,-12.3139,0.00501,834,1.25414
4,BTCUSDT 1h + BTCUSDT 30m + BTCUSDT 4h + SOLUSDT 4h,0.05247,-15.40723,0.00341,798,1.2
4,BTCUSDT 1h + BTCUSDT 30m + BTCUSDT 4h + XAUUSD 5m,0.04565,-20.68916,0.00221,915,1.37594
4,BTCUSDT 1h + BTCUSDT 30m + ETHUSDT 15m + ETHUSDT 1h,0.08952,-18.3263,0.00488,832,1.25301
4,BTCUSDT 1h + BTCUSDT 30m + ETHUSDT 15m + ETHUSDT 30m,0.05705,-15.25598,0.00374,752,1.13253
4,BTCUSDT 1h + BTCUSDT 30m + ETHUSDT 15m + SOLUSDT 4h,0.0478,-18.7122,0.00255,716,1.07831
4,BTCUSDT 1h + BTCUSDT 30m + ETHUSDT 15m + XAUUSD 5m,0.04091,-23.90658,0.00171,833,1.25263
4,BTCUSDT 1h + BTCUSDT 30m + ETHUSDT 1h + ETHUSDT 30m,0.11665,-13.91783,0.00838,883,1.32982
4,BTCUSDT 1h + BTCUSDT 30m + ETHUSDT 1h + SOLUSDT 4h,0.10741,-14.40512,0.00746,847,1.2756
4,BTCUSDT 1h + BTCUSDT 30m + ETHUSDT 1h + XAUUSD 5m,0.10042,-19.5995,0.00512,964,1.44962
4,BTCUSDT 1h + BTCUSDT 30m + ETHUSDT 30m + SOLUSDT 4h,0.07493,-12.41969,0.00603,767,1.15512
4,BTCUSDT 1h + BTCUSDT 30m + ETHUSDT 30m + XAUUSD 5m,0.068,-16.84848,0.00404,884,1.32932
4,BTCUSDT 1h + BTCUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.05877,-19.81259,0.00297,848,1.27519
4,BTCUSDT 1h + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 1h,0.07357,-17.01115,0.00433,699,1.05271
4,BTCUSDT 1h + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 30m,0.0411,-13.01681,0.00316,619,0.93223
4,BTCUSDT 1h + BTCUSDT 4h + ETHUSDT 15m + SOLUSDT 4h,0.03186,-16.56889,0.00192,583,0.87801
4,BTCUSDT 1h + BTCUSDT 4h + ETHUSDT 15m + XAUUSD 5m,0.02499,-21.51394,0.00116,700,1.05263
4,BTCUSDT 1h + BTCUSDT 4h + ETHUSDT 1h + ETHUSDT 30m,0.10071,-10.80959,0.00932,750,1.12952
4,BTCUSDT 1h + BTCUSDT 4h + ETHUSDT 1h + SOLUSDT 4h,0.09146,-12.58965,0.00726,714,1.0753
4,BTCUSDT 1h + BTCUSDT 4h + ETHUSDT 1h + XAUUSD 5m,0.0845,-17.08868,0.00494,831,1.24962
4,BTCUSDT 1h + BTCUSDT 4h + ETHUSDT 30m + SOLUSDT 4h,0.05899,-9.91338,0.00595,634,0.95482
4,BTCUSDT 1h + BTCUSDT 4h + ETHUSDT 30m + XAUUSD 5m,0.05208,-14.26972,0.00365,751,1.12932
4,BTCUSDT 1h + BTCUSDT 4h + SOLUSDT 4h + XAUUSD 5m,0.04285,-17.30178,0.00248,715,1.07519
4,BTCUSDT 1h + ETHUSDT 15m + ETHUSDT 1h + ETHUSDT 30m,0.09596,-13.76352,0.00697,668,1.00602
4,BTCUSDT 1h + ETHUSDT 15m + ETHUSDT 1h + SOLUSDT 4h,0.08672,-15.71052,0.00552,632,0.95181
4,BTCUSDT 1h + ETHUSDT 15m + ETHUSDT 1h + XAUUSD 5m,0.07976,-20.3061,0.00393,749,1.12632
4,BTCUSDT 1h + ETHUSDT 15m + ETHUSDT 30m + SOLUSDT 4h,0.05424,-12.91731,0.0042,552,0.83133
4,BTCUSDT 1h + ETHUSDT 15m + ETHUSDT 30m + XAUUSD 5m,0.04734,-17.43197,0.00272,669,1.00602
4,BTCUSDT 1h + ETHUSDT 15m + SOLUSDT 4h + XAUUSD 5m,0.03811,-20.5192,0.00186,633,0.95188
4,BTCUSDT 1h + ETHUSDT 1h + ETHUSDT 30m + SOLUSDT 4h,0.11402,-10.71009,0.01065,683,1.03017
4,BTCUSDT 1h + ETHUSDT 1h + ETHUSDT 30m + XAUUSD 5m,0.10685,-14.12279,0.00757,800,1.20301
4,BTCUSDT 1h + ETHUSDT 1h + SOLUSDT 4h + XAUUSD 5m,0.09762,-16.21212,0.00602,764,1.14887
4,BTCUSDT 1h + ETHUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.0652,-13.51188,0.00483,684,1.02857
4,BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 1h,0.09443,-8.9331,0.01057,784,1.17895
4,BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 30m,0.06201,-11.04687,0.00561,704,1.05865
4,BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 15m + SOLUSDT 4h,0.05277,-7.82296,0.00675,668,1.00451
4,BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 15m + XAUUSD 5m,0.04595,-11.71403,0.00392,785,1.18045
4,BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 1h + ETHUSDT 30m,0.12152,-10.25328,0.01185,835,1.25564
4,BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 1h + SOLUSDT 4h,0.11229,-8.88192,0.01264,799,1.2015
4,BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 1h + XAUUSD 5m,0.10547,-9.11884,0.01157,916,1.37744
4,BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 30m + SOLUSDT 4h,0.07986,-7.26661,0.01099,719,1.0812
4,BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 30m + XAUUSD 5m,0.07304,-7.31753,0.00998,836,1.25714
4,BTCUSDT 30m + BTCUSDT 4h + SOLUSDT 4h + XAUUSD 5m,0.06381,-7.62004,0.00837,800,1.20301
4,BTCUSDT 30m + ETHUSDT 15m + ETHUSDT 1h + ETHUSDT 30m,0.11696,-10.66548,0.01097,753,1.13404
