legs,n_legs,target,risk,mean_corr,active_days_per_day,cagr,max_dd,sharpe,pass_rate,fail_max,fail_daily,median_days,p25_days,pass_within_7,pass_within_14,pass_within_30
XAUUSD 1h,1,8%,0.01,0.0,0.145,0.1029,-0.0415,1.41,0.5533,0.0,0.0,153.0,84.25,0.0,0.0018,0.0138
XAUUSD 1h,1,5%,0.01,0.0,0.145,0.1029,-0.0415,1.41,0.6949,0.0,0.0,113.5,65.0,0.0,0.0028,0.0432
XAUUSD 1h,1,8%,0.015,0.0,0.145,0.1479,-0.0604,1.41,0.6278,0.0,0.0,112.0,62.0,0.0,0.0018,0.0368
XAUUSD 1h,1,5%,0.015,0.0,0.145,0.1479,-0.0604,1.41,0.7665,0.0,0.0,66.0,35.0,0.0,0.0028,0.1232
XAUUSD 1h,1,8%,0.02,0.0,0.145,0.1897,-0.0782,1.41,0.4081,0.148,0.3116,50.0,35.0,0.0,0.0018,0.0708
XAUUSD 1h,1,5%,0.02,0.0,0.145,0.1897,-0.0782,1.41,0.648,0.0873,0.1415,47.0,30.0,0.0,0.0055,0.1654
XAUUSD 1h,1,8%,0.03,0.0,0.145,0.2654,-0.1108,1.41,0.5634,0.204,0.1553,41.0,29.0,0.0,0.0055,0.1627
XAUUSD 1h,1,5%,0.03,0.0,0.145,0.2654,-0.1108,1.41,0.6296,0.1728,0.1232,35.0,26.0,0.0,0.0083,0.2436
USDJPY 15m,1,8%,0.005,0.0,0.192,0.1178,-0.1516,0.76,0.3364,0.5496,0.0,48.0,29.0,0.0,0.0,0.0901
USDJPY 15m,1,5%,0.005,0.0,0.192,0.1178,-0.1516,0.76,0.454,0.4522,0.0,45.5,30.0,0.0,0.0092,0.1158
USDJPY 15m,1,8%,0.0075,0.0,0.192,0.1685,-0.1924,0.76,0.4366,0.4807,0.0,45.0,29.0,0.0,0.0037,0.1158
USDJPY 15m,1,5%,0.0075,0.0,0.192,0.1685,-0.1924,0.76,0.4651,0.4678,0.0,38.0,24.0,0.0,0.0221,0.1618
USDJPY 15m,1,8%,0.01,0.0,0.192,0.2152,-0.2223,0.76,0.3915,0.5414,0.0,39.0,25.0,0.0,0.0101,0.1268
USDJPY 15m,1,5%,0.01,0.0,0.192,0.2152,-0.2223,0.76,0.4182,0.5239,0.0,32.0,22.0,0.0,0.023,0.1884
USDJPY 15m,1,8%,0.015,0.0,0.192,0.2992,-0.2633,0.76,0.3465,0.5239,0.1002,31.0,21.0,0.0,0.0175,0.1719
USDJPY 15m,1,5%,0.015,0.0,0.192,0.2992,-0.2633,0.76,0.4099,0.4605,0.1002,29.0,20.0,0.0,0.0257,0.2188
USDJPY 15m,1,8%,0.02,0.0,0.192,0.3737,-0.29,0.76,0.2932,0.2243,0.4789,31.0,21.0,0.0,0.0156,0.1415
USDJPY 15m,1,5%,0.02,0.0,0.192,0.3737,-0.29,0.76,0.3006,0.2178,0.4779,30.0,20.5,0.0,0.0202,0.1507
USDJPY 15m,1,8%,0.03,0.0,0.192,0.5025,-0.3228,0.76,0.1636,0.3483,0.4844,24.0,18.0,0.0,0.0175,0.102
USDJPY 15m,1,5%,0.03,0.0,0.192,0.5025,-0.3228,0.76,0.1682,0.3438,0.4844,23.0,18.0,0.0,0.0175,0.1066
NZDUSD 4h,1,8%,0.005,0.0,0.131,0.0351,-0.0169,1.03,0.0,0.0,0.0,,,0.0,0.0,0.0
NZDUSD 4h,1,5%,0.005,0.0,0.131,0.0351,-0.0169,1.03,0.1627,0.0,0.0,315.0,298.0,0.0,0.0,0.0
NZDUSD 4h,1,8%,0.0075,0.0,0.131,0.0517,-0.0243,1.03,0.1526,0.0,0.0,330.0,317.0,0.0,0.0,0.0
