book,legs,trades,pf,total_r,max_dd_r,r_per_day,tpd,win,avg_r,risk,pass_rate,median_days,expected_days,one_step_days,fail_max,fail_daily,tf,floor,topn,tag
4h floor30 top1,1,102,2.098,36.42,4.81,0.0593,0.17,0.5588,0.3571,0.015,0.7415,143.0,192.9,89.5,0.0,0.0,4h,30,1,real
1h floor100 top10,1,1908,1.601,50.86,9.49,0.0827,3.1,0.3889,0.0267,0.0075,0.7873,165.0,209.6,139.1,0.0,0.0,1h,100,10,real
4h floor100 top1,1,196,1.561,47.6,7.97,0.0769,0.32,0.4439,0.2428,0.01,0.8712,190.0,218.1,117.5,0.0,0.0,4h,100,1,real
5m floor100 top10,1,2308,2.021,145.22,10.79,0.2346,3.73,0.3761,0.0629,0.005,0.7794,170.5,218.8,71.2,0.0,0.0,5m,100,10,real
5m floor30 top10,1,1177,1.956,54.04,7.01,0.088,1.92,0.4537,0.0459,0.01,0.7154,180.5,252.3,185.1,0.0,0.0,5m,30,10,real
15m floor30 top10,1,1194,1.697,48.51,5.71,0.0782,1.93,0.3325,0.0406,0.0125,0.754,203.0,269.2,89.0,0.0,0.0,15m,30,10,real
5m floor30 top1,1,108,2.05,50.28,9.4,0.0831,0.18,0.4537,0.4656,0.0075,0.771,213.5,276.9,144.0,0.0,0.0,5m,30,1,real
1h floor30 top10,1,746,1.595,24.04,6.3,0.0392,1.22,0.4263,0.0322,0.0125,0.6992,213.5,305.3,248.4,0.0,0.0,1h,30,10,real
4h floor100 top10,1,1973,1.545,35.03,5.65,0.0565,3.18,0.483,0.0178,0.0125,0.7122,218.0,306.1,105.5,0.0,0.0,4h,100,10,real
30m floor100 top10,1,2184,1.351,54.49,11.47,0.0879,3.52,0.326,0.0249,0.005,0.6447,201.0,311.8,168.0,0.0,0.0,30m,100,10,real
4h floor30 top10,1,805,1.578,17.42,5.06,0.0284,1.31,0.4907,0.0216,0.015,0.6488,230.0,354.5,229.9,0.0,0.0,4h,30,10,real
15m floor100 top10,1,2558,1.456,75.7,13.73,0.1221,4.13,0.3104,0.0296,0.005,0.6897,256.0,371.2,103.5,0.0,0.0,15m,100,10,real
5m floor100 top1,1,199,2.109,135.14,21.06,0.2205,0.32,0.3819,0.6791,0.0025,0.6488,284.0,437.7,167.8,0.0,0.0,5m,100,1,real
1h floor100 top1,1,145,1.894,58.91,21.61,0.0961,0.24,0.3517,0.4063,0.0025,0.1935,227.0,1173.1,295.6,0.0,0.0,1h,100,1,real
30m floor30 top10,1,1029,1.249,18.56,8.32,0.0299,1.66,0.3052,0.018,0.0075,0.2733,326.5,1194.7,316.1,0.0,0.0,30m,30,10,real
15m floor30 top1,1,127,1.718,45.48,11.63,0.0736,0.21,0.2441,0.3581,0.005,0.1726,221.0,1280.4,291.5,0.0,0.0,15m,30,1,real
1h floor30 top1,1,63,1.872,27.75,8.85,0.0478,0.11,0.4762,0.4405,0.0075,0.1443,187.5,1299.4,204.6,0.0,0.0,1h,30,1,real
15m floor100 top1,1,310,1.123,21.16,35.23,0.0342,0.5,0.2226,0.0683,0.0025,0.0,,,325.5,0.2892,0.0,15m,100,1,real
30m floor30 top1,1,76,1.139,7.05,18.71,0.0114,0.12,0.3421,0.0928,0.0025,0.0,,,,0.0,0.0,30m,30,1,real
30m floor100 top1,1,181,1.07,9.34,31.62,0.0152,0.29,0.2762,0.0516,0.0025,0.0,,,335.1,0.0,0.0,30m,100,1,real
