book,legs,trades,pf,total_r,max_dd_r,r_per_day,tpd,win,avg_r,risk,pass_rate,median_days,expected_days,one_step_days,fail_max,fail_daily,weighting,combo,tag
5m+30m+1h+4h [sig_cost],4,2723,2.016,96.57,7.52,0.1563,4.41,0.3918,0.0355,0.01,0.8984,129.0,143.6,55.9,0.0,0.0,sig_cost,5m+30m+1h+4h,real_fixed
5m+1h+4h [by_r],3,2672,1.909,103.82,8.97,0.168,4.32,0.3918,0.0389,0.0075,0.8984,134.0,149.2,67.7,0.0,0.0,by_r,5m+1h+4h,real_fixed
5m+15m+1h [equal],3,4871,1.733,92.24,9.31,0.1493,7.88,0.358,0.0189,0.0075,0.8968,134.0,149.4,84.1,0.0,0.0,equal,5m+15m+1h,real_fixed
5m+30m+4h [sig_cost],3,2583,2.032,100.81,7.8,0.1631,4.18,0.3945,0.039,0.01,0.7871,122.5,155.6,53.7,0.0,0.0,sig_cost,5m+30m+4h,real_fixed
5m+15m+1h+4h [by_r],4,5061,1.763,97.79,8.94,0.1582,8.19,0.3616,0.0193,0.0075,0.8984,140.0,155.8,78.6,0.0,0.0,by_r,5m+15m+1h+4h,real_fixed
5m+15m+4h [equal],3,4921,1.652,84.72,9.89,0.1371,7.96,0.3621,0.0172,0.0075,0.8952,140.0,156.4,78.0,0.0,0.0,equal,5m+15m+4h,real_fixed
5m+15m+1h+4h [equal],4,5061,1.674,77.61,9.01,0.1256,8.19,0.3616,0.0153,0.0075,0.8984,144.0,160.3,86.7,0.0,0.0,equal,5m+15m+1h+4h,real_fixed
5m+15m+30m+1h [equal],4,4922,1.828,84.77,7.92,0.1372,7.96,0.3584,0.0172,0.01,0.8968,147.5,164.5,78.3,0.0,0.0,equal,5m+15m+30m+1h,real_fixed
5m+15m+30m+1h+4h [by_r],5,5112,1.82,91.86,8.32,0.1486,8.27,0.3619,0.018,0.0075,0.8984,149.0,165.9,84.8,0.0,0.0,by_r,5m+15m+30m+1h+4h,real_fixed
5m+15m [sig_cost],2,4731,1.826,122.06,10.38,0.1975,7.66,0.3585,0.0258,0.0075,0.7839,133.5,170.3,61.0,0.0,0.0,sig_cost,5m+15m,real_fixed
5m+30m+1h+4h [equal],4,2723,1.898,73.05,7.37,0.1182,4.41,0.3918,0.0268,0.01,0.8984,156.0,173.6,75.1,0.0,0.0,equal,5m+30m+1h+4h,real_fixed
5m+15m [by_r],2,4731,1.789,118.18,10.5,0.1912,7.66,0.3585,0.025,0.0075,0.779,138.0,177.2,61.0,0.0,0.0,by_r,5m+15m,real_fixed
5m+30m+4h [equal],3,2583,1.926,78.63,7.49,0.1272,4.18,0.3945,0.0304,0.01,0.8226,146.0,177.5,72.2,0.0,0.0,equal,5m+30m+4h,real_fixed
5m+4h [sig_cost],2,2532,1.926,118.82,9.0,0.1923,4.1,0.3945,0.0469,0.0075,0.7855,142.0,180.8,57.8,0.0,0.0,sig_cost,5m+4h,real_fixed
5m+4h [by_r],2,2532,1.928,119.23,9.01,0.1929,4.1,0.3945,0.0471,0.0075,0.7855,142.0,180.8,57.8,0.0,0.0,by_r,5m+4h,real_fixed
