sym,tf,thr,stop_sig,rr,hold,n,win,avg_r,pf,null_pf,tpd,r_per_day
XAUUSD,4h,1.5,2.0,0.0,24,509,19.1,0.69,1.813,0.503,0.46,0.3204
XAUUSD,4h,1.5,2.0,0.0,48,368,14.1,0.4301,1.472,0.35,0.34,0.1444
XAUUSD,4h,1.5,2.0,0.0,96,289,8.7,0.6673,1.693,0.313,0.26,0.176
XAUUSD,4h,1.5,3.0,2.0,24,577,40.6,0.1056,1.178,0.727,0.53,0.0556
XAUUSD,4h,1.5,3.0,2.0,48,466,39.5,0.11,1.177,0.695,0.43,0.0468
XAUUSD,4h,1.5,3.0,2.0,96,413,39.0,0.129,1.205,0.669,0.38,0.0486
XAUUSD,4h,1.5,3.0,4.0,24,497,33.2,0.2054,1.305,0.778,0.45,0.0931
XAUUSD,4h,1.5,3.0,4.0,48,337,30.6,0.2014,1.283,0.665,0.31,0.0619
XAUUSD,4h,1.5,3.0,4.0,96,265,29.1,0.3255,1.453,0.69,0.24,0.0787
XAUUSD,4h,1.5,3.0,6.0,24,465,29.5,0.1917,1.269,0.703,0.42,0.0813
XAUUSD,4h,1.5,3.0,6.0,48,323,27.6,0.3484,1.468,0.621,0.29,0.1027
XAUUSD,4h,1.5,3.0,6.0,96,225,22.2,0.2617,1.33,0.59,0.21,0.0537
XAUUSD,4h,1.5,3.0,8.0,24,468,26.9,0.213,1.286,0.623,0.43,0.091
XAUUSD,4h,1.5,3.0,8.0,48,329,23.7,0.2738,1.348,0.645,0.3,0.0822
XAUUSD,4h,1.5,3.0,8.0,96,229,19.2,0.2525,1.303,0.669,0.21,0.0528
XAUUSD,4h,1.5,3.0,0.0,24,442,24.9,0.4286,1.558,0.698,0.4,0.1728
XAUUSD,4h,1.5,3.0,0.0,48,290,19.7,0.1873,1.226,0.572,0.26,0.0496
XAUUSD,4h,1.5,3.0,0.0,96,197,14.7,0.2423,1.276,0.421,0.18,0.0436
XAUUSD,4h,2.0,1.0,2.0,24,699,23.2,-0.4071,0.522,0.401,0.64,-0.2596
XAUUSD,4h,2.0,1.0,2.0,48,699,23.2,-0.4071,0.522,0.401,0.64,-0.2596
XAUUSD,4h,2.0,1.0,2.0,96,699,23.2,-0.4071,0.522,0.401,0.64,-0.2596
XAUUSD,4h,2.0,1.0,4.0,24,648,17.3,-0.2451,0.732,0.541,0.59,-0.1449
XAUUSD,4h,2.0,1.0,4.0,48,644,16.9,-0.2558,0.722,0.538,0.59,-0.1503
XAUUSD,4h,2.0,1.0,4.0,96,644,16.9,-0.2558,0.722,0.538,0.59,-0.1503
XAUUSD,4h,2.0,1.0,6.0,24,621,13.7,-0.1659,0.826,0.71,0.57,-0.094
XAUUSD,4h,2.0,1.0,6.0,48,613,13.2,-0.1807,0.811,0.707,0.56,-0.1011
XAUUSD,4h,2.0,1.0,6.0,96,613,13.2,-0.1767,0.815,0.707,0.56,-0.0988
XAUUSD,4h,2.0,1.0,8.0,24,589,12.4,-0.066,0.932,0.755,0.54,-0.0355
XAUUSD,4h,2.0,1.0,8.0,48,574,11.7,-0.0775,0.921,0.761,0.52,-0.0406
XAUUSD,4h,2.0,1.0,8.0,96,570,11.6,-0.0668,0.932,0.774,0.52,-0.0347
XAUUSD,4h,2.0,1.0,0.0,24,511,9.4,0.2688,1.268,0.362,0.47,0.1253
XAUUSD,4h,2.0,1.0,0.0,48,440,5.9,0.1347,1.13,0.417,0.4,0.0541
XAUUSD,4h,2.0,1.0,0.0,96,394,3.3,0.3484,1.326,0.684,0.36,0.1252
XAUUSD,4h,2.0,1.5,2.0,24,681,26.4,-0.2932,0.634,0.49,0.62,-0.1822
XAUUSD,4h,2.0,1.5,2.0,48,677,25.8,-0.3061,0.62,0.487,0.62,-0.1891
XAUUSD,4h,2.0,1.5,2.0,96,675,25.9,-0.305,0.622,0.487,0.62,-0.1878
XAUUSD,4h,2.0,1.5,4.0,24,603,20.4,-0.1168,0.865,0.683,0.55,-0.0643
XAUUSD,4h,2.0,1.5,4.0,48,571,19.3,-0.1346,0.846,0.684,0.52,-0.0701
XAUUSD,4h,2.0,1.5,4.0,96,555,18.9,-0.1415,0.839,0.674,0.51,-0.0717
XAUUSD,4h,2.0,1.5,6.0,24,564,17.0,-0.0545,0.94,0.793,0.51,-0.028
XAUUSD,4h,2.0,1.5,6.0,48,533,15.6,-0.0359,0.961,0.791,0.49,-0.0175
XAUUSD,4h,2.0,1.5,6.0,96,520,15.0,-0.0457,0.95,0.785,0.47,-0.0217
XAUUSD,4h,2.0,1.5,8.0,24,540,16.5,0.0534,1.059,0.727,0.49,0.0263
XAUUSD,4h,2.0,1.5,8.0,48,488,15.6,0.1751,1.191,0.744,0.45,0.078
XAUUSD,4h,2.0,1.5,8.0,96,472,14.6,0.1912,1.206,0.747,0.43,0.0823
XAUUSD,4h,2.0,1.5,0.0,24,482,13.5,0.3366,1.357,0.834,0.44,0.148
XAUUSD,4h,2.0,1.5,0.0,48,399,9.0,0.1733,1.175,0.933,0.36,0.0631
XAUUSD,4h,2.0,1.5,0.0,96,338,5.0,0.2506,1.243,1.167,0.31,0.0773
XAUUSD,4h,2.0,2.0,2.0,24,645,28.4,-0.2361,0.694,0.501,0.59,-0.1389
XAUUSD,4h,2.0,2.0,2.0,48,629,27.7,-0.243,0.688,0.503,0.57,-0.1395
XAUUSD,4h,2.0,2.0,2.0,96,624,27.4,-0.2507,0.68,0.507,0.57,-0.1427
XAUUSD,4h,2.0,2.0,4.0,24,554,22.6,-0.055,0.934,0.674,0.51,-0.0278
XAUUSD,4h,2.0,2.0,4.0,48,523,20.3,-0.0791,0.908,0.647,0.48,-0.0377
XAUUSD,4h,2.0,2.0,4.0,96,517,20.1,-0.0744,0.913,0.666,0.47,-0.0351
XAUUSD,4h,2.0,2.0,6.0,24,521,20.0,0.0157,1.018,0.637,0.48,0.0075
XAUUSD,4h,2.0,2.0,6.0,48,471,18.5,0.1086,1.124,0.633,0.43,0.0467
XAUUSD,4h,2.0,2.0,6.0,96,452,17.7,0.1219,1.138,0.648,0.41,0.0503
XAUUSD,4h,2.0,2.0,8.0,24,510,18.2,0.0258,1.029,0.609,0.47,0.012
XAUUSD,4h,2.0,2.0,8.0,48,441,15.4,0.0591,1.065,0.612,0.4,0.0238
XAUUSD,4h,2.0,2.0,8.0,96,403,13.4,-0.0011,0.999,0.636,0.37,-0.0004
XAUUSD,4h,2.0,2.0,0.0,24,467,15.0,0.1764,1.192,0.702,0.43,0.0752
XAUUSD,4h,2.0,2.0,0.0,48,388,9.3,0.0523,1.054,0.759,0.35,0.0185
XAUUSD,4h,2.0,2.0,0.0,96,303,6.6,0.1749,1.174,0.941,0.28,0.0484
XAUUSD,4h,2.0,3.0,2.0,24,522,33.0,-0.0973,0.861,0.608,0.48,-0.0463
XAUUSD,4h,2.0,3.0,2.0,48,480,32.5,-0.0915,0.871,0.598,0.44,-0.0401
XAUUSD,4h,2.0,3.0,2.0,96,452,30.8,-0.1339,0.817,0.596,0.41,-0.0552
XAUUSD,4h,2.0,3.0,4.0,24,464,26.7,0.0201,1.026,0.629,0.42,0.0085
XAUUSD,4h,2.0,3.0,4.0,48,396,25.5,0.0997,1.127,0.583,0.36,0.036
XAUUSD,4h,2.0,3.0,4.0,96,354,23.4,0.0574,1.071,0.591,0.32,0.0185
XAUUSD,4h,2.0,3.0,6.0,24,455,21.3,-0.0407,0.951,0.65,0.42,-0.0169
XAUUSD,4h,2.0,3.0,6.0,48,379,19.8,0.0572,1.068,0.604,0.35,0.0198
XAUUSD,4h,2.0,3.0,6.0,96,314,17.5,-0.0002,1.0,0.597,0.29,-0.0001
XAUUSD,4h,2.0,3.0,8.0,24,448,19.6,-0.0041,0.995,0.721,0.41,-0.0017
XAUUSD,4h,2.0,3.0,8.0,48,369,17.9,0.1527,1.177,0.699,0.34,0.0514
XAUUSD,4h,2.0,3.0,8.0,96,288,13.9,-0.0625,0.931,0.709,0.26,-0.0164
XAUUSD,4h,2.0,3.0,0.0,24,415,19.0,0.0325,1.038,0.831,0.38,0.0123
XAUUSD,4h,2.0,3.0,0.0,48,322,13.4,0.053,1.058,0.789,0.29,0.0156
XAUUSD,4h,2.0,3.0,0.0,96,235,9.8,-0.3243,0.66,0.82,0.21,-0.0695
XAUUSD,4h,2.5,1.0,2.0,24,319,19.1,-0.5616,0.392,0.392,0.29,-0.1635
XAUUSD,4h,2.5,1.0,2.0,48,319,19.1,-0.5616,0.392,0.392,0.29,-0.1635
