sym,tf,thr,stop_sig,rr,hold,n,win,avg_r,pf,null_pf,tpd,r_per_day
BTCUSDT,4h,1.0,1.5,4.0,24,1455,20.8,-0.3186,0.692,0.514,1.33,-0.423
BTCUSDT,4h,1.0,1.5,4.0,48,1291,20.8,-0.3046,0.709,0.509,1.18,-0.3588
BTCUSDT,4h,1.0,1.5,4.0,96,1182,20.6,-0.2865,0.725,0.499,1.08,-0.309
BTCUSDT,4h,1.0,1.5,6.0,24,1300,16.9,-0.2565,0.762,0.558,1.19,-0.3042
BTCUSDT,4h,1.0,1.5,6.0,48,1073,17.1,-0.2144,0.804,0.534,0.98,-0.2099
BTCUSDT,4h,1.0,1.5,6.0,96,929,16.8,-0.2131,0.807,0.532,0.85,-0.1806
BTCUSDT,4h,1.0,1.5,8.0,24,1230,13.7,-0.3369,0.704,0.566,1.12,-0.3781
BTCUSDT,4h,1.0,1.5,8.0,48,988,13.4,-0.25,0.781,0.534,0.9,-0.2254
BTCUSDT,4h,1.0,1.5,8.0,96,855,12.0,-0.3091,0.735,0.531,0.78,-0.2411
BTCUSDT,4h,1.0,1.5,0.0,24,1062,9.4,-0.2035,0.832,0.501,0.97,-0.1972
BTCUSDT,4h,1.0,1.5,0.0,48,730,8.1,-0.2142,0.826,0.287,0.67,-0.1427
BTCUSDT,4h,1.0,1.5,0.0,96,540,5.6,-0.5016,0.598,0.296,0.49,-0.2471
BTCUSDT,4h,1.0,2.0,2.0,24,1282,32.5,-0.2622,0.685,0.547,1.17,-0.3067
BTCUSDT,4h,1.0,2.0,2.0,48,1143,32.2,-0.2705,0.681,0.533,1.04,-0.2821
BTCUSDT,4h,1.0,2.0,2.0,96,1050,32.6,-0.2413,0.713,0.542,0.96,-0.2312
BTCUSDT,4h,1.0,2.0,4.0,24,1010,24.2,-0.1698,0.819,0.594,0.92,-0.1565
BTCUSDT,4h,1.0,2.0,4.0,48,793,24.5,-0.1028,0.89,0.598,0.72,-0.0744
BTCUSDT,4h,1.0,2.0,4.0,96,686,23.6,-0.1007,0.894,0.608,0.63,-0.063
BTCUSDT,4h,1.0,2.0,6.0,24,927,20.0,-0.198,0.803,0.557,0.85,-0.1675
BTCUSDT,4h,1.0,2.0,6.0,48,701,19.0,-0.1138,0.888,0.552,0.64,-0.0728
BTCUSDT,4h,1.0,2.0,6.0,96,604,16.7,-0.136,0.868,0.616,0.55,-0.0749
BTCUSDT,4h,1.0,2.0,8.0,24,901,19.0,-0.1265,0.876,0.492,0.82,-0.104
BTCUSDT,4h,1.0,2.0,8.0,48,616,17.7,-0.0487,0.953,0.511,0.56,-0.0274
BTCUSDT,4h,1.0,2.0,8.0,96,509,15.7,-0.0397,0.963,0.457,0.46,-0.0184
BTCUSDT,4h,1.0,2.0,0.0,24,827,13.5,0.048,1.044,0.543,0.75,0.0362
BTCUSDT,4h,1.0,2.0,0.0,48,533,13.3,0.1846,1.168,0.321,0.49,0.0898
BTCUSDT,4h,1.0,2.0,0.0,96,395,8.9,0.0572,1.049,0.412,0.36,0.0206
BTCUSDT,4h,1.0,3.0,2.0,24,817,37.9,-0.0751,0.892,0.608,0.75,-0.056
BTCUSDT,4h,1.0,3.0,2.0,48,623,36.8,-0.0805,0.889,0.629,0.57,-0.0458
BTCUSDT,4h,1.0,3.0,2.0,96,534,34.3,-0.1253,0.835,0.616,0.49,-0.061
BTCUSDT,4h,1.0,3.0,4.0,24,712,27.2,-0.1258,0.849,0.631,0.65,-0.0817
BTCUSDT,4h,1.0,3.0,4.0,48,481,28.1,-0.0157,0.982,0.566,0.44,-0.0069
BTCUSDT,4h,1.0,3.0,4.0,96,352,26.4,0.0281,1.032,0.566,0.32,0.009
BTCUSDT,4h,1.0,3.0,6.0,24,667,24.1,-0.1226,0.861,0.61,0.61,-0.0746
BTCUSDT,4h,1.0,3.0,6.0,48,379,28.2,0.2096,1.251,0.557,0.35,0.0725
BTCUSDT,4h,1.0,3.0,6.0,96,283,21.6,0.0091,1.01,0.577,0.26,0.0023
BTCUSDT,4h,1.0,3.0,8.0,24,653,22.8,-0.1156,0.871,0.622,0.6,-0.0689
BTCUSDT,4h,1.0,3.0,8.0,48,379,24.5,0.1327,1.151,0.547,0.35,0.0459
BTCUSDT,4h,1.0,3.0,8.0,96,256,20.7,0.1657,1.179,0.536,0.23,0.0387
BTCUSDT,4h,1.0,3.0,0.0,24,622,19.9,-0.1074,0.886,0.573,0.57,-0.061
BTCUSDT,4h,1.0,3.0,0.0,48,385,19.0,-0.051,0.948,0.415,0.35,-0.0179
BTCUSDT,4h,1.0,3.0,0.0,96,257,14.0,0.9468,1.925,0.461,0.23,0.222
BTCUSDT,4h,1.5,1.0,2.0,24,1966,21.7,-0.8146,0.311,0.253,1.79,-1.4612
BTCUSDT,4h,1.5,1.0,2.0,48,1966,21.6,-0.8152,0.311,0.253,1.79,-1.4623
BTCUSDT,4h,1.5,1.0,2.0,96,1966,21.6,-0.8152,0.311,0.253,1.79,-1.4623
BTCUSDT,4h,1.5,1.0,4.0,24,1717,15.3,-0.7124,0.433,0.348,1.57,-1.116
BTCUSDT,4h,1.5,1.0,4.0,48,1704,15.1,-0.715,0.431,0.347,1.55,-1.1116
BTCUSDT,4h,1.5,1.0,4.0,96,1695,15.2,-0.7111,0.434,0.347,1.55,-1.0997
BTCUSDT,4h,1.5,1.0,6.0,24,1584,13.1,-0.59,0.543,0.381,1.45,-0.8527
BTCUSDT,4h,1.5,1.0,6.0,48,1547,12.6,-0.5981,0.538,0.382,1.41,-0.8442
BTCUSDT,4h,1.5,1.0,6.0,96,1538,12.7,-0.5903,0.543,0.382,1.4,-0.8284
BTCUSDT,4h,1.5,1.0,8.0,24,1514,11.2,-0.528,0.6,0.39,1.38,-0.7294
BTCUSDT,4h,1.5,1.0,8.0,48,1442,11.0,-0.5206,0.607,0.385,1.32,-0.6849
BTCUSDT,4h,1.5,1.0,8.0,96,1382,11.1,-0.4946,0.625,0.387,1.26,-0.6237
BTCUSDT,4h,1.5,1.0,0.0,24,1191,6.1,-0.4481,0.685,0.347,1.09,-0.4869
BTCUSDT,4h,1.5,1.0,0.0,48,988,4.0,-0.1728,0.881,0.279,0.9,-0.1558
BTCUSDT,4h,1.5,1.0,0.0,96,737,3.8,0.5171,1.352,0.267,0.67,0.3477
BTCUSDT,4h,1.5,1.5,2.0,24,1583,26.2,-0.5695,0.442,0.332,1.44,-0.8226
BTCUSDT,4h,1.5,1.5,2.0,48,1547,26.2,-0.5694,0.443,0.331,1.41,-0.8037
BTCUSDT,4h,1.5,1.5,2.0,96,1536,26.1,-0.569,0.445,0.331,1.4,-0.7974
BTCUSDT,4h,1.5,1.5,4.0,24,1304,18.9,-0.4564,0.589,0.451,1.19,-0.543
BTCUSDT,4h,1.5,1.5,4.0,48,1224,18.5,-0.4572,0.592,0.452,1.12,-0.5106
BTCUSDT,4h,1.5,1.5,4.0,96,1173,18.6,-0.4421,0.606,0.452,1.07,-0.4732
BTCUSDT,4h,1.5,1.5,6.0,24,1190,16.0,-0.3796,0.672,0.462,1.09,-0.4122
BTCUSDT,4h,1.5,1.5,6.0,48,1077,15.0,-0.3749,0.681,0.463,0.98,-0.3684
BTCUSDT,4h,1.5,1.5,6.0,96,986,15.0,-0.3535,0.698,0.47,0.9,-0.318
BTCUSDT,4h,1.5,1.5,8.0,24,1119,13.0,-0.4371,0.634,0.47,1.02,-0.4463
BTCUSDT,4h,1.5,1.5,8.0,48,947,11.4,-0.4284,0.646,0.475,0.86,-0.3702
BTCUSDT,4h,1.5,1.5,8.0,96,886,10.9,-0.4435,0.637,0.492,0.81,-0.3585
BTCUSDT,4h,1.5,1.5,0.0,24,953,9.3,-0.2978,0.765,0.439,0.87,-0.2589
BTCUSDT,4h,1.5,1.5,0.0,48,748,6.4,-0.4933,0.621,0.345,0.68,-0.3367
BTCUSDT,4h,1.5,1.5,0.0,96,553,5.2,-0.5444,0.589,0.358,0.5,-0.2747
BTCUSDT,4h,1.5,2.0,2.0,24,1249,29.9,-0.3895,0.572,0.403,1.14,-0.4439
BTCUSDT,4h,1.5,2.0,2.0,48,1161,29.8,-0.3831,0.579,0.402,1.06,-0.4058
BTCUSDT,4h,1.5,2.0,2.0,96,1135,29.6,-0.3798,0.584,0.402,1.04,-0.3933
BTCUSDT,4h,1.5,2.0,4.0,24,1020,22.5,-0.2815,0.723,0.465,0.93,-0.262
BTCUSDT,4h,1.5,2.0,4.0,48,872,22.2,-0.2536,0.753,0.465,0.8,-0.2018
BTCUSDT,4h,1.5,2.0,4.0,96,819,20.9,-0.2959,0.719,0.463,0.75,-0.2211
BTCUSDT,4h,1.5,2.0,6.0,24,924,18.5,-0.2714,0.744,0.457,0.84,-0.2288
BTCUSDT,4h,1.5,2.0,6.0,48,724,16.6,-0.2697,0.75,0.455,0.66,-0.1782
BTCUSDT,4h,1.5,2.0,6.0,96,675,14.7,-0.3416,0.696,0.457,0.62,-0.2104
BTCUSDT,4h,1.5,2.0,8.0,24,886,17.4,-0.2107,0.804,0.421,0.81,-0.1703
BTCUSDT,4h,1.5,2.0,8.0,48,659,15.3,-0.2028,0.814,0.425,0.6,-0.1219
BTCUSDT,4h,1.5,2.0,8.0,96,554,13.7,-0.2144,0.809,0.404,0.51,-0.1084
BTCUSDT,4h,1.5,2.0,0.0,24,771,13.1,0.0835,1.073,0.365,0.7,0.0587
BTCUSDT,4h,1.5,2.0,0.0,48,563,10.5,-0.0137,0.988,0.318,0.51,-0.007
BTCUSDT,4h,1.5,2.0,0.0,96,404,8.7,1.0567,1.877,0.279,0.37,0.3895
BTCUSDT,4h,1.5,3.0,2.0,24,821,35.1,-0.1948,0.75,0.528,0.75,-0.1459
BTCUSDT,4h,1.5,3.0,2.0,48,700,33.7,-0.2038,0.745,0.527,0.64,-0.1302
BTCUSDT,4h,1.5,3.0,2.0,96,635,32.1,-0.2414,0.707,0.523,0.58,-0.1399
BTCUSDT,4h,1.5,3.0,4.0,24,718,26.5,-0.1431,0.838,0.533,0.66,-0.0937
BTCUSDT,4h,1.5,3.0,4.0,48,531,25.8,-0.0547,0.939,0.53,0.48,-0.0265
BTCUSDT,4h,1.5,3.0,4.0,96,457,24.3,-0.0399,0.956,0.55,0.42,-0.0166
BTCUSDT,4h,1.5,3.0,6.0,24,686,22.9,-0.1312,0.861,0.517,0.63,-0.0821
BTCUSDT,4h,1.5,3.0,6.0,48,459,21.8,-0.0757,0.92,0.497,0.42,-0.0317
BTCUSDT,4h,1.5,3.0,6.0,96,358,17.6,-0.1326,0.865,0.495,0.33,-0.0433
BTCUSDT,4h,1.5,3.0,8.0,24,657,21.6,-0.0848,0.911,0.499,0.6,-0.0508
BTCUSDT,4h,1.5,3.0,8.0,48,472,19.7,0.0102,1.011,0.49,0.43,0.0044
BTCUSDT,4h,1.5,3.0,8.0,96,368,14.7,-0.1456,0.857,0.476,0.34,-0.0489
BTCUSDT,4h,1.5,3.0,0.0,24,604,18.7,-0.1249,0.876,0.469,0.55,-0.0688
BTCUSDT,4h,1.5,3.0,0.0,48,416,15.4,-0.0746,0.928,0.381,0.38,-0.0283
BTCUSDT,4h,1.5,3.0,0.0,96,289,11.4,0.5916,1.544,0.256,0.26,0.156
BTCUSDT,4h,2.0,1.0,2.0,24,1132,17.2,-1.0822,0.205,0.169,1.03,-1.1177
BTCUSDT,4h,2.0,1.0,2.0,48,1132,17.2,-1.0822,0.205,0.169,1.03,-1.1177
BTCUSDT,4h,2.0,1.0,2.0,96,1132,17.2,-1.0822,0.205,0.169,1.03,-1.1177
BTCUSDT,4h,2.0,1.0,4.0,24,1079,12.7,-0.9933,0.306,0.267,0.98,-0.9779
BTCUSDT,4h,2.0,1.0,4.0,48,1078,12.4,-1.0016,0.302,0.266,0.98,-0.9852
BTCUSDT,4h,2.0,1.0,4.0,96,1078,12.4,-1.0016,0.302,0.266,0.98,-0.9852
BTCUSDT,4h,2.0,1.0,6.0,24,1044,11.3,-0.8481,0.414,0.307,0.95,-0.8079
BTCUSDT,4h,2.0,1.0,6.0,48,1041,10.9,-0.8636,0.406,0.304,0.95,-0.8203
BTCUSDT,4h,2.0,1.0,6.0,96,1041,10.9,-0.8636,0.406,0.304,0.95,-0.8203
BTCUSDT,4h,2.0,1.0,8.0,24,1022,9.7,-0.7869,0.465,0.338,0.93,-0.7338
BTCUSDT,4h,2.0,1.0,8.0,48,1011,9.3,-0.7936,0.462,0.337,0.92,-0.7321
BTCUSDT,4h,2.0,1.0,8.0,96,1004,9.3,-0.7972,0.461,0.342,0.92,-0.7303
BTCUSDT,4h,2.0,1.0,0.0,24,891,4.5,-0.7581,0.517,0.391,0.81,-0.6163
BTCUSDT,4h,2.0,1.0,0.0,48,813,2.8,-0.8221,0.485,0.322,0.74,-0.6098
BTCUSDT,4h,2.0,1.0,0.0,96,708,2.1,-0.9878,0.38,0.326,0.65,-0.6381
BTCUSDT,4h,2.0,1.5,2.0,24,1081,22.0,-0.8259,0.307,0.26,0.99,-0.8146
BTCUSDT,4h,2.0,1.5,2.0,48,1081,22.0,-0.8259,0.307,0.259,0.99,-0.8146
BTCUSDT,4h,2.0,1.5,2.0,96,1081,22.0,-0.8259,0.307,0.259,0.99,-0.8146
BTCUSDT,4h,2.0,1.5,4.0,24,995,17.3,-0.6594,0.478,0.375,0.91,-0.5986
BTCUSDT,4h,2.0,1.5,4.0,48,984,16.4,-0.6851,0.463,0.375,0.9,-0.6151
BTCUSDT,4h,2.0,1.5,4.0,96,974,16.5,-0.6774,0.467,0.375,0.89,-0.602
BTCUSDT,4h,2.0,1.5,6.0,24,939,14.1,-0.579,0.555,0.419,0.86,-0.4961
BTCUSDT,4h,2.0,1.5,6.0,48,917,12.9,-0.6149,0.534,0.425,0.84,-0.5145
BTCUSDT,4h,2.0,1.5,6.0,96,900,13.0,-0.6077,0.539,0.429,0.82,-0.499
BTCUSDT,4h,2.0,1.5,8.0,24,902,11.4,-0.6084,0.546,0.46,0.82,-0.5007
BTCUSDT,4h,2.0,1.5,8.0,48,859,9.8,-0.6499,0.524,0.464,0.78,-0.5094
BTCUSDT,4h,2.0,1.5,8.0,96,832,10.0,-0.6262,0.541,0.472,0.76,-0.4754
BTCUSDT,4h,2.0,1.5,0.0,24,780,6.8,-0.6377,0.553,0.452,0.71,-0.4538
BTCUSDT,4h,2.0,1.5,0.0,48,685,4.4,-0.8341,0.431,0.284,0.62,-0.5213
BTCUSDT,4h,2.0,1.5,0.0,96,519,4.4,-0.7657,0.472,0.325,0.47,-0.3626
BTCUSDT,4h,2.0,2.0,2.0,24,1000,25.8,-0.6274,0.411,0.329,0.91,-0.5724
BTCUSDT,4h,2.0,2.0,2.0,48,995,25.4,-0.6327,0.408,0.329,0.91,-0.5744
BTCUSDT,4h,2.0,2.0,2.0,96,990,25.5,-0.6273,0.411,0.329,0.9,-0.5666
BTCUSDT,4h,2.0,2.0,4.0,24,894,19.5,-0.4894,0.576,0.428,0.82,-0.3992
BTCUSDT,4h,2.0,2.0,4.0,48,862,18.7,-0.4882,0.58,0.432,0.79,-0.384
BTCUSDT,4h,2.0,2.0,4.0,96,840,18.8,-0.4702,0.593,0.435,0.77,-0.3604
BTCUSDT,4h,2.0,2.0,6.0,24,832,15.7,-0.4564,0.619,0.419,0.76,-0.3465
BTCUSDT,4h,2.0,2.0,6.0,48,773,14.5,-0.4477,0.632,0.417,0.71,-0.3158
BTCUSDT,4h,2.0,2.0,6.0,96,734,13.9,-0.4505,0.631,0.426,0.67,-0.3017
BTCUSDT,4h,2.0,2.0,8.0,24,806,14.3,-0.3817,0.687,0.435,0.74,-0.2807
BTCUSDT,4h,2.0,2.0,8.0,48,734,12.8,-0.3895,0.686,0.445,0.67,-0.2609
BTCUSDT,4h,2.0,2.0,8.0,96,656,11.6,-0.4115,0.672,0.432,0.6,-0.2463
BTCUSDT,4h,2.0,2.0,0.0,24,679,10.2,-0.291,0.775,0.366,0.62,-0.1803
BTCUSDT,4h,2.0,2.0,0.0,48,543,8.1,-0.4601,0.648,0.221,0.5,-0.228
BTCUSDT,4h,2.0,2.0,0.0,96,391,7.2,-0.1912,0.855,0.236,0.36,-0.0682
BTCUSDT,4h,2.0,3.0,2.0,24,804,31.0,-0.3871,0.579,0.419,0.73,-0.284
BTCUSDT,4h,2.0,3.0,2.0,48,765,29.7,-0.4087,0.565,0.42,0.7,-0.2853
BTCUSDT,4h,2.0,3.0,2.0,96,743,29.9,-0.3972,0.575,0.42,0.68,-0.2693
BTCUSDT,4h,2.0,3.0,4.0,24,692,23.4,-0.2571,0.74,0.429,0.63,-0.1623
BTCUSDT,4h,2.0,3.0,4.0,48,621,21.1,-0.2825,0.723,0.426,0.57,-0.1601
BTCUSDT,4h,2.0,3.0,4.0,96,589,20.0,-0.3002,0.711,0.434,0.54,-0.1613
BTCUSDT,4h,2.0,3.0,6.0,24,665,20.3,-0.1601,0.844,0.442,0.61,-0.0971
BTCUSDT,4h,2.0,3.0,6.0,48,577,17.3,-0.2508,0.767,0.438,0.53,-0.132
BTCUSDT,4h,2.0,3.0,6.0,96,517,15.1,-0.2917,0.737,0.457,0.47,-0.1376
BTCUSDT,4h,2.0,3.0,8.0,24,635,18.7,-0.0757,0.928,0.461,0.58,-0.0439
BTCUSDT,4h,2.0,3.0,8.0,48,538,16.4,-0.1311,0.88,0.46,0.49,-0.0644
BTCUSDT,4h,2.0,3.0,8.0,96,469,14.3,-0.112,0.901,0.51,0.43,-0.0479
BTCUSDT,4h,2.0,3.0,0.0,24,552,15.2,-0.2195,0.802,0.417,0.5,-0.1106
BTCUSDT,4h,2.0,3.0,0.0,48,423,12.5,-0.2588,0.774,0.263,0.39,-0.0999
BTCUSDT,4h,2.0,3.0,0.0,96,320,9.4,0.0775,1.066,0.263,0.29,0.0226
BTCUSDT,4h,2.5,1.0,2.0,24,555,12.1,-1.4613,0.111,0.105,0.51,-0.74
BTCUSDT,4h,2.5,1.0,2.0,48,555,12.1,-1.4613,0.111,0.105,0.51,-0.74
BTCUSDT,4h,2.5,1.0,2.0,96,555,12.1,-1.4613,0.111,0.105,0.51,-0.74
BTCUSDT,4h,2.5,1.0,4.0,24,548,10.4,-1.3307,0.204,0.17,0.5,-0.6653
BTCUSDT,4h,2.5,1.0,4.0,48,548,10.4,-1.3307,0.204,0.17,0.5,-0.6653
BTCUSDT,4h,2.5,1.0,4.0,96,548,10.4,-1.3307,0.204,0.17,0.5,-0.6653
BTCUSDT,4h,2.5,1.0,6.0,24,542,9.4,-1.1876,0.293,0.236,0.49,-0.5873
BTCUSDT,4h,2.5,1.0,6.0,48,542,9.4,-1.1876,0.293,0.236,0.49,-0.5873
BTCUSDT,4h,2.5,1.0,6.0,96,542,9.4,-1.1876,0.293,0.236,0.49,-0.5873
BTCUSDT,4h,2.5,1.0,8.0,24,542,8.7,-1.0691,0.368,0.262,0.49,-0.5287
BTCUSDT,4h,2.5,1.0,8.0,48,539,8.7,-1.0621,0.372,0.262,0.49,-0.5223
BTCUSDT,4h,2.5,1.0,8.0,96,539,8.7,-1.0621,0.372,0.262,0.49,-0.5223
BTCUSDT,4h,2.5,1.0,0.0,24,512,2.5,-1.1393,0.373,0.228,0.47,-0.5322
BTCUSDT,4h,2.5,1.0,0.0,48,495,1.4,-1.4852,0.189,0.134,0.45,-0.6708
BTCUSDT,4h,2.5,1.0,0.0,96,481,0.6,-1.6928,0.079,0.204,0.44,-0.7429
BTCUSDT,4h,2.5,1.5,2.0,24,592,17.1,-1.1921,0.181,0.18,0.54,-0.6439
BTCUSDT,4h,2.5,1.5,2.0,48,592,17.1,-1.1921,0.181,0.18,0.54,-0.6439
BTCUSDT,4h,2.5,1.5,2.0,96,592,17.1,-1.1921,0.181,0.18,0.54,-0.6439
BTCUSDT,4h,2.5,1.5,4.0,24,573,14.5,-1.0003,0.33,0.299,0.52,-0.523
BTCUSDT,4h,2.5,1.5,4.0,48,570,14.2,-1.0068,0.328,0.299,0.52,-0.5236
BTCUSDT,4h,2.5,1.5,4.0,96,570,14.2,-1.0068,0.328,0.299,0.52,-0.5236
BTCUSDT,4h,2.5,1.5,6.0,24,561,12.5,-0.8724,0.427,0.342,0.51,-0.4465
BTCUSDT,4h,2.5,1.5,6.0,48,555,12.3,-0.8659,0.434,0.342,0.51,-0.4385
BTCUSDT,4h,2.5,1.5,6.0,96,555,12.3,-0.8659,0.434,0.342,0.51,-0.4385
BTCUSDT,4h,2.5,1.5,8.0,24,557,10.2,-0.8612,0.449,0.363,0.51,-0.4377
BTCUSDT,4h,2.5,1.5,8.0,48,545,9.5,-0.8758,0.444,0.363,0.5,-0.4355
BTCUSDT,4h,2.5,1.5,8.0,96,544,9.4,-0.8805,0.441,0.363,0.5,-0.437
BTCUSDT,4h,2.5,1.5,0.0,24,507,4.5,-0.9489,0.43,0.335,0.46,-0.439
BTCUSDT,4h,2.5,1.5,0.0,48,474,2.5,-1.4471,0.145,0.176,0.43,-0.6258
BTCUSDT,4h,2.5,1.5,0.0,96,430,2.1,-1.3728,0.195,0.215,0.39,-0.5386
BTCUSDT,4h,2.5,2.0,2.0,24,590,21.2,-0.9652,0.26,0.213,0.54,-0.5196
BTCUSDT,4h,2.5,2.0,2.0,48,590,21.0,-0.9684,0.259,0.213,0.54,-0.5213
BTCUSDT,4h,2.5,2.0,2.0,96,590,21.0,-0.9684,0.259,0.213,0.54,-0.5213
BTCUSDT,4h,2.5,2.0,4.0,24,573,16.2,-0.8076,0.409,0.283,0.52,-0.4222
BTCUSDT,4h,2.5,2.0,4.0,48,567,16.0,-0.8062,0.412,0.283,0.52,-0.4171
BTCUSDT,4h,2.5,2.0,4.0,96,567,16.0,-0.8062,0.412,0.283,0.52,-0.4171
BTCUSDT,4h,2.5,2.0,6.0,24,560,13.6,-0.7121,0.494,0.292,0.51,-0.3638
BTCUSDT,4h,2.5,2.0,6.0,48,545,13.0,-0.7109,0.496,0.288,0.5,-0.3535
BTCUSDT,4h,2.5,2.0,6.0,96,544,12.7,-0.7165,0.494,0.288,0.5,-0.3556
BTCUSDT,4h,2.5,2.0,8.0,24,541,11.5,-0.6966,0.516,0.33,0.49,-0.3439
BTCUSDT,4h,2.5,2.0,8.0,48,520,10.8,-0.6915,0.522,0.331,0.47,-0.3281
BTCUSDT,4h,2.5,2.0,8.0,96,503,10.1,-0.7093,0.514,0.337,0.46,-0.3255
BTCUSDT,4h,2.5,2.0,0.0,24,491,6.1,-0.746,0.513,0.24,0.45,-0.3342
BTCUSDT,4h,2.5,2.0,0.0,48,442,4.5,-1.0068,0.349,0.126,0.4,-0.406
BTCUSDT,4h,2.5,2.0,0.0,96,392,3.3,-0.6319,0.599,0.154,0.36,-0.226
BTCUSDT,4h,2.5,3.0,2.0,24,561,25.3,-0.7038,0.374,0.28,0.51,-0.3602
BTCUSDT,4h,2.5,3.0,2.0,48,551,24.3,-0.7227,0.364,0.28,0.5,-0.3633
BTCUSDT,4h,2.5,3.0,2.0,96,546,24.4,-0.7212,0.365,0.28,0.5,-0.3593
BTCUSDT,4h,2.5,3.0,4.0,24,531,19.0,-0.5617,0.53,0.272,0.48,-0.2721
BTCUSDT,4h,2.5,3.0,4.0,48,508,17.9,-0.578,0.523,0.268,0.46,-0.2679
BTCUSDT,4h,2.5,3.0,4.0,96,499,17.2,-0.5927,0.515,0.268,0.46,-0.2699
BTCUSDT,4h,2.5,3.0,6.0,24,507,15.8,-0.5118,0.588,0.329,0.46,-0.2368
BTCUSDT,4h,2.5,3.0,6.0,48,480,14.4,-0.5156,0.593,0.332,0.44,-0.2258
BTCUSDT,4h,2.5,3.0,6.0,96,458,13.8,-0.5076,0.603,0.338,0.42,-0.2121
BTCUSDT,4h,2.5,3.0,8.0,24,497,14.5,-0.4225,0.665,0.37,0.45,-0.1916
BTCUSDT,4h,2.5,3.0,8.0,48,470,12.6,-0.4456,0.655,0.372,0.43,-0.1911
BTCUSDT,4h,2.5,3.0,8.0,96,433,12.0,-0.4217,0.677,0.374,0.4,-0.1666
BTCUSDT,4h,2.5,3.0,0.0,24,452,10.0,-0.3905,0.705,0.299,0.41,-0.161
BTCUSDT,4h,2.5,3.0,0.0,48,394,5.6,-0.587,0.576,0.172,0.36,-0.211
BTCUSDT,4h,2.5,3.0,0.0,96,352,3.4,-0.4351,0.691,0.189,0.32,-0.1397
USDJPY,1h,1.0,1.0,2.0,24,3700,33.4,-0.0931,0.869,0.635,3.38,-0.3143
USDJPY,1h,1.0,1.0,2.0,48,3524,33.2,-0.0919,0.873,0.649,3.22,-0.2955
USDJPY,1h,1.0,1.0,2.0,96,3447,32.8,-0.0972,0.867,0.649,3.15,-0.3057
USDJPY,1h,1.0,1.0,4.0,24,2817,23.1,-0.0404,0.951,0.649,2.57,-0.1038
USDJPY,1h,1.0,1.0,4.0,48,2499,21.4,-0.0487,0.943,0.655,2.28,-0.111
USDJPY,1h,1.0,1.0,4.0,96,2357,20.9,-0.0538,0.937,0.648,2.15,-0.1157
USDJPY,1h,1.0,1.0,6.0,24,2464,19.8,0.0142,1.017,0.663,2.25,0.0319
USDJPY,1h,1.0,1.0,6.0,48,2090,17.4,-0.0074,0.992,0.658,1.91,-0.0141
USDJPY,1h,1.0,1.0,6.0,96,1894,16.4,0.0103,1.011,0.621,1.73,0.0178
USDJPY,1h,1.0,1.0,8.0,24,2320,18.2,0.0714,1.081,0.622,2.12,0.1511
USDJPY,1h,1.0,1.0,8.0,48,1921,15.1,0.0141,1.015,0.605,1.75,0.0247
USDJPY,1h,1.0,1.0,8.0,96,1722,13.4,0.0131,1.014,0.556,1.57,0.0206
USDJPY,1h,1.0,1.0,0.0,24,2098,14.9,0.1462,1.159,0.623,1.91,0.2799
USDJPY,1h,1.0,1.0,0.0,48,1559,11.4,0.1258,1.13,0.626,1.42,0.1789
USDJPY,1h,1.0,1.0,0.0,96,1235,7.6,0.0228,1.022,0.641,1.13,0.0257
USDJPY,1h,1.0,1.5,2.0,24,2806,35.0,-0.0621,0.908,0.657,2.56,-0.159
USDJPY,1h,1.0,1.5,2.0,48,2475,33.5,-0.07,0.901,0.65,2.26,-0.1581
USDJPY,1h,1.0,1.5,2.0,96,2301,33.9,-0.0529,0.925,0.648,2.1,-0.1111
USDJPY,1h,1.0,1.5,4.0,24,2185,26.6,0.0261,1.034,0.632,1.99,0.052
USDJPY,1h,1.0,1.5,4.0,48,1761,24.0,-0.0069,0.992,0.642,1.61,-0.0111
USDJPY,1h,1.0,1.5,4.0,96,1489,22.9,0.0202,1.024,0.633,1.36,0.0274
USDJPY,1h,1.0,1.5,6.0,24,2026,22.9,0.0411,1.051,0.646,1.85,0.076
USDJPY,1h,1.0,1.5,6.0,48,1583,19.1,-0.0176,0.98,0.632,1.44,-0.0254
USDJPY,1h,1.0,1.5,6.0,96,1309,18.0,0.0207,1.023,0.679,1.19,0.0247
USDJPY,1h,1.0,1.5,8.0,24,1920,21.4,0.0315,1.038,0.65,1.75,0.0552
USDJPY,1h,1.0,1.5,8.0,48,1415,17.7,-0.0133,0.985,0.632,1.29,-0.0172
USDJPY,1h,1.0,1.5,8.0,96,1158,14.9,-0.0287,0.969,0.689,1.06,-0.0303
USDJPY,1h,1.0,1.5,0.0,24,1840,19.2,0.1023,1.12,0.639,1.68,0.1717
USDJPY,1h,1.0,1.5,0.0,48,1283,15.7,0.1846,1.203,0.585,1.17,0.2161
USDJPY,1h,1.0,1.5,0.0,96,942,11.4,0.2322,1.242,0.653,0.86,0.1996
USDJPY,1h,1.0,2.0,2.0,24,2267,36.8,-0.0259,0.959,0.657,2.07,-0.0536
USDJPY,1h,1.0,2.0,2.0,48,1809,34.5,-0.0501,0.927,0.657,1.65,-0.0827
USDJPY,1h,1.0,2.0,2.0,96,1582,34.2,-0.04,0.942,0.631,1.44,-0.0577
