book,legs,trades,pf,total_r,max_dd_r,r_per_day,tpd,win,avg_r,risk,pass_rate,median_days,expected_days,one_step_days,fail_max,fail_daily,weighting,combo,tag
5m+15m [equal],2,2104,1.319,44.51,14.26,0.0734,3.47,0.2258,0.0212,0.005,0.6414,279.5,435.8,260.8,0.0,0.0,equal,5m+15m,null
5m+15m [sig_cost],2,2104,1.513,60.26,12.74,0.0994,3.47,0.2258,0.0286,0.005,0.5312,246.0,463.1,183.0,0.0,0.0,sig_cost,5m+15m,null
5m+15m [by_r],2,2104,1.501,59.47,12.61,0.0981,3.47,0.2258,0.0283,0.005,0.5428,249.5,459.7,183.0,0.0,0.0,by_r,5m+15m,null
5m+30m [equal],2,2066,1.08,9.41,13.77,0.0155,3.41,0.227,0.0046,0.005,0.0674,353.0,5237.4,656.9,0.0,0.0,equal,5m+30m,null
5m+30m [sig_cost],2,2066,1.106,18.61,19.43,0.0307,3.41,0.227,0.009,0.0025,0.0,,,1712.0,0.0,0.0,sig_cost,5m+30m,null
5m+30m [by_r],2,2066,1.106,18.58,19.4,0.0307,3.41,0.227,0.009,0.0025,0.0,,,1714.7,0.0,0.0,by_r,5m+30m,null
5m+1h [equal],2,4012,1.142,23.93,11.51,0.0394,6.61,0.2375,0.006,0.005,0.0197,394.5,20025.4,430.0,0.0,0.0,equal,5m+1h,null
5m+1h [sig_cost],2,4012,1.155,25.64,12.07,0.0422,6.61,0.2375,0.0064,0.005,0.0016,274.0,171250.0,398.3,0.0,0.0,sig_cost,5m+1h,null
5m+1h [by_r],2,4012,1.151,25.08,11.88,0.0413,6.61,0.2375,0.0063,0.005,0.0049,395.0,80612.2,403.6,0.0,0.0,by_r,5m+1h,null
5m+4h [equal],2,2048,1.132,13.04,9.97,0.0215,3.37,0.2295,0.0064,0.0075,0.2072,315.0,1520.3,306.6,0.0,0.0,equal,5m+4h,null
5m+4h [sig_cost],2,2048,1.124,14.21,11.88,0.0234,3.37,0.2295,0.0069,0.005,0.0164,389.5,23750.0,626.9,0.0,0.0,sig_cost,5m+4h,null
5m+4h [by_r],2,2048,1.118,15.5,14.0,0.0255,3.37,0.2295,0.0076,0.005,0.1217,373.0,3064.9,438.8,0.0,0.0,by_r,5m+4h,null
15m+30m [equal],2,220,1.433,35.22,10.72,0.0582,0.36,0.3,0.1601,0.005,0.0082,93.0,11341.5,325.7,0.0,0.0,equal,15m+30m,null
15m+30m [sig_cost],2,220,1.679,70.23,17.73,0.1161,0.36,0.3,0.3192,0.0025,0.5206,242.5,465.8,254.1,0.0,0.0,sig_cost,15m+30m,null
15m+30m [by_r],2,220,1.679,70.19,17.71,0.116,0.36,0.3,0.3191,0.0025,0.5206,242.5,465.8,254.1,0.0,0.0,by_r,15m+30m,null
15m+1h [equal],2,2166,1.376,49.74,10.63,0.0819,3.57,0.2539,0.023,0.0075,0.5954,198.5,333.4,177.1,0.0,0.0,equal,15m+1h,null
15m+1h [sig_cost],2,2166,1.467,57.02,11.96,0.0939,3.57,0.2539,0.0263,0.005,0.5197,242.5,466.6,186.9,0.0,0.0,sig_cost,15m+1h,null
15m+1h [by_r],2,2166,1.484,58.25,12.19,0.096,3.57,0.2539,0.0269,0.005,0.5197,242.5,466.6,186.9,0.0,0.0,by_r,15m+1h,null
15m+4h [equal],2,202,1.621,38.85,10.32,0.064,0.33,0.3317,0.1923,0.0075,0.5197,242.0,465.7,185.0,0.0,0.0,equal,15m+4h,null
15m+4h [sig_cost],2,202,1.668,61.66,14.61,0.1016,0.33,0.3317,0.3053,0.005,0.5197,242.5,466.6,183.0,0.0,0.0,sig_cost,15m+4h,null
15m+4h [by_r],2,202,1.672,64.34,15.59,0.106,0.33,0.3317,0.3185,0.005,0.5197,242.5,466.6,183.0,0.0,0.0,by_r,15m+4h,null
30m+1h [equal],2,2128,1.133,14.64,10.03,0.0241,3.51,0.2556,0.0069,0.0075,0.1086,281.0,2587.5,232.4,0.0,0.0,equal,30m+1h,null
30m+1h [sig_cost],2,2128,1.181,29.09,15.42,0.0479,3.51,0.2556,0.0137,0.005,0.0115,106.0,9217.4,311.3,0.0,0.0,sig_cost,30m+1h,null
30m+1h [by_r],2,2128,1.181,29.04,15.4,0.0478,3.51,0.2556,0.0136,0.005,0.0115,106.0,9217.4,312.3,0.0,0.0,by_r,30m+1h,null
30m+4h [equal],2,164,1.093,3.75,10.91,0.0062,0.27,0.372,0.0229,0.0025,0.0,,,,0.0,0.0,equal,30m+4h,null
30m+4h [sig_cost],2,164,1.335,7.32,11.56,0.0122,0.27,0.372,0.0446,0.0025,0.0,,,,0.0,0.0,sig_cost,30m+4h,null
30m+4h [by_r],2,164,1.327,7.26,11.39,0.0121,0.27,0.372,0.0443,0.0025,0.0,,,,0.0,0.0,by_r,30m+4h,null
1h+4h [equal],2,2110,1.2,18.27,12.28,0.0301,3.48,0.2583,0.0087,0.0025,0.0,,,,0.0,0.0,equal,1h+4h,null
1h+4h [sig_cost],2,2110,1.188,23.71,13.87,0.0391,3.48,0.2583,0.0112,0.0025,0.0,,,,0.0,0.0,sig_cost,1h+4h,null
1h+4h [by_r],2,2110,1.187,24.77,14.18,0.0408,3.48,0.2583,0.0117,0.0025,0.0,,,,0.0,0.0,by_r,1h+4h,null
5m+15m+30m [equal],3,2195,1.264,29.71,9.35,0.049,3.62,0.2301,0.0135,0.0075,0.6891,269.0,390.4,225.0,0.0,0.0,equal,5m+15m+30m,null
5m+15m+30m [sig_cost],3,2195,1.512,60.2,12.73,0.0993,3.62,0.2301,0.0274,0.005,0.5312,246.0,463.1,183.0,0.0,0.0,sig_cost,5m+15m+30m,null
5m+15m+30m [by_r],3,2195,1.501,59.39,12.6,0.098,3.62,0.2301,0.0271,0.005,0.5428,249.5,459.7,183.0,0.0,0.0,by_r,5m+15m+30m,null
5m+15m+1h [equal],3,4141,1.269,39.39,9.04,0.0649,6.82,0.2388,0.0095,0.0075,0.7401,228.5,308.7,155.3,0.0,0.0,equal,5m+15m+1h,null
5m+15m+1h [sig_cost],3,4141,1.399,51.63,11.11,0.0851,6.82,0.2388,0.0125,0.005,0.5197,242.5,466.6,207.3,0.0,0.0,sig_cost,5m+15m+1h,null
5m+15m+1h [by_r],3,4141,1.403,51.99,11.19,0.0857,6.82,0.2388,0.0126,0.005,0.5197,242.5,466.6,207.9,0.0,0.0,by_r,5m+15m+1h,null
5m+15m+4h [equal],3,2177,1.321,32.13,9.55,0.0529,3.59,0.2324,0.0148,0.0075,0.6497,257.0,395.6,233.3,0.0,0.0,equal,5m+15m+4h,null
5m+15m+4h [sig_cost],3,2177,1.509,54.24,11.3,0.0894,3.59,0.2324,0.0249,0.005,0.5197,242.5,466.6,186.9,0.0,0.0,sig_cost,5m+15m+4h,null
5m+15m+4h [by_r],3,2177,1.499,55.49,11.65,0.0914,3.59,0.2324,0.0255,0.005,0.5197,242.5,466.6,185.0,0.0,0.0,by_r,5m+15m+4h,null
5m+30m+1h [equal],3,4103,1.121,16.0,9.65,0.0264,6.76,0.2396,0.0039,0.0075,0.2599,297.5,1144.7,280.5,0.0,0.0,equal,5m+30m+1h,null
5m+30m+1h [sig_cost],3,4103,1.155,25.6,12.04,0.0422,6.76,0.2396,0.0062,0.005,0.0016,274.0,171250.0,398.5,0.0,0.0,sig_cost,5m+30m+1h,null
5m+30m+1h [by_r],3,4103,1.151,25.01,11.84,0.0412,6.76,0.2396,0.0061,0.005,0.0049,395.0,80612.2,407.6,0.0,0.0,by_r,5m+30m+1h,null
5m+30m+4h [equal],3,2139,1.102,8.73,8.61,0.0144,3.52,0.2338,0.0041,0.0075,0.148,299.5,2023.6,382.6,0.0,0.0,equal,5m+30m+4h,null
5m+30m+4h [sig_cost],3,2139,1.124,14.16,11.82,0.0233,3.52,0.2338,0.0066,0.005,0.0164,389.5,23750.0,626.9,0.0,0.0,sig_cost,5m+30m+4h,null
5m+30m+4h [by_r],3,2139,1.117,15.43,13.9,0.0254,3.52,0.2338,0.0072,0.005,0.1168,373.0,3193.5,441.7,0.0,0.0,by_r,5m+30m+4h,null
5m+1h+4h [equal],3,4085,1.154,18.41,9.48,0.0303,6.73,0.2409,0.0045,0.0075,0.1891,373.0,1972.5,338.4,0.0,0.0,equal,5m+1h+4h,null
5m+1h+4h [sig_cost],3,4085,1.16,22.33,10.69,0.0368,6.73,0.2409,0.0055,0.0025,0.0,,,,0.0,0.0,sig_cost,5m+1h+4h,null
5m+1h+4h [by_r],3,4085,1.154,22.71,10.66,0.0374,6.73,0.2409,0.0056,0.0075,0.4852,311.0,641.0,182.9,0.0,0.0,by_r,5m+1h+4h,null
15m+30m+1h [equal],3,2257,1.308,33.2,9.43,0.0547,3.72,0.257,0.0147,0.0075,0.5724,234.5,409.7,229.5,0.0,0.0,equal,15m+30m+1h,null
15m+30m+1h [sig_cost],3,2257,1.467,56.98,11.96,0.0939,3.72,0.257,0.0252,0.005,0.5197,242.5,466.6,186.9,0.0,0.0,sig_cost,15m+30m+1h,null
15m+30m+1h [by_r],3,2257,1.484,58.18,12.18,0.0958,3.72,0.257,0.0258,0.005,0.5197,242.5,466.6,186.9,0.0,0.0,by_r,15m+30m+1h,null
15m+30m+4h [equal],3,293,1.422,25.94,7.16,0.0427,0.48,0.3311,0.0885,0.01,0.6842,261.5,382.2,156.5,0.0,0.0,equal,15m+30m+4h,null
15m+30m+4h [sig_cost],3,293,1.668,61.6,14.57,0.1015,0.48,0.3311,0.2102,0.005,0.5197,242.5,466.6,183.0,0.0,0.0,sig_cost,15m+30m+4h,null
15m+30m+4h [by_r],3,293,1.671,64.24,15.53,0.1058,0.48,0.3311,0.2192,0.005,0.5197,242.5,466.6,183.0,0.0,0.0,by_r,15m+30m+4h,null
15m+1h+4h [equal],3,2239,1.374,35.62,8.01,0.0587,3.69,0.2595,0.0159,0.0075,0.5362,224.5,418.7,199.3,0.0,0.0,equal,15m+1h+4h,null
15m+1h+4h [sig_cost],3,2239,1.465,52.19,10.8,0.086,3.69,0.2595,0.0233,0.005,0.5197,242.5,466.6,193.0,0.0,0.0,sig_cost,15m+1h+4h,null
15m+1h+4h [by_r],3,2239,1.482,54.74,11.35,0.0902,3.69,0.2595,0.0244,0.005,0.5197,242.5,466.6,186.9,0.0,0.0,by_r,15m+1h+4h,null
30m+1h+4h [equal],3,2201,1.152,12.22,8.44,0.0201,3.63,0.2612,0.0056,0.0075,0.0576,325.0,5642.4,887.5,0.0,0.0,equal,30m+1h+4h,null
30m+1h+4h [sig_cost],3,2201,1.188,23.66,13.84,0.039,3.63,0.2612,0.0108,0.0025,0.0,,,,0.0,0.0,sig_cost,30m+1h+4h,null
30m+1h+4h [by_r],3,2201,1.186,24.68,14.13,0.0407,3.63,0.2612,0.0112,0.0025,0.0,,,,0.0,0.0,by_r,30m+1h+4h,null
5m+15m+30m+1h [equal],4,4232,1.237,29.58,8.54,0.0487,6.97,0.2408,0.007,0.0075,0.6316,262.5,415.6,201.6,0.0,0.0,equal,5m+15m+30m+1h,null
5m+15m+30m+1h [sig_cost],4,4232,1.399,51.59,11.1,0.085,6.97,0.2408,0.0122,0.005,0.5197,242.5,466.6,207.3,0.0,0.0,sig_cost,5m+15m+30m+1h,null
5m+15m+30m+1h [by_r],4,4232,1.403,51.94,11.18,0.0856,6.97,0.2408,0.0123,0.005,0.5197,242.5,466.6,207.9,0.0,0.0,by_r,5m+15m+30m+1h,null
5m+15m+30m+4h [equal],4,2268,1.268,24.13,6.96,0.0398,3.74,0.2363,0.0106,0.01,0.7599,250.5,329.6,194.2,0.0,0.0,equal,5m+15m+30m+4h,null
5m+15m+30m+4h [sig_cost],4,2268,1.509,54.19,11.29,0.0893,3.74,0.2363,0.0239,0.005,0.5197,242.5,466.6,186.9,0.0,0.0,sig_cost,5m+15m+30m+4h,null
5m+15m+30m+4h [by_r],4,2268,1.499,55.41,11.64,0.0913,3.74,0.2363,0.0244,0.005,0.5197,242.5,466.6,185.0,0.0,0.0,by_r,5m+15m+30m+4h,null
5m+15m+1h+4h [equal],4,4214,1.272,31.39,7.52,0.0517,6.94,0.2421,0.0074,0.01,0.7615,229.0,300.7,147.6,0.0,0.0,equal,5m+15m+1h+4h,null
5m+15m+1h+4h [sig_cost],4,4214,1.398,47.87,10.17,0.0789,6.94,0.2421,0.0114,0.0075,0.6431,223.0,346.8,185.9,0.0,0.0,sig_cost,5m+15m+1h+4h,null
5m+15m+1h+4h [by_r],4,4214,1.402,49.37,10.53,0.0813,6.94,0.2421,0.0117,0.0075,0.6447,222.5,345.1,184.0,0.0,0.0,by_r,5m+15m+1h+4h,null
5m+30m+1h+4h [equal],4,4176,1.133,13.84,7.48,0.0228,6.88,0.2428,0.0033,0.01,0.3224,276.5,857.6,252.9,0.0,0.0,equal,5m+30m+1h+4h,null
5m+30m+1h+4h [sig_cost],4,4176,1.16,22.3,10.69,0.0367,6.88,0.2428,0.0053,0.0025,0.0,,,,0.0,0.0,sig_cost,5m+30m+1h+4h,null
5m+30m+1h+4h [by_r],4,4176,1.154,22.66,10.65,0.0373,6.88,0.2428,0.0054,0.0075,0.4836,311.5,644.1,188.3,0.0,0.0,by_r,5m+30m+1h+4h,null
15m+30m+1h+4h [equal],4,2330,1.31,26.75,7.08,0.0441,3.84,0.2622,0.0115,0.01,0.6842,241.5,353.0,183.2,0.0,0.0,equal,15m+30m+1h+4h,null
15m+30m+1h+4h [sig_cost],4,2330,1.465,52.15,10.8,0.0859,3.84,0.2622,0.0224,0.005,0.5197,242.5,466.6,193.0,0.0,0.0,sig_cost,15m+30m+1h+4h,null
15m+30m+1h+4h [by_r],4,2330,1.482,54.68,11.35,0.0901,3.84,0.2622,0.0235,0.005,0.5197,242.5,466.6,186.9,0.0,0.0,by_r,15m+30m+1h+4h,null
5m+15m+30m+1h+4h [equal],5,4305,1.242,25.14,6.84,0.0414,7.09,0.2439,0.0058,0.01,0.7352,265.0,360.4,180.8,0.0,0.0,equal,5m+15m+30m+1h+4h,null
5m+15m+30m+1h+4h [sig_cost],5,4305,1.398,47.84,10.16,0.0788,7.09,0.2439,0.0111,0.0075,0.6431,223.0,346.8,185.9,0.0,0.0,sig_cost,5m+15m+30m+1h+4h,null
5m+15m+30m+1h+4h [by_r],5,4305,1.402,49.32,10.53,0.0813,7.09,0.2439,0.0115,0.0075,0.6447,222.5,345.1,184.0,0.0,0.0,by_r,5m+15m+30m+1h+4h,null
