legs,n,floor,topn,pf,pf2x,risk,pass_rate,fail_total,median_days,expected_days,max_dd,trades,tpd,r_day,max_dd_r,avg_r
BTCUSDT 15m+BTCUSDT 1h+BTCUSDT 4h+XAUUSD 30m+XAUUSD 5m,5,30,1,1.442,1.094,0.0075,0.7481,0.0,136.0,181.8,-0.0678,504,0.757,0.0453,-9.04,0.0598
BTCUSDT 15m+BTCUSDT 1h+BTCUSDT 4h+XAUUSD 30m+XAUUSD 5m,5,30,10,1.415,1.084,0.015,0.771,0.0,70.0,90.8,-0.069,5467,8.192,0.0418,-4.6,0.0051
BTCUSDT 15m+BTCUSDT 1h+BTCUSDT 4h+XAUUSD 30m+XAUUSD 5m,5,100,1,1.505,1.14,0.005,0.6841,0.0,72.0,105.2,-0.0686,1183,1.773,0.1312,-13.72,0.074
BTCUSDT 15m+BTCUSDT 1h+BTCUSDT 4h+XAUUSD 30m+XAUUSD 5m,5,100,10,1.45,1.123,0.0125,0.8518,0.0,45.0,52.8,-0.0695,11615,17.4,0.1009,-5.56,0.0058
BTCUSDT 15m+BTCUSDT 30m+BTCUSDT 4h+XAUUSD 30m+XAUUSD 5m,5,30,1,1.488,1.12,0.0125,0.7586,0.0,98.0,129.2,-0.077,495,0.744,0.0501,-6.16,0.0674
BTCUSDT 15m+BTCUSDT 30m+BTCUSDT 4h+XAUUSD 30m+XAUUSD 5m,5,30,10,1.432,1.093,0.02,0.771,0.0,63.0,81.7,-0.0773,5331,7.992,0.0424,-3.87,0.0053
BTCUSDT 15m+BTCUSDT 30m+BTCUSDT 4h+XAUUSD 30m+XAUUSD 5m,5,100,1,1.566,1.193,0.0075,0.8488,0.0,61.0,71.9,-0.0621,1316,1.973,0.1478,-8.29,0.0749
BTCUSDT 15m+BTCUSDT 30m+BTCUSDT 4h+XAUUSD 30m+XAUUSD 5m,5,100,10,1.437,1.11,0.0125,0.8518,0.0,49.0,57.5,-0.074,13033,19.531,0.1016,-5.92,0.0052
BTCUSDT 1h+BTCUSDT 30m+BTCUSDT 4h+XAUUSD 30m+XAUUSD 5m,5,30,1,1.519,1.226,0.0125,0.7583,0.0,143.0,188.6,-0.0693,417,0.626,0.0355,-5.54,0.0567
BTCUSDT 1h+BTCUSDT 30m+BTCUSDT 4h+XAUUSD 30m+XAUUSD 5m,5,30,10,1.558,1.244,0.02,0.7796,0.0,94.5,121.2,-0.073,4717,7.077,0.041,-3.65,0.0058
BTCUSDT 1h+BTCUSDT 30m+BTCUSDT 4h+XAUUSD 30m+XAUUSD 5m,5,100,1,1.59,1.231,0.005,0.8441,0.0,84.0,99.5,-0.064,1341,2.012,0.1441,-12.79,0.0716
BTCUSDT 1h+BTCUSDT 30m+BTCUSDT 4h+XAUUSD 30m+XAUUSD 5m,5,100,10,1.499,1.193,0.0175,0.8518,0.0,40.0,47.0,-0.0788,12920,19.362,0.1007,-4.5,0.0052
BTCUSDT 15m+BTCUSDT 1h+BTCUSDT 30m+BTCUSDT 4h+XAUUSD 30m+XAUUSD 5m,6,30,1,1.449,1.097,0.01,0.7586,0.0,126.5,166.8,-0.0646,568,0.853,0.0432,-6.46,0.0506
BTCUSDT 15m+BTCUSDT 1h+BTCUSDT 30m+BTCUSDT 4h+XAUUSD 30m+XAUUSD 5m,6,30,10,1.432,1.089,0.0175,0.774,0.0,70.0,90.4,-0.0794,6230,9.335,0.0411,-4.54,0.0044
BTCUSDT 15m+BTCUSDT 1h+BTCUSDT 30m+BTCUSDT 4h+XAUUSD 30m+XAUUSD 5m,6,100,1,1.539,1.157,0.005,0.774,0.0,78.0,100.8,-0.0625,1604,2.404,0.1457,-12.5,0.0606
BTCUSDT 15m+BTCUSDT 1h+BTCUSDT 30m+BTCUSDT 4h+XAUUSD 30m+XAUUSD 5m,6,100,10,1.457,1.116,0.015,0.8518,0.0,40.0,47.0,-0.0784,15546,23.288,0.1025,-5.23,0.0044
