symbol,tf,floor,topn,quarters,q_above_1,trades,pf,pf_2x,tpd
GBPUSD,5m,30,1,7,2,131,0.796,0.695,0.21
XAUUSD,15m,100,10,7,2,3240,0.849,0.694,5.083
ETHUSDT,4h,30,1,24,11,322,0.797,0.688,0.144
BTCUSDT,30m,100,10,30,8,11461,0.836,0.688,4.189
SOLUSDT,30m,100,10,19,3,7916,0.785,0.687,4.566
USDJPY,4h,100,1,6,2,175,0.832,0.686,0.276
BTCUSDT,15m,100,10,30,7,11914,0.823,0.685,4.354
ETHUSDT,30m,100,1,26,4,1016,0.823,0.685,0.429
XAUUSD,5m,100,10,7,2,3229,0.82,0.685,5.067
GBPUSD,30m,30,10,7,3,843,0.815,0.682,1.335
ETHUSDT,30m,30,10,26,8,3515,0.821,0.68,1.482
EURUSD,15m,100,1,7,3,366,0.804,0.679,0.578
EURUSD,4h,100,10,7,2,2208,0.8,0.675,3.494
USDCAD,15m,100,1,7,4,249,0.924,0.674,0.393
XAGUSD,4h,100,1,14,2,460,0.76,0.673,0.728
BTCUSDT,1h,100,1,30,10,1277,0.805,0.672,0.467
USDJPY,4h,100,10,7,1,2200,0.796,0.669,3.472
EURUSD,15m,30,10,7,2,1410,0.794,0.669,2.219
BTCUSDT,4h,30,10,30,9,4388,0.803,0.668,1.604
BTCUSDT,15m,30,10,30,8,6272,0.79,0.664,2.291
NZDUSD,15m,100,10,7,2,3161,0.795,0.661,4.987
USDJPY,1h,100,10,7,1,2022,0.778,0.659,3.182
USDCAD,15m,30,1,7,3,134,0.881,0.658,0.216
USDCAD,1h,100,10,7,1,2919,0.823,0.658,4.583
USDCHF,5m,100,10,7,1,3261,0.764,0.657,5.125
NZDUSD,4h,100,10,7,2,2312,0.763,0.657,3.648
XAGUSD,5m,100,10,14,4,6994,0.802,0.655,11.046
EURUSD,15m,100,10,7,0,3405,0.783,0.655,5.375
NZDUSD,15m,30,10,7,3,1280,0.793,0.653,2.021
XAGUSD,15m,30,10,14,0,2550,0.765,0.652,4.039
USDCAD,5m,30,10,7,2,1185,0.824,0.65,1.865
EURUSD,5m,30,10,7,2,1177,0.751,0.649,1.856
NZDUSD,5m,100,10,7,2,2923,0.799,0.649,4.606
SOLUSDT,30m,100,1,19,4,802,0.738,0.648,0.463
AUDUSD,1h,30,10,7,2,793,0.766,0.647,1.259
XAUUSD,5m,30,10,7,3,1551,0.792,0.647,2.441
USDCHF,30m,100,10,7,1,2560,0.761,0.645,4.025
AUDUSD,5m,100,10,7,1,2803,0.776,0.644,4.395
EURUSD,5m,100,1,7,2,246,0.723,0.643,0.388
USDCHF,1h,30,1,7,3,69,0.765,0.642,0.112
GBPUSD,5m,30,10,7,1,1235,0.734,0.636,1.948
USDCHF,15m,100,10,7,1,2803,0.798,0.633,4.402
NZDUSD,4h,100,1,7,2,223,0.739,0.631,0.352
USDCAD,4h,100,1,7,3,210,0.809,0.628,0.331
SOLUSDT,30m,30,1,19,5,225,0.711,0.627,0.132
XAUUSD,1h,30,1,7,2,48,0.721,0.621,0.079
XAUUSD,15m,100,1,7,2,382,0.763,0.62,0.603
USDJPY,5m,30,10,7,1,1251,0.715,0.619,1.97
SOLUSDT,1h,100,1,18,5,825,0.713,0.616,0.477
AUDUSD,1h,100,10,7,0,2779,0.724,0.609,4.36
USDJPY,15m,30,1,7,2,181,0.711,0.605,0.285
USDCAD,1h,30,10,7,1,904,0.752,0.603,1.418
XAUUSD,30m,30,1,7,2,86,0.715,0.603,0.136
EURUSD,30m,100,1,7,3,219,0.743,0.603,0.344
SOLUSDT,4h,30,1,18,3,207,0.672,0.6,0.122
USDCAD,5m,100,10,7,1,2533,0.727,0.598,3.977
BTCUSDT,15m,30,1,30,10,499,0.71,0.596,0.183
XAGUSD,4h,30,1,14,6,176,0.669,0.596,0.278
USDCHF,5m,30,1,7,3,84,0.711,0.59,0.137
AUDUSD,1h,100,1,7,2,259,0.667,0.59,0.415
ETHUSDT,1h,30,10,26,8,3416,0.721,0.588,1.49
AUDUSD,5m,30,10,7,1,1396,0.697,0.588,2.225
GBPUSD,30m,100,1,7,1,261,0.708,0.588,0.419
EURUSD,1h,100,10,7,0,2235,0.703,0.587,3.505
BTCUSDT,1h,30,10,30,9,5224,0.772,0.587,1.911
USDJPY,15m,100,10,7,2,2736,0.698,0.587,4.295
USDCAD,15m,100,10,7,2,2544,0.792,0.587,3.991
AUDUSD,4h,100,1,7,3,223,0.72,0.582,0.351
BTCUSDT,15m,100,1,30,9,1092,0.716,0.578,0.4
AUDUSD,15m,100,10,7,2,2440,0.71,0.578,3.825
XAUUSD,30m,30,10,7,1,1115,0.67,0.575,1.75
GBPUSD,30m,100,10,7,2,2384,0.68,0.574,3.764
GBPUSD,15m,100,10,7,0,2822,0.693,0.574,4.452
EURUSD,4h,100,1,7,3,247,0.706,0.574,0.391
USDCAD,15m,30,10,7,3,1338,0.776,0.573,2.109
AUDUSD,30m,100,10,7,0,2968,0.671,0.571,4.659
NZDUSD,1h,30,1,7,1,68,0.675,0.57,0.109
USDJPY,15m,30,10,7,1,1732,0.67,0.569,2.719
GBPUSD,1h,30,10,7,2,687,0.688,0.568,1.088
AUDUSD,30m,30,10,7,0,840,0.671,0.568,1.32
NZDUSD,4h,30,1,7,3,78,0.674,0.568,0.124
XAUUSD,30m,100,10,7,0,2550,0.664,0.568,3.999
NZDUSD,5m,100,1,7,2,239,0.742,0.566,0.377
AUDUSD,5m,30,1,7,1,98,0.674,0.566,0.156
EURUSD,30m,100,10,7,1,2658,0.682,0.564,4.174
AUDUSD,4h,100,10,7,2,2171,0.665,0.554,3.42
USDCAD,4h,100,10,7,0,1969,0.726,0.553,3.093
EURUSD,4h,30,10,7,2,863,0.665,0.552,1.402
USDCAD,5m,30,1,7,3,99,0.726,0.552,0.158
GBPUSD,4h,30,1,7,2,104,0.635,0.55,0.167
NZDUSD,30m,100,10,7,0,2666,0.662,0.547,4.193
USDCHF,30m,100,1,7,2,191,0.634,0.543,0.301
USDCHF,1h,100,1,7,1,224,0.648,0.539,0.353
GBPUSD,1h,100,1,7,1,158,0.641,0.534,0.253
USDCHF,1h,100,10,7,1,2543,0.636,0.533,4.002
USDCAD,30m,100,10,7,0,2221,0.679,0.53,3.496
USDCHF,1h,30,10,7,1,754,0.636,0.53,1.194
XAUUSD,15m,30,1,7,1,128,0.611,0.526,0.204
USDCHF,5m,100,1,7,0,290,0.615,0.525,0.458
USDJPY,15m,100,1,7,1,247,0.613,0.523,0.389
AUDUSD,5m,100,1,7,2,218,0.649,0.52,0.344
NZDUSD,30m,100,1,7,1,256,0.624,0.518,0.405
USDCAD,5m,100,1,7,1,236,0.613,0.51,0.371
AUDUSD,30m,100,1,7,1,282,0.589,0.508,0.443
NZDUSD,15m,30,1,7,1,133,0.636,0.506,0.212
USDCAD,4h,30,1,7,2,81,0.678,0.503,0.134
USDCHF,4h,100,10,7,1,2578,0.603,0.501,4.066
SOLUSDT,15m,30,1,19,3,451,0.593,0.5,0.266
EURUSD,1h,100,1,7,0,194,0.581,0.499,0.304
AUDUSD,15m,100,1,7,1,251,0.614,0.496,0.394
NZDUSD,1h,30,10,7,1,829,0.599,0.488,1.302
USDCHF,30m,30,10,7,2,930,0.601,0.487,1.488
EURUSD,4h,30,1,7,1,69,0.574,0.485,0.115
USDCAD,1h,30,1,7,2,80,0.584,0.482,0.128
EURUSD,30m,30,10,7,0,884,0.576,0.477,1.405
USDCHF,4h,30,1,7,1,81,0.62,0.477,0.134
USDCHF,15m,30,10,7,0,1435,0.604,0.476,2.256
USDCHF,5m,30,10,7,1,1281,0.586,0.474,2.016
NZDUSD,30m,30,1,7,3,88,0.56,0.472,0.144
GBPUSD,15m,100,1,7,1,200,0.561,0.472,0.316
BTCUSDT,1h,30,1,29,10,419,0.632,0.468,0.155
XAGUSD,5m,100,1,14,4,608,0.571,0.461,0.969
USDJPY,1h,30,10,7,0,870,0.567,0.456,1.379
NZDUSD,30m,30,10,7,1,971,0.544,0.449,1.586
USDCHF,4h,30,10,7,1,827,0.571,0.443,1.302
XAGUSD,5m,30,10,14,2,4068,0.54,0.442,6.459
USDJPY,1h,30,1,7,1,67,0.526,0.44,0.107
AUDUSD,30m,30,1,7,0,78,0.503,0.432,0.128
XAUUSD,4h,30,1,5,0,49,0.49,0.431,0.08
AUDUSD,4h,30,10,7,0,729,0.494,0.427,1.159
GBPUSD,15m,30,10,7,1,1214,0.514,0.424,1.917
XAUUSD,30m,100,1,7,2,301,0.494,0.415,0.472
EURUSD,5m,30,1,7,2,106,0.493,0.409,0.17
USDCAD,4h,30,10,7,1,750,0.569,0.406,1.236
XAUUSD,5m,100,1,7,2,253,0.487,0.395,0.406
USDCAD,30m,30,1,7,1,80,0.518,0.391,0.127
USDCAD,30m,30,10,7,1,938,0.512,0.379,1.486
USDCAD,30m,100,1,7,1,215,0.498,0.374,0.342
USDCHF,15m,30,1,7,0,135,0.444,0.371,0.216
USDCHF,4h,100,1,7,1,222,0.424,0.356,0.352
EURUSD,30m,30,1,7,0,97,0.413,0.347,0.156
GBPUSD,15m,30,1,7,2,101,0.392,0.31,0.16
USDCHF,30m,30,1,7,1,87,0.406,0.306,0.143
XAGUSD,5m,30,1,14,4,266,0.325,0.268,0.424
