sym,tf,thr,stop,hold,n,win,avg_r,pf,null_pf,tpd,days60,pass60,risk60
EURUSD,1h,1.0,1.5,384,388,8.2,0.3283,1.348,0.448,0.35,,,
EURUSD,1h,1.0,2.0,96,728,16.2,0.0599,1.07,0.767,0.66,,,
EURUSD,1h,1.0,2.0,192,496,11.9,-0.189,0.791,0.673,0.45,,,
EURUSD,1h,1.0,2.0,384,324,9.6,0.0388,1.042,0.571,0.3,,,
EURUSD,1h,1.25,0.75,96,1249,6.9,-0.0344,0.965,0.688,1.14,,,
EURUSD,1h,1.25,0.75,192,880,5.6,0.0103,1.011,0.694,0.8,,,
EURUSD,1h,1.25,0.75,384,688,3.9,-0.0916,0.908,0.49,0.63,,,
EURUSD,1h,1.25,1.0,96,1059,9.7,0.0979,1.104,0.682,0.97,,,
EURUSD,1h,1.25,1.0,192,748,7.1,-0.0029,0.997,0.824,0.68,,,
EURUSD,1h,1.25,1.0,384,539,5.8,0.0595,1.061,0.725,0.49,,,
EURUSD,1h,1.25,1.25,96,950,11.7,0.147,1.16,0.716,0.87,69.2,66.5,0.25
EURUSD,1h,1.25,1.25,192,678,8.0,0.0492,1.052,0.792,0.62,,,
EURUSD,1h,1.25,1.25,384,455,6.8,0.0576,1.06,0.858,0.42,92.4,61.7,0.25
EURUSD,1h,1.25,1.5,96,896,12.7,0.0775,1.086,0.696,0.82,,,
EURUSD,1h,1.25,1.5,192,618,9.2,0.0477,1.051,0.805,0.56,,,
EURUSD,1h,1.25,1.5,384,398,7.8,0.2398,1.254,0.53,0.36,,,
EURUSD,1h,1.25,2.0,96,737,15.6,0.0592,1.068,0.746,0.67,,,
EURUSD,1h,1.25,2.0,192,497,11.9,-0.2316,0.744,0.872,0.45,,,
EURUSD,1h,1.25,2.0,384,319,9.4,0.0496,1.053,1.069,0.29,,,
USDJPY,1h,0.25,0.75,96,1490,7.2,0.1408,1.136,0.744,1.36,,,
USDJPY,1h,0.25,0.75,192,971,5.9,0.2205,1.211,0.684,0.89,,,
USDJPY,1h,0.25,0.75,384,717,3.9,-0.0049,0.995,0.725,0.65,,,
USDJPY,1h,0.25,1.0,96,1264,8.7,0.1195,1.118,0.745,1.15,,,
USDJPY,1h,0.25,1.0,192,862,6.7,0.1984,1.193,0.582,0.79,,,
USDJPY,1h,0.25,1.0,384,563,5.3,0.1268,1.124,0.733,0.51,,,
USDJPY,1h,0.25,1.25,96,1101,10.1,0.1902,1.193,0.705,1.0,,,
USDJPY,1h,0.25,1.25,192,784,6.9,-0.0428,0.959,0.471,0.72,,,
USDJPY,1h,0.25,1.25,384,492,5.7,-0.1993,0.813,0.622,0.45,,,
USDJPY,1h,0.25,1.5,96,935,12.0,0.3214,1.337,0.788,0.85,45.0,62.3,0.25
USDJPY,1h,0.25,1.5,192,658,8.8,0.1715,1.174,0.66,0.6,,,
USDJPY,1h,0.25,1.5,384,450,6.7,-0.1684,0.834,0.579,0.41,,,
USDJPY,1h,0.25,2.0,96,684,18.7,0.3226,1.37,0.779,0.62,74.2,66.0,0.25
USDJPY,1h,0.25,2.0,192,485,12.6,0.2581,1.279,0.548,0.44,94.5,69.9,0.25
USDJPY,1h,0.25,2.0,384,311,9.3,-0.1301,0.867,0.83,0.28,,,
USDJPY,1h,0.5,0.75,96,1441,7.2,0.1964,1.19,0.704,1.31,,,
USDJPY,1h,0.5,0.75,192,995,5.3,0.1918,1.181,0.639,0.91,,,
USDJPY,1h,0.5,0.75,384,778,3.7,0.0268,1.025,0.575,0.71,,,
USDJPY,1h,0.5,1.0,96,1271,8.2,0.0697,1.069,0.6,1.16,,,
USDJPY,1h,0.5,1.0,192,915,6.0,0.1733,1.168,0.492,0.83,,,
USDJPY,1h,0.5,1.0,384,595,5.2,0.037,1.036,0.575,0.54,,,
USDJPY,1h,0.5,1.25,96,1083,10.0,0.1578,1.16,0.652,0.99,,,
USDJPY,1h,0.5,1.25,192,747,7.5,0.0804,1.077,0.521,0.68,,,
USDJPY,1h,0.5,1.25,384,509,5.7,-0.1459,0.863,0.525,0.46,,,
USDJPY,1h,0.5,1.5,96,928,12.3,0.2763,1.291,0.789,0.85,51.2,66.4,0.25
USDJPY,1h,0.5,1.5,192,682,8.4,0.1401,1.141,0.727,0.62,,,
USDJPY,1h,0.5,1.5,384,426,6.8,-0.1258,0.876,0.659,0.39,,,
USDJPY,1h,0.5,2.0,96,718,16.7,0.2432,1.272,0.755,0.66,82.0,67.0,0.25
USDJPY,1h,0.5,2.0,192,501,11.8,0.3656,1.391,0.612,0.46,,,
USDJPY,1h,0.5,2.0,384,315,9.2,-0.0006,0.999,0.543,0.29,,,
USDJPY,1h,0.75,0.75,96,1458,6.4,0.0926,1.089,0.637,1.33,,,
USDJPY,1h,0.75,0.75,192,1020,4.6,-0.029,0.973,0.619,0.93,,,
USDJPY,1h,0.75,0.75,384,845,3.2,-0.0969,0.909,0.514,0.77,,,
USDJPY,1h,0.75,1.0,96,1272,7.7,0.0302,1.03,0.599,1.16,,,
USDJPY,1h,0.75,1.0,192,893,5.9,0.048,1.046,0.534,0.81,,,
USDJPY,1h,0.75,1.0,384,587,5.3,0.0967,1.094,0.621,0.54,,,
USDJPY,1h,0.75,1.25,96,1068,9.9,0.1267,1.128,0.71,0.97,,,
USDJPY,1h,0.75,1.25,192,758,6.7,-0.0107,0.99,0.522,0.69,,,
USDJPY,1h,0.75,1.25,384,499,5.8,0.0044,1.004,0.742,0.46,,,
USDJPY,1h,0.75,1.5,96,934,12.0,0.2349,1.247,0.749,0.85,,,
USDJPY,1h,0.75,1.5,192,634,8.7,0.1699,1.172,0.709,0.58,,,
USDJPY,1h,0.75,1.5,384,450,6.2,-0.1318,0.872,0.67,0.41,,,
USDJPY,1h,0.75,2.0,96,714,16.7,0.2318,1.259,0.863,0.65,70.4,69.6,0.25
USDJPY,1h,0.75,2.0,192,477,11.9,0.2809,1.3,0.498,0.44,93.7,61.9,0.25
USDJPY,1h,0.75,2.0,384,326,8.6,-0.1288,0.869,0.533,0.3,,,
USDJPY,1h,1.0,0.75,96,1396,6.2,0.0509,1.049,0.558,1.27,,,
USDJPY,1h,1.0,0.75,192,1047,4.4,-0.1663,0.845,0.536,0.96,,,
USDJPY,1h,1.0,0.75,384,847,3.0,-0.1527,0.857,0.601,0.77,,,
USDJPY,1h,1.0,1.0,96,1235,7.6,0.0228,1.022,0.578,1.13,,,
USDJPY,1h,1.0,1.0,192,880,6.0,-0.0356,0.966,0.49,0.8,,,
USDJPY,1h,1.0,1.0,384,604,4.8,0.0558,1.054,0.596,0.55,,,
USDJPY,1h,1.0,1.25,96,1066,9.6,0.1008,1.103,0.694,0.97,,,
USDJPY,1h,1.0,1.25,192,731,7.3,0.0761,1.075,0.461,0.67,,,
USDJPY,1h,1.0,1.25,384,505,5.5,0.0568,1.056,0.702,0.46,,,
USDJPY,1h,1.0,1.5,96,942,11.4,0.2322,1.242,0.734,0.86,,,
USDJPY,1h,1.0,1.5,192,647,8.5,0.162,1.163,0.602,0.59,,,
USDJPY,1h,1.0,1.5,384,463,6.0,-0.0865,0.915,0.69,0.42,,,
USDJPY,1h,1.0,2.0,96,755,15.6,0.2165,1.237,0.823,0.69,70.3,71.1,0.25
USDJPY,1h,1.0,2.0,192,507,11.2,0.2391,1.252,0.537,0.46,,,
USDJPY,1h,1.0,2.0,384,367,7.9,-0.2037,0.795,0.744,0.33,,,
USDJPY,1h,1.25,0.75,96,1268,6.6,0.1742,1.167,0.608,1.16,,,
USDJPY,1h,1.25,0.75,192,961,4.5,-0.0024,0.998,0.599,0.88,,,
USDJPY,1h,1.25,0.75,384,729,3.3,0.1395,1.13,0.529,0.67,,,
USDJPY,1h,1.25,1.0,96,1152,7.6,0.0154,1.015,0.591,1.05,,,
USDJPY,1h,1.25,1.0,192,843,5.8,-0.0549,0.947,0.566,0.77,,,
USDJPY,1h,1.25,1.0,384,553,4.5,0.0053,1.005,0.703,0.5,,,
USDJPY,1h,1.25,1.25,96,1005,9.5,0.1564,1.159,0.738,0.92,,,
USDJPY,1h,1.25,1.25,192,727,7.2,0.1261,1.124,0.55,0.66,,,
USDJPY,1h,1.25,1.25,384,490,5.7,0.1988,1.194,0.708,0.45,,,
USDJPY,1h,1.25,1.5,96,896,11.0,0.2444,1.255,0.685,0.82,,,
USDJPY,1h,1.25,1.5,192,634,8.2,0.2053,1.207,0.551,0.58,,,
USDJPY,1h,1.25,1.5,384,466,5.8,0.0005,1.0,0.682,0.43,,,
USDJPY,1h,1.25,2.0,96,721,15.7,0.1971,1.217,0.704,0.66,75.8,70.0,0.25
USDJPY,1h,1.25,2.0,192,501,11.4,0.1648,1.174,0.536,0.46,,,
USDJPY,1h,1.25,2.0,384,376,7.4,-0.24,0.761,0.705,0.34,,,
