sym,tf,thr,stop,hold,n,win,avg_r,pf,null_pf,tpd,days60,pass60,risk60
XAUUSD,1h,1.0,1.5,384,454,6.2,0.3427,1.341,0.808,0.41,,,
XAUUSD,1h,1.0,2.0,96,751,16.9,0.4573,1.518,1.054,0.69,23.2,64.6,0.5
XAUUSD,1h,1.0,2.0,192,498,11.2,0.1984,1.211,1.041,0.45,,,
XAUUSD,1h,1.0,2.0,384,330,8.5,0.4485,1.465,0.951,0.3,,,
XAUUSD,1h,1.25,0.75,96,1422,7.0,0.3488,1.33,0.839,1.3,,,
XAUUSD,1h,1.25,0.75,192,1136,4.1,0.3935,1.36,0.945,1.04,,,
XAUUSD,1h,1.25,0.75,384,775,3.2,0.301,1.275,0.786,0.71,,,
XAUUSD,1h,1.25,1.0,96,1255,8.4,0.3774,1.372,0.855,1.15,,,
XAUUSD,1h,1.25,1.0,192,971,5.3,0.1213,1.115,1.095,0.89,,,
XAUUSD,1h,1.25,1.0,384,684,3.8,0.4949,1.467,0.88,0.62,,,
XAUUSD,1h,1.25,1.25,96,1036,10.9,0.5332,1.548,0.901,0.95,30.0,63.4,0.25
XAUUSD,1h,1.25,1.25,192,788,6.2,0.514,1.5,0.943,0.72,,,
XAUUSD,1h,1.25,1.25,384,542,4.8,0.3765,1.364,0.877,0.49,,,
XAUUSD,1h,1.25,1.5,96,908,12.9,0.508,1.539,0.845,0.83,37.8,66.2,0.25
XAUUSD,1h,1.25,1.5,192,614,8.6,0.652,1.659,0.884,0.56,,,
XAUUSD,1h,1.25,1.5,384,452,6.0,0.4986,1.493,0.761,0.41,,,
XAUUSD,1h,1.25,2.0,96,750,16.5,0.3112,1.35,0.869,0.68,,,
XAUUSD,1h,1.25,2.0,192,504,10.9,0.4306,1.455,0.892,0.46,,,
XAUUSD,1h,1.25,2.0,384,335,8.4,0.5699,1.589,0.788,0.31,,,
XAUUSD,4h,0.25,0.75,96,618,3.9,0.4613,1.435,0.551,0.56,,,
XAUUSD,4h,0.25,0.75,192,494,2.6,0.426,1.393,0.585,0.45,,,
XAUUSD,4h,0.25,0.75,384,320,2.5,1.2424,2.142,0.643,0.29,67.4,60.1,0.75
XAUUSD,4h,0.25,1.0,96,456,6.1,1.1395,2.122,0.609,0.42,24.5,61.2,0.75
XAUUSD,4h,0.25,1.0,192,392,3.3,0.9134,1.869,0.497,0.36,49.3,60.9,0.5
XAUUSD,4h,0.25,1.0,384,257,3.5,1.1918,2.133,0.819,0.23,59.8,61.9,3.0
XAUUSD,4h,0.25,1.25,96,387,7.8,0.9507,1.964,0.621,0.35,28.2,60.3,0.75
XAUUSD,4h,0.25,1.25,192,310,4.5,1.0388,2.009,0.565,0.28,67.6,65.1,0.25
XAUUSD,4h,0.25,1.25,384,170,5.9,2.8052,3.763,0.721,0.16,53.8,74.4,1.25
XAUUSD,4h,0.25,1.5,96,377,7.7,0.6603,1.674,0.528,0.34,28.0,60.8,0.75
XAUUSD,4h,0.25,1.5,192,252,6.3,1.0846,2.094,0.618,0.23,38.2,60.2,1.0
XAUUSD,4h,0.25,1.5,384,164,4.9,4.072,5.03,0.627,0.15,66.7,63.0,1.0
XAUUSD,4h,0.25,2.0,96,266,10.9,0.589,1.638,0.875,0.24,,,
XAUUSD,4h,0.25,2.0,192,174,9.8,0.1656,1.175,0.724,0.16,36.6,60.2,2.5
XAUUSD,4h,0.25,2.0,384,136,5.9,1.6889,2.71,1.332,0.12,106.7,67.5,0.5
XAUUSD,4h,0.5,0.75,96,607,3.8,0.545,1.513,0.615,0.55,40.7,61.5,0.25
XAUUSD,4h,0.5,0.75,192,498,2.6,0.3509,1.324,0.733,0.45,,,
XAUUSD,4h,0.5,0.75,384,276,3.3,1.8647,2.723,0.586,0.25,59.4,63.9,1.5
XAUUSD,4h,0.5,1.0,96,451,6.0,1.1174,2.098,0.543,0.41,26.6,60.2,0.75
XAUUSD,4h,0.5,1.0,192,380,3.4,1.0112,1.962,0.637,0.35,60.9,72.3,0.25
XAUUSD,4h,0.5,1.0,384,262,3.4,0.6927,1.659,0.505,0.24,59.5,73.9,0.5
XAUUSD,4h,0.5,1.25,96,405,7.2,0.8133,1.819,0.577,0.37,27.6,61.6,0.75
XAUUSD,4h,0.5,1.25,192,318,4.4,0.9525,1.924,0.744,0.29,68.3,65.9,0.25
XAUUSD,4h,0.5,1.25,384,165,6.1,2.9233,3.885,0.533,0.15,53.8,74.4,1.25
XAUUSD,4h,0.5,1.5,96,380,7.6,0.5599,1.572,0.54,0.35,,,
XAUUSD,4h,0.5,1.5,192,262,5.7,1.0639,2.063,0.705,0.24,54.2,62.7,0.5
XAUUSD,4h,0.5,1.5,384,160,5.0,3.5771,4.546,0.542,0.15,66.7,61.5,1.25
XAUUSD,4h,0.5,2.0,96,275,10.5,0.9808,2.057,1.133,0.25,74.3,68.6,0.25
XAUUSD,4h,0.5,2.0,192,174,9.8,0.2454,1.26,1.982,0.16,35.6,61.9,1.75
XAUUSD,4h,0.5,2.0,384,136,5.9,1.6869,2.704,2.135,0.12,106.7,67.5,0.5
XAUUSD,4h,0.75,0.75,96,611,3.6,0.4521,1.425,0.802,0.56,,,
XAUUSD,4h,0.75,0.75,192,479,2.7,0.3243,1.3,0.856,0.44,,,
XAUUSD,4h,0.75,0.75,384,338,2.4,1.42,2.307,0.675,0.31,68.1,60.2,0.75
XAUUSD,4h,0.75,1.0,96,463,5.4,0.8256,1.805,0.661,0.42,46.2,60.7,0.25
XAUUSD,4h,0.75,1.0,192,404,3.0,0.7028,1.667,0.728,0.37,,,
XAUUSD,4h,0.75,1.0,384,316,2.2,1.5952,2.497,0.549,0.29,76.5,64.0,0.25
XAUUSD,4h,0.75,1.25,96,403,6.9,0.8335,1.837,0.676,0.37,51.2,66.4,0.25
XAUUSD,4h,0.75,1.25,192,317,4.4,1.0296,2.0,0.743,0.29,,,
XAUUSD,4h,0.75,1.25,384,176,4.5,3.3663,4.278,0.636,0.16,67.2,67.0,1.25
XAUUSD,4h,0.75,1.5,96,363,8.3,0.7338,1.755,0.583,0.33,65.7,60.9,0.25
XAUUSD,4h,0.75,1.5,192,263,5.7,1.2866,2.278,0.519,0.24,53.7,61.5,0.5
XAUUSD,4h,0.75,1.5,384,145,6.9,2.2934,3.316,0.541,0.13,53.8,68.7,4.0
XAUUSD,4h,0.75,2.0,96,287,9.8,0.8941,1.955,0.964,0.26,78.3,66.4,0.25
XAUUSD,4h,0.75,2.0,192,189,9.0,0.3008,1.315,1.517,0.17,87.2,65.9,0.5
