book,legs,trades,pf,total_r,max_dd_r,r_per_day,tpd,win,avg_r,risk,pass_rate,median_days,expected_days,one_step_days,fail_max,fail_daily,tf,floor,topn,tag
30m floor100 top1,1,311,1.144,35.36,38.6,0.0576,0.51,0.2347,0.1137,0.0025,0.1883,100.5,533.7,301.3,0.5357,0.0,30m,100,1,null_fixed
5m floor30 top10,1,1418,1.325,37.58,13.66,0.061,2.3,0.2595,0.0265,0.005,0.0259,19.5,752.9,1640.4,0.0,0.0,5m,30,10,null_fixed
15m floor100 top10,1,2337,1.261,53.07,15.01,0.086,3.79,0.2298,0.0227,0.005,0.3107,271.5,873.8,231.2,0.0,0.0,15m,100,10,null_fixed
5m floor30 top1,1,131,1.92,94.15,23.39,0.1546,0.22,0.2824,0.7187,0.0025,0.0197,207.5,10533.0,1260.2,0.0,0.0,5m,30,1,null_fixed
15m floor30 top1,1,108,1.51,36.75,11.82,0.0599,0.18,0.3611,0.3403,0.005,0.0195,351.5,18025.6,685.4,0.0,0.0,15m,30,1,null_fixed
15m floor30 top10,1,1111,1.159,12.66,12.75,0.0206,1.81,0.3105,0.0114,0.0025,0.0,,,,0.0,0.0,15m,30,10,null_fixed
15m floor100 top1,1,227,1.201,42.1,42.73,0.0687,0.37,0.207,0.1855,0.0025,0.0,,,311.1,0.2911,0.0,15m,100,1,null_fixed
1h floor30 top1,1,97,0.937,-2.69,16.88,-0.0044,0.16,0.4227,-0.0277,0.0025,0.0,,,,0.0,0.0,1h,30,1,null_fixed
1h floor30 top10,1,873,0.992,-0.43,11.43,-0.0007,1.41,0.3562,-0.0005,0.0025,0.0,,,,0.0,0.0,1h,30,10,null_fixed
1h floor100 top1,1,214,1.179,32.48,32.28,0.0528,0.35,0.2243,0.1518,0.0025,0.0,,,333.3,0.2464,0.0,1h,100,1,null_fixed
1h floor100 top10,1,1974,1.061,8.23,17.22,0.0134,3.2,0.2877,0.0042,0.0025,0.0,,,,0.0,0.0,1h,100,10,null_fixed
30m floor30 top1,1,82,0.967,-1.81,20.52,-0.003,0.13,0.2805,-0.0221,0.0025,0.0,,,,0.0,0.0,30m,30,1,null_fixed
30m floor30 top10,1,873,0.747,-14.41,16.47,-0.0234,1.41,0.2749,-0.0165,0.0025,0.0,,,,0.0,0.0,30m,30,10,null_fixed
30m floor100 top10,1,3435,0.917,-22.15,47.42,-0.0359,5.57,0.2681,-0.0064,0.0025,0.0,,,,0.2168,0.0,30m,100,10,null_fixed
4h floor30 top1,1,61,1.032,0.88,13.42,0.0015,0.1,0.5082,0.0144,0.0025,0.0,,,,0.0,0.0,4h,30,1,null_fixed
4h floor30 top10,1,706,0.722,-9.47,15.11,-0.0154,1.15,0.4263,-0.0134,0.0025,0.0,,,,0.0,0.0,4h,30,10,null_fixed
4h floor100 top1,1,254,0.93,-5.59,16.35,-0.0091,0.41,0.4016,-0.022,0.0025,0.0,,,,0.0,0.0,4h,100,1,null_fixed
4h floor100 top10,1,2715,0.822,-9.42,11.77,-0.0153,4.41,0.432,-0.0035,0.0025,0.0,,,,0.0,0.0,4h,100,10,null_fixed
5m floor100 top1,1,295,0.755,-86.97,179.76,-0.144,0.49,0.078,-0.2948,0.0025,0.0,,,1371.5,0.5686,0.2198,5m,100,1,null_fixed
5m floor100 top10,1,3400,0.882,-43.24,86.45,-0.0702,5.52,0.12,-0.0127,0.0025,0.0,,,309.0,0.5615,0.2265,5m,100,10,null_fixed
