symbol,tf,floor,topn,risk,pf,tpd,total_return,cagr,max_dd,sharpe,pass_rate,fail_max,fail_daily,open,median_days_pass,p25_days_pass
BTCUSDT,15m,30,1,0.005,1.798,0.211,2.1967,0.1684,-0.1008,1.22,0.6116,0.3291,0.0,0.0594,64.0,29.0
BTCUSDT,15m,30,1,0.0075,1.798,0.211,3.295,0.2155,-0.1291,1.22,0.5526,0.435,0.0,0.0125,44.0,24.0
BTCUSDT,15m,30,1,0.01,1.798,0.211,4.3934,0.2531,-0.1502,1.22,0.5299,0.4342,0.026,0.0099,39.0,22.0
BTCUSDT,15m,30,1,0.02,1.798,0.211,8.7868,0.3572,-0.199,1.22,0.2682,0.2367,0.4866,0.0084,31.0,21.0
BTCUSDT,15m,100,1,0.005,1.681,0.485,3.8575,0.235,-0.1251,1.63,0.6642,0.3065,0.0,0.0292,35.0,20.0
BTCUSDT,15m,100,1,0.0075,1.681,0.485,5.7863,0.2914,-0.1659,1.63,0.5784,0.3785,0.0307,0.0124,26.0,16.0
BTCUSDT,15m,100,1,0.01,1.681,0.485,7.715,0.3353,-0.1984,1.63,0.4962,0.3972,0.0968,0.0099,20.0,13.0
BTCUSDT,15m,100,1,0.02,1.681,0.485,15.4301,0.4533,-0.351,1.63,0.2521,0.2075,0.532,0.0084,17.0,12.0
XAUUSD,5m,100,10,0.005,1.66,3.766,0.5073,0.2667,-0.0378,1.9,0.8724,0.0,0.0,0.1276,75.0,44.0
XAUUSD,5m,100,10,0.0075,1.66,3.766,0.7609,0.3854,-0.0567,1.9,0.8945,0.0236,0.0,0.0819,54.0,29.0
XAUUSD,5m,100,10,0.01,1.66,3.766,1.0146,0.4971,-0.0756,1.9,0.8504,0.085,0.0,0.0646,40.0,21.0
XAUUSD,5m,100,10,0.02,1.66,3.766,2.0291,0.8936,-0.1513,1.9,0.5244,0.211,0.2504,0.0142,15.0,10.0
BTCUSDT,15m,100,10,0.005,1.655,5.341,3.7418,0.231,-0.0774,2.4,0.8608,0.0753,0.0,0.0639,52.0,27.0
BTCUSDT,15m,100,10,0.0075,1.655,5.341,5.6127,0.2869,-0.108,2.4,0.8038,0.1834,0.0,0.0128,31.0,16.0
BTCUSDT,15m,100,10,0.01,1.655,5.341,7.4836,0.3305,-0.1346,2.4,0.7508,0.2375,0.0,0.0117,22.0,11.0
BTCUSDT,15m,100,10,0.02,1.655,5.341,14.9672,0.4477,-0.2135,2.4,0.6076,0.1754,0.2083,0.0088,12.0,8.0
EURUSD,30m,100,1,0.005,1.579,0.322,0.4009,0.2155,-0.141,1.07,0.8813,0.0506,0.0,0.068,161.0,62.0
EURUSD,30m,100,1,0.0075,1.579,0.322,0.6014,0.3133,-0.2043,1.07,0.6946,0.2373,0.0,0.068,109.0,63.5
EURUSD,30m,100,1,0.01,1.579,0.322,0.8018,0.4061,-0.2634,1.07,0.6756,0.2294,0.0269,0.068,90.0,33.0
EURUSD,30m,100,1,0.02,1.579,0.322,1.6037,0.74,-0.4654,1.07,0.5158,0.0443,0.4304,0.0095,54.5,23.0
BTCUSDT,4h,100,1,0.005,1.57,0.302,0.7993,0.0827,-0.1118,1.05,0.7115,0.0678,0.0,0.2207,169.0,94.0
BTCUSDT,4h,100,1,0.0075,1.57,0.302,1.1989,0.1125,-0.1417,1.05,0.8189,0.0778,0.0,0.1033,125.0,69.0
BTCUSDT,4h,100,1,0.01,1.57,0.302,1.5985,0.138,-0.1635,1.05,0.8711,0.0837,0.0,0.0452,98.5,53.0
BTCUSDT,4h,100,1,0.02,1.57,0.302,3.1971,0.2142,-0.2128,1.05,0.5726,0.3533,0.0611,0.013,51.0,26.0
BTCUSDT,15m,30,10,0.005,1.516,2.661,1.5249,0.132,-0.0472,1.74,0.7453,0.1755,0.0,0.0791,114.0,59.0
BTCUSDT,15m,30,10,0.0075,1.516,2.661,2.2874,0.1727,-0.0601,1.74,0.7332,0.2385,0.0,0.0282,73.0,37.0
BTCUSDT,15m,30,10,0.01,1.516,2.661,3.0499,0.206,-0.0765,1.74,0.7472,0.24,0.0,0.0128,51.0,26.0
BTCUSDT,15m,30,10,0.02,1.516,2.661,6.0998,0.3001,-0.1426,1.74,0.5874,0.3038,0.0997,0.0092,19.0,11.0
XAUUSD,5m,30,10,0.005,1.504,2.093,0.1811,0.101,-0.0342,1.38,0.6935,0.0,0.0,0.3065,181.0,96.5
XAUUSD,5m,30,10,0.0075,1.504,2.093,0.2716,0.149,-0.0508,1.38,0.6951,0.0,0.0,0.3049,180.5,68.75
XAUUSD,5m,30,10,0.01,1.504,2.093,0.3621,0.1955,-0.0671,1.38,0.7536,0.0,0.0,0.2464,150.0,67.0
XAUUSD,5m,30,10,0.02,1.504,2.093,0.7242,0.3701,-0.1321,1.38,0.3207,0.4976,0.1216,0.06,21.0,14.0
XAUUSD,5m,100,1,0.005,1.439,0.345,0.3489,0.1888,-0.0772,1.05,0.7536,0.1659,0.0,0.0806,82.0,44.0
XAUUSD,5m,100,1,0.0075,1.439,0.345,0.5233,0.2754,-0.1078,1.05,0.5403,0.3823,0.0395,0.0379,42.0,26.0
XAUUSD,5m,100,1,0.01,1.439,0.345,0.6977,0.3578,-0.1345,1.05,0.5355,0.2591,0.1706,0.0348,36.0,23.0
XAUUSD,5m,100,1,0.02,1.439,0.345,1.3955,0.6568,-0.214,1.05,0.2496,0.0869,0.6619,0.0016,21.5,18.0
USDCHF,30m,100,1,0.005,1.432,0.379,0.4051,0.218,-0.1401,0.77,0.4272,0.4905,0.0,0.0823,30.0,19.25
USDCHF,30m,100,1,0.0075,1.432,0.379,0.6077,0.3169,-0.1912,0.77,0.3623,0.5744,0.0,0.0633,26.0,14.0
USDCHF,30m,100,1,0.01,1.432,0.379,0.8102,0.4107,-0.2338,0.77,0.3339,0.6028,0.0301,0.0332,24.0,14.0
USDCHF,30m,100,1,0.02,1.432,0.379,1.6205,0.7481,-0.4243,0.77,0.0617,0.5791,0.3259,0.0332,23.0,10.5
BTCUSDT,4h,100,10,0.005,1.418,2.759,0.5364,0.059,-0.0457,1.27,0.3787,0.0,0.0,0.6213,182.0,131.0
BTCUSDT,4h,100,10,0.0075,1.418,2.759,0.8046,0.082,-0.0589,1.27,0.5559,0.0526,0.0,0.3915,162.0,87.25
BTCUSDT,4h,100,10,0.01,1.418,2.759,1.0728,0.1022,-0.0687,1.27,0.6866,0.126,0.0,0.1874,141.5,72.0
BTCUSDT,4h,100,10,0.02,1.418,2.759,2.1456,0.1653,-0.1088,1.27,0.7195,0.2648,0.0,0.0157,61.0,30.0
BTCUSDT,1h,30,1,0.005,1.407,0.151,0.479,0.0541,-0.1279,0.78,0.4779,0.2423,0.0,0.2798,176.0,109.0
BTCUSDT,1h,30,1,0.0075,1.407,0.151,0.7185,0.0756,-0.1646,0.78,0.5269,0.3778,0.0,0.0954,128.0,76.0
BTCUSDT,1h,30,1,0.01,1.407,0.151,0.9581,0.0946,-0.1921,0.78,0.5331,0.4507,0.0,0.0162,99.0,62.0
BTCUSDT,1h,30,1,0.02,1.407,0.151,1.9161,0.1549,-0.2563,0.78,0.5515,0.1609,0.2853,0.0022,68.0,43.0
XAUUSD,30m,100,10,0.005,1.394,3.573,0.4319,0.229,-0.0993,1.36,0.7834,0.0848,0.0,0.1319,71.0,40.0
XAUUSD,30m,100,10,0.0075,1.394,3.573,0.6479,0.3322,-0.1489,1.36,0.6389,0.2527,0.0,0.1083,42.0,22.0
XAUUSD,30m,100,10,0.01,1.394,3.573,0.8638,0.4298,-0.1985,1.36,0.5432,0.2559,0.1052,0.0958,22.0,13.0
XAUUSD,30m,100,10,0.02,1.394,3.573,1.7276,0.7794,-0.3967,1.36,0.3548,0.5432,0.0848,0.0173,10.0,8.0
XAUUSD,5m,30,1,0.005,1.375,0.195,0.135,0.0767,-0.0895,0.67,0.3185,0.4825,0.0,0.199,100.0,47.0
XAUUSD,5m,30,1,0.0075,1.375,0.195,0.2025,0.1136,-0.134,0.67,0.2803,0.5382,0.0,0.1815,55.0,38.0
XAUUSD,5m,30,1,0.01,1.375,0.195,0.2699,0.1496,-0.1784,0.67,0.4172,0.0892,0.4204,0.0732,48.0,32.0
XAUUSD,5m,30,1,0.02,1.375,0.195,0.5399,0.2865,-0.3545,0.67,0.2596,0.0462,0.6306,0.0637,42.0,30.0
EURUSD,1h,100,1,0.005,1.361,0.287,0.2421,0.1333,-0.089,0.86,0.5654,0.0961,0.0,0.3386,143.0,65.5
EURUSD,1h,100,1,0.0075,1.361,0.287,0.3632,0.1958,-0.1203,0.86,0.1906,0.6189,0.0551,0.1354,24.0,20.0
EURUSD,1h,100,1,0.01,1.361,0.287,0.4843,0.2559,-0.1459,0.86,0.5811,0.2898,0.0441,0.085,81.0,23.0
EURUSD,1h,100,1,0.02,1.361,0.287,0.9686,0.4782,-0.2151,0.86,0.211,0.1071,0.6205,0.0614,20.0,17.0
XAUUSD,4h,100,1,0.005,1.333,0.365,0.1735,0.097,-0.0421,0.91,0.7358,0.0,0.0,0.2642,215.0,118.0
XAUUSD,4h,100,1,0.0075,1.333,0.365,0.2603,0.1433,-0.0625,0.91,0.9335,0.0,0.0,0.0665,167.0,95.25
XAUUSD,4h,100,1,0.01,1.333,0.365,0.3471,0.1882,-0.0825,0.91,0.9177,0.0332,0.0,0.0491,125.0,70.0
XAUUSD,4h,100,1,0.02,1.333,0.365,0.6941,0.3568,-0.1587,0.91,0.6139,0.1788,0.2041,0.0032,50.5,25.75
XAUUSD,30m,100,1,0.005,1.297,0.375,0.3696,0.2007,-0.1566,0.72,0.5254,0.3508,0.0635,0.0603,32.0,22.0
XAUUSD,30m,100,1,0.0075,1.297,0.375,0.5543,0.2924,-0.2022,0.72,0.4619,0.4317,0.0603,0.046,26.0,18.0
XAUUSD,30m,100,1,0.01,1.297,0.375,0.7391,0.3797,-0.2526,0.72,0.3492,0.5381,0.0714,0.0413,23.0,16.0
XAUUSD,30m,100,1,0.02,1.297,0.375,1.4782,0.6952,-0.4036,0.72,0.1603,0.2444,0.5952,0.0,16.0,12.0
XAUUSD,15m,30,10,0.005,1.289,2.187,0.1493,0.0836,-0.0566,0.89,0.489,0.0,0.0,0.511,184.5,97.25
XAUUSD,15m,30,10,0.0075,1.289,2.187,0.2239,0.1237,-0.0813,0.89,0.6041,0.1498,0.0,0.2461,108.0,65.5
XAUUSD,15m,30,10,0.01,1.289,2.187,0.2986,0.1627,-0.104,0.89,0.4117,0.0,0.4085,0.1798,54.0,32.0
XAUUSD,15m,30,10,0.02,1.289,2.187,0.5971,0.3102,-0.1789,0.89,0.3912,0.3091,0.2476,0.0521,21.5,12.0
USDJPY,15m,30,10,0.005,1.288,1.491,0.0998,0.0562,-0.033,0.82,0.1052,0.0,0.0,0.8948,160.0,143.5
USDJPY,15m,30,10,0.0075,1.288,1.491,0.1497,0.0834,-0.0492,0.82,0.2009,0.0,0.0,0.7991,110.0,91.75
USDJPY,15m,30,10,0.01,1.288,1.491,0.1996,0.1102,-0.0652,0.82,0.292,0.0,0.0,0.708,95.5,50.25
USDJPY,15m,30,10,0.02,1.288,1.491,0.3992,0.2128,-0.1275,0.82,0.4851,0.4521,0.0,0.0628,53.0,28.0
XAUUSD,4h,100,10,0.005,1.283,3.198,0.1125,0.0631,-0.0272,1.11,0.4035,0.0,0.0,0.5965,330.0,239.0
XAUUSD,4h,100,10,0.0075,1.283,3.198,0.1688,0.0937,-0.0397,1.11,0.7598,0.0,0.0,0.2402,202.5,148.75
XAUUSD,4h,100,10,0.01,1.283,3.198,0.225,0.1236,-0.0515,1.11,0.8932,0.0,0.0,0.1068,149.0,92.0
XAUUSD,4h,100,10,0.02,1.283,3.198,0.45,0.2379,-0.0928,1.11,0.6436,0.3391,0.0,0.0173,46.0,29.0
EURUSD,1h,30,10,0.005,1.28,1.239,0.0708,0.0408,-0.0264,0.95,0.0,0.0,0.0,1.0,,
EURUSD,1h,30,10,0.0075,1.28,1.239,0.1062,0.0608,-0.0382,0.95,0.1072,0.0,0.0,0.8928,359.0,139.5
EURUSD,1h,30,10,0.01,1.28,1.239,0.1416,0.0806,-0.049,0.95,0.224,0.0,0.0,0.776,201.5,139.75
EURUSD,1h,30,10,0.02,1.28,1.239,0.2831,0.1571,-0.0858,0.95,0.304,0.3408,0.1616,0.1936,58.5,44.0
XAUUSD,1h,100,10,0.005,1.247,3.232,0.1626,0.0908,-0.0502,0.98,0.7744,0.0,0.0,0.2256,158.0,101.0
XAUUSD,1h,100,10,0.0075,1.247,3.232,0.2439,0.1342,-0.0726,0.98,0.8707,0.0,0.0,0.1293,123.5,58.0
XAUUSD,1h,100,10,0.01,1.247,3.232,0.3252,0.1764,-0.0953,0.98,0.4117,0.4968,0.0,0.0915,47.0,25.0
XAUUSD,1h,100,10,0.02,1.247,3.232,0.6503,0.3352,-0.1795,0.98,0.4085,0.541,0.0442,0.0063,19.0,11.0
EURUSD,4h,100,10,0.005,1.239,2.899,0.0627,0.0359,-0.0283,0.72,0.0016,0.0,0.0,0.9984,299.0,299.0
EURUSD,4h,100,10,0.0075,1.239,2.899,0.094,0.0535,-0.0423,0.72,0.1886,0.0,0.0,0.8114,169.0,38.5
EURUSD,4h,100,10,0.01,1.239,2.899,0.1254,0.0709,-0.0564,0.72,0.2647,0.0,0.0,0.7353,84.0,42.5
EURUSD,4h,100,10,0.02,1.239,2.899,0.2508,0.1385,-0.1125,0.72,0.3772,0.3074,0.0,0.3154,68.0,28.0
XAUUSD,15m,100,10,0.005,1.237,4.194,0.2428,0.1334,-0.0857,1.01,0.7984,0.085,0.0,0.1165,102.0,76.0
XAUUSD,15m,100,10,0.0075,1.237,4.194,0.3642,0.1959,-0.1231,1.01,0.8,0.0976,0.0,0.1024,64.0,41.75
XAUUSD,15m,100,10,0.01,1.237,4.194,0.4856,0.2561,-0.1574,1.01,0.7039,0.2378,0.0,0.0583,43.0,27.0
XAUUSD,15m,100,10,0.02,1.237,4.194,0.9713,0.4784,-0.2705,1.01,0.3654,0.4835,0.137,0.0142,15.0,9.0
XAUUSD,30m,30,10,0.005,1.232,1.256,0.0602,0.0348,-0.0452,0.59,0.0096,0.0,0.0,0.9904,279.5,278.25
XAUUSD,30m,30,10,0.0075,1.232,1.256,0.0904,0.0519,-0.0657,0.59,0.1616,0.0,0.0,0.8384,243.0,176.0
XAUUSD,30m,30,10,0.01,1.232,1.256,0.1205,0.0688,-0.0849,0.59,0.4128,0.3248,0.0,0.2624,140.5,74.25
XAUUSD,30m,30,10,0.02,1.232,1.256,0.2409,0.1347,-0.1511,0.59,0.6688,0.224,0.0608,0.0464,77.0,47.25
EURUSD,4h,100,1,0.005,1.218,0.234,0.0542,0.0311,-0.073,0.31,0.2206,0.4444,0.0,0.3349,70.0,55.0
EURUSD,4h,100,1,0.0075,1.218,0.234,0.0813,0.0464,-0.104,0.31,0.2317,0.4444,0.0,0.3238,68.5,51.25
EURUSD,4h,100,1,0.01,1.218,0.234,0.1084,0.0616,-0.1322,0.31,0.2508,0.4413,0.0,0.3079,66.0,45.0
EURUSD,4h,100,1,0.02,1.218,0.234,0.2167,0.1206,-0.2224,0.31,0.119,0.5746,0.0635,0.2429,68.0,41.0
EURUSD,30m,100,10,0.005,1.205,3.769,0.1654,0.0923,-0.0581,1.03,0.337,0.0,0.0,0.663,105.0,65.25
EURUSD,30m,100,10,0.0075,1.205,3.769,0.2481,0.1364,-0.0809,1.03,0.4236,0.4079,0.0,0.1685,53.0,34.0
EURUSD,30m,100,10,0.01,1.205,3.769,0.3308,0.1793,-0.1007,1.03,0.4819,0.4378,0.0,0.0803,47.0,22.0
EURUSD,30m,100,10,0.02,1.205,3.769,0.6616,0.3404,-0.1592,1.03,0.3039,0.6598,0.0,0.0362,13.0,8.0
