symbol,tf,quarter,floor,topn,train_pf,train_trades,n_eligible,test_trades,test_pf,test_pf_2x,test_total_r,test_tpd,test_win,anchor_hour,anchor_minute,mode,fill_mode,band_k,stop_mode,stop_k,target_mode,rr,max_hold_bars,min_rvol,min_atr_rank,max_atr_rank,warmup_bars,min_risk_bps,filter
GBPUSD,30m,2025-03-01,100,10,1.526,105,14590,441,0.617,0.461,-12.325,4.901,0.3311,-1,192,2,1,2.0,0,1.0,3,2.0,24,0.0,0.7,0.0,4,2.0,ATRrank>0.7
GBPUSD,30m,2025-06-01,30,1,3.314,43,17884,13,1.776,1.336,5.865,0.141,0.5385,0,0,2,1,2.5,0,1.0,0,0.0,0,2.5,0.0,0.0,4,2.0,rvol>2.5
GBPUSD,30m,2025-06-01,30,10,3.314,43,17884,168,1.231,0.946,3.1,1.827,0.375,0,0,2,1,2.5,0,1.0,0,0.0,0,2.5,0.0,0.0,4,2.0,rvol>2.5
GBPUSD,30m,2025-06-01,100,1,1.38,104,14761,26,1.286,1.009,5.932,0.283,0.3462,0,0,2,1,2.0,0,1.0,0,0.0,0,2.5,0.0,0.0,4,2.0,rvol>2.5
GBPUSD,30m,2025-06-01,100,10,1.38,104,14761,639,0.832,0.637,-9.882,6.947,0.2394,0,0,2,1,2.0,0,1.0,0,0.0,0,2.5,0.0,0.0,4,2.0,rvol>2.5
GBPUSD,30m,2025-09-01,30,1,4.125,42,17903,10,0.0,0.0,-11.86,0.11,0.0,0,0,2,1,2.5,0,1.0,0,0.0,0,2.5,0.0,0.0,4,2.0,rvol>2.5
GBPUSD,30m,2025-09-01,30,10,4.125,42,17903,131,0.211,0.162,-9.902,1.44,0.145,0,0,2,1,2.5,0,1.0,0,0.0,0,2.5,0.0,0.0,4,2.0,rvol>2.5
GBPUSD,30m,2025-09-01,100,1,1.386,172,14970,57,1.373,1.044,24.217,0.627,0.1404,0,0,2,1,2.5,0,1.0,0,0.0,0,0.0,0.0,0.5,4,2.0,ATRrank<0.5
GBPUSD,30m,2025-09-01,100,10,1.386,172,14970,369,0.961,0.769,-0.937,4.056,0.355,0,0,2,1,2.5,0,1.0,0,0.0,0,0.0,0.0,0.5,4,2.0,ATRrank<0.5
GBPUSD,30m,2025-12-01,30,1,2.339,46,17778,11,1.218,0.956,1.864,0.124,0.1818,0,0,2,1,2.5,0,1.0,0,0.0,0,2.5,0.0,0.0,4,2.0,rvol>2.5
GBPUSD,30m,2025-12-01,30,10,2.339,46,17778,117,0.919,0.723,-0.665,1.315,0.2222,0,0,2,1,2.5,0,1.0,0,0.0,0,2.5,0.0,0.0,4,2.0,rvol>2.5
GBPUSD,30m,2025-12-01,100,1,1.553,138,14825,30,0.414,0.318,-17.449,0.337,0.1667,0,0,2,1,2.5,0,1.0,0,0.0,0,1.5,0.0,0.0,4,2.0,rvol>1.5
GBPUSD,30m,2025-12-01,100,10,1.553,138,14825,444,0.531,0.419,-9.965,4.99,0.1982,0,0,2,1,2.5,0,1.0,0,0.0,0,1.5,0.0,0.0,4,2.0,rvol>1.5
GBPUSD,30m,2026-03-01,30,1,2.014,47,17787,9,3.688,3.031,12.848,0.1,0.5556,-1,192,2,1,2.5,0,0.5,0,0.0,24,0.0,0.0,0.5,4,2.0,ATRrank<0.5
GBPUSD,30m,2026-03-01,30,10,2.014,47,17787,91,1.519,1.27,2.836,1.011,0.3956,-1,192,2,1,2.5,0,0.5,0,0.0,24,0.0,0.0,0.5,4,2.0,ATRrank<0.5
GBPUSD,30m,2026-03-01,100,1,1.442,116,14607,29,0.138,0.09,-30.674,0.322,0.1034,8,0,2,1,2.5,0,0.5,0,0.0,24,1.5,0.0,0.0,4,2.0,rvol>1.5
GBPUSD,30m,2026-03-01,100,10,1.442,116,14607,427,0.922,0.743,-2.051,4.746,0.3044,8,0,2,1,2.5,0,0.5,0,0.0,24,1.5,0.0,0.0,4,2.0,rvol>1.5
BTCUSDT,4h,2019-01-01,30,1,4.113,46,6181,2,0.0,0.0,-0.325,0.022,0.0,0,0,1,1,1.5,1,2.0,2,0.0,3,0.0,0.5,0.0,2,10.0,ATRrank>0.5
BTCUSDT,4h,2019-01-01,30,10,4.113,46,6181,30,0.0,0.0,-0.586,0.334,0.0,0,0,1,1,1.5,1,2.0,2,0.0,3,0.0,0.5,0.0,2,10.0,ATRrank>0.5
BTCUSDT,4h,2019-01-01,100,1,1.454,104,2740,18,0.814,0.617,-0.608,0.2,0.5556,8,0,1,1,2.5,1,2.0,2,0.0,0,0.0,0.0,0.0,2,10.0,none
BTCUSDT,4h,2019-01-01,100,10,1.454,104,2740,380,0.6,0.403,-3.462,4.23,0.4947,8,0,1,1,2.5,1,2.0,2,0.0,0,0.0,0.0,0.0,2,10.0,none
BTCUSDT,4h,2019-04-01,30,1,2.999,35,5496,14,1.448,1.067,0.995,0.154,0.5714,0,0,4,1,2.0,1,1.0,3,1.0,0,1.5,0.0,0.0,2,10.0,rvol>1.5
BTCUSDT,4h,2019-04-01,30,10,2.999,35,5496,138,0.923,0.694,-0.359,1.519,0.5072,0,0,4,1,2.0,1,1.0,3,1.0,0,1.5,0.0,0.0,2,10.0,rvol>1.5
BTCUSDT,4h,2019-04-01,100,1,1.549,178,2875,44,0.791,0.713,-2.919,0.484,0.5682,-1,24,1,1,1.5,1,2.0,1,0.0,0,0.0,0.0,0.0,2,10.0,none
BTCUSDT,4h,2019-04-01,100,10,1.549,178,2875,272,0.825,0.696,-2.435,2.994,0.4375,-1,24,1,1,1.5,1,2.0,1,0.0,0,0.0,0.0,0.0,2,10.0,none
BTCUSDT,4h,2019-07-01,30,1,4.652,42,6630,26,0.53,0.441,-1.718,0.283,0.3846,0,0,4,1,2.0,1,2.0,3,1.0,0,0.0,0.5,0.0,2,10.0,ATRrank>0.5
BTCUSDT,4h,2019-07-01,30,10,4.652,42,6630,260,0.555,0.457,-1.503,2.831,0.4,0,0,4,1,2.0,1,2.0,3,1.0,0,0.0,0.5,0.0,2,10.0,ATRrank>0.5
BTCUSDT,4h,2019-07-01,100,1,1.391,100,2711,24,1.108,1.028,0.918,0.261,0.5833,-1,24,1,1,2.0,1,2.0,3,1.0,0,0.0,0.0,0.0,2,10.0,none
