symbol,tf,floor,topn,quarters,q_above_1,trades,pf,pf_2x,win,avg_r,total_r,tpd,max_dd_r,train_pf_med
AUDUSD,4h,100,1,7,3,278,0.749,0.634,0.4317,-0.0513,-14.27,0.442,-30.15,1.572
GBPUSD,30m,100,10,7,1,2473,0.749,0.592,0.366,-0.0161,-39.88,3.909,-40.92,1.561
USDJPY,1h,100,10,7,3,2517,0.747,0.585,0.3365,-0.0129,-32.39,3.954,-42.96,2.047
USDJPY,5m,30,10,7,2,959,0.747,0.625,0.3441,-0.0162,-15.57,1.534,-18.38,1.91
BTCUSDT,1h,100,10,30,6,10532,0.746,0.603,0.3438,-0.0135,-142.02,3.847,-145.68,1.595
EURUSD,5m,100,10,7,0,3670,0.744,0.565,0.2313,-0.0243,-89.28,5.757,-91.64,1.43
XAUUSD,5m,30,1,7,5,201,0.732,0.562,0.204,-0.2698,-54.23,0.319,-105.2,1.856
BTCUSDT,4h,100,10,30,3,8957,0.728,0.588,0.3998,-0.009,-80.41,3.276,-80.93,1.546
NZDUSD,5m,100,10,7,1,3360,0.728,0.538,0.2274,-0.0262,-88.2,5.276,-94.84,1.456
AUDUSD,15m,100,1,7,2,284,0.726,0.578,0.2852,-0.2026,-57.54,0.445,-65.93,1.568
EURUSD,4h,30,10,7,2,890,0.724,0.602,0.4506,-0.008,-7.11,1.409,-8.63,2.992
USDJPY,30m,30,10,7,2,1149,0.719,0.595,0.3133,-0.0197,-22.62,1.805,-27.15,2.282
NZDUSD,4h,100,10,7,1,2594,0.717,0.61,0.4029,-0.0104,-27.07,4.091,-29.64,1.576
NZDUSD,1h,100,10,7,0,2527,0.716,0.572,0.427,-0.0122,-30.76,3.975,-33.93,1.406
USDCHF,1h,100,1,7,1,370,0.709,0.528,0.4243,-0.1497,-55.38,0.583,-71.84,1.55
AUDUSD,5m,100,1,7,1,301,0.709,0.6,0.2458,-0.2382,-71.69,0.478,-115.91,1.478
XAGUSD,30m,30,10,7,2,1506,0.708,0.581,0.2058,-0.0265,-39.84,2.363,-43.72,3.861
XAUUSD,30m,30,10,7,2,1054,0.708,0.573,0.2676,-0.0228,-24.06,1.657,-27.34,2.582
GBPUSD,15m,100,1,7,2,313,0.708,0.548,0.262,-0.1835,-57.44,0.492,-65.15,1.453
NZDUSD,1h,100,1,7,4,215,0.707,0.577,0.4233,-0.14,-30.09,0.342,-42.09,1.406
NZDUSD,5m,100,1,7,2,313,0.707,0.512,0.2141,-0.2937,-91.94,0.496,-93.39,1.456
NZDUSD,30m,100,1,7,2,196,0.706,0.529,0.301,-0.2438,-47.78,0.317,-47.78,1.493
NZDUSD,5m,30,10,7,2,2564,0.704,0.515,0.2282,-0.0286,-73.4,4.046,-73.4,1.576
BTCUSDT,4h,100,1,30,9,737,0.698,0.531,0.3718,-0.1346,-99.18,0.273,-113.0,1.546
AUDUSD,4h,30,10,7,1,758,0.698,0.507,0.3509,-0.0148,-11.25,1.208,-13.39,2.713
USDCAD,4h,30,10,7,1,603,0.697,0.534,0.4013,-0.011,-6.62,0.962,-7.94,2.528
AUDUSD,4h,30,1,7,1,57,0.693,0.475,0.2456,-0.1862,-10.62,0.091,-17.72,2.713
EURUSD,30m,30,10,7,2,760,0.688,0.567,0.3408,-0.0189,-14.33,1.2,-18.89,2.02
USDCAD,15m,30,10,7,2,1284,0.686,0.519,0.2445,-0.0275,-35.26,2.022,-43.45,1.699
USDCAD,15m,100,10,7,0,3265,0.683,0.533,0.2564,-0.0231,-75.44,5.122,-78.78,1.253
USDCHF,5m,30,1,7,1,163,0.68,0.568,0.2699,-0.2554,-41.62,0.258,-69.97,1.808
USDJPY,4h,100,10,7,2,1931,0.679,0.536,0.3786,-0.0115,-22.2,3.036,-22.2,1.61
AUDUSD,30m,100,1,7,2,251,0.674,0.537,0.259,-0.2737,-68.7,0.396,-90.55,1.447
USDCHF,5m,100,1,7,1,268,0.673,0.517,0.1903,-0.3242,-86.89,0.426,-126.23,1.404
GBPUSD,15m,100,10,7,0,2974,0.667,0.515,0.2895,-0.0206,-61.27,4.664,-72.91,1.453
EURUSD,5m,30,10,7,0,2137,0.667,0.512,0.2387,-0.0304,-65.05,3.367,-65.17,1.709
USDJPY,1h,30,10,7,2,858,0.667,0.543,0.3543,-0.022,-18.85,1.358,-23.35,2.795
USDCHF,15m,100,1,7,3,267,0.666,0.548,0.2846,-0.1987,-53.04,0.431,-65.83,1.438
USDCHF,4h,100,10,7,2,1909,0.662,0.472,0.4311,-0.0073,-13.9,3.021,-16.23,1.621
USDCAD,15m,30,1,7,3,108,0.662,0.497,0.1944,-0.3274,-35.36,0.174,-49.79,1.699
