sym,feature,horizon,n,q1,q3,q5,spread,abs_spread,monotone,null_best,beats_null,years_same_sign,years,clears_taker1x,clears_taker2x,clears_mixed,clears_maker2x
BTCUSDT,dvolz,15m,568928,-0.25190639974908985,0.06613032829970635,0.4092613521815748,0.6611677519306647,0.6611677519306647,1.0,0.4033323154691155,True,5,6,False,False,False,False
BTCUSDT,dvolz,30m,568925,-0.5111860147626361,0.13421263201313227,0.8323124717460427,1.343498486508679,1.343498486508679,0.75,1.049147070061503,True,5,6,False,False,False,False
BTCUSDT,dvolz,1h,568919,-1.0714834179870254,0.23332871276185957,1.5564252205181726,2.6279086385051977,2.6279086385051977,1.0,1.3271621795593846,True,5,6,False,False,False,False
BTCUSDT,dvolz,2h,568907,-2.311802009758439,0.3247905607961571,2.6690383665475403,4.980840376305979,4.980840376305979,1.0,3.1999386420505536,True,5,6,False,False,False,False
BTCUSDT,dvolz,4h,568883,-4.603426507955179,0.5235180611224204,4.3162801014883865,8.919706609443566,8.919706609443566,1.0,4.41448307059551,True,5,6,False,False,False,True
BTCUSDT,ddvol_1h,15m,568916,0.20253450140675203,-0.12865843905473817,0.08776777256594492,-0.1147667288408071,0.1147667288408071,0.5,0.442929016521,False,4,6,False,False,False,False
BTCUSDT,ddvol_1h,30m,568913,0.33272975441654873,-0.17862028127480548,0.20477947366729435,-0.12795028074925438,0.12795028074925438,0.5,0.2744588148999848,False,3,6,False,False,False,False
BTCUSDT,ddvol_1h,1h,568907,0.23271965359609956,-0.2186581287725018,0.8041942076645947,0.5714745540684951,0.5714745540684951,0.75,0.9850486532234768,False,5,6,False,False,False,False
BTCUSDT,ddvol_1h,2h,568895,0.048642498842688356,-0.39573408185898773,1.8945368530666007,1.8458943542239123,1.8458943542239123,0.5,1.3791101645230475,True,5,6,False,False,False,False
BTCUSDT,ddvol_1h,4h,568871,1.2136906855794674,-1.092840426192646,2.5617366596089757,1.3480459740295083,1.3480459740295083,0.75,3.6841724887001233,False,4,6,False,False,False,False
BTCUSDT,ddvol_4h,15m,568880,0.10009867144076093,-0.13584144151449962,0.41646608501067833,0.3163674135699174,0.3163674135699174,0.75,0.3526435872617033,False,5,6,False,False,False,False
BTCUSDT,ddvol_4h,30m,568877,0.24170318127413323,-0.21286480382777365,0.6652371048525281,0.4235339235783948,0.4235339235783948,0.75,0.6051338918160986,False,5,6,False,False,False,False
BTCUSDT,ddvol_4h,1h,568871,0.5135421661205495,-0.16556436608313507,0.887258490286787,0.37371632416623757,0.37371632416623757,0.75,0.6957485499378877,False,4,6,False,False,False,False
BTCUSDT,ddvol_4h,2h,568859,1.8057896015655877,-0.40981768891219034,0.7364665186645422,-1.0693230829010454,1.0693230829010454,0.5,3.6226555845357407,False,3,6,False,False,False,False
BTCUSDT,ddvol_4h,4h,568835,3.6450033105722763,-2.7392684628101187,0.9542943253884468,-2.6907089851838295,2.6907089851838295,0.75,5.182856418873503,False,4,6,False,False,False,False
