filter,symbol,configs,median_pf_base,median_pf_filtered,median_lift,share_improved,trades_kept,best_pf,median_tpd
opening-range rvol > 2.0,EURUSD,1080,0.741,0.745,0.0085,0.542,0.457,1.347,0.291
range < 1.0x ATR,EURUSD,450,0.663,0.661,0.0075,0.531,0.276,1.393,0.195
ATR rank > 0.5,EURUSD,1440,0.702,0.724,0.007,0.619,0.851,1.46,0.54
against 200-EMA,EURUSD,1440,0.702,0.708,0.006,0.539,0.701,1.052,0.477
entry window 4 bars,EURUSD,1440,0.702,0.706,0.004,0.584,0.813,1.169,0.566
entry window 8 bars,EURUSD,1440,0.702,0.707,0.002,0.565,0.939,1.16,0.647
range < 1.5x ATR,EURUSD,900,0.688,0.673,0.002,0.507,0.449,1.417,0.307
entry window 16 bars,EURUSD,1440,0.702,0.701,0.0,0.317,0.996,1.128,0.681
range > 0.5x ATR,EURUSD,1440,0.702,0.702,0.0,0.152,1.0,1.073,0.699
range > 1.0x ATR,EURUSD,1440,0.702,0.708,0.0,0.293,0.987,1.075,0.648
breakeven at 1.5R,EURUSD,1440,0.702,0.685,-0.002,0.13,1.0,1.062,0.7
with 5-day trend,EURUSD,1440,0.702,0.7,-0.006,0.464,0.728,1.056,0.508
against 5-day trend,EURUSD,1440,0.702,0.687,-0.01,0.431,0.734,1.049,0.512
"retest, 4 bars",EURUSD,1440,0.702,0.674,-0.013,0.438,0.854,1.031,0.589
"retest, 8 bars",EURUSD,1440,0.702,0.675,-0.015,0.426,0.861,1.047,0.592
"retest, 16 bars",EURUSD,1440,0.702,0.673,-0.015,0.43,0.863,1.038,0.594
breakeven at 1.0R,EURUSD,1440,0.702,0.67,-0.016,0.075,1.0,1.046,0.7
with 200-EMA,EURUSD,1440,0.702,0.69,-0.016,0.374,0.835,1.088,0.549
ATR rank < 0.5,EURUSD,810,0.647,0.613,-0.0275,0.316,0.477,1.509,0.338
with 20-EMA,EURUSD,1398,0.702,0.602,-0.031,0.15,0.997,0.971,0.663
ATR rank < 0.3,EURUSD,450,0.589,0.562,-0.048,0.351,0.431,1.735,0.283
breakeven at 0.5R,EURUSD,1440,0.702,0.603,-0.084,0.056,1.0,1.071,0.7
against 20-EMA,GBPUSD,1377,0.711,0.81,0.062,0.808,0.932,1.572,0.605
breakout-bar rvol > 2.0,GBPUSD,1440,0.708,0.731,0.027,0.595,0.81,1.147,0.54
opening-range rvol > 2.0,GBPUSD,1215,0.726,0.74,0.023,0.574,0.385,1.726,0.216
ATR rank > 0.7,GBPUSD,1140,0.735,0.767,0.023,0.668,0.699,1.454,0.464
breakout-bar rvol > 1.5,GBPUSD,1440,0.708,0.719,0.014,0.574,0.926,1.082,0.619
opening-range rvol > 1.5,GBPUSD,1440,0.708,0.723,0.013,0.585,0.479,1.581,0.305
breakout-bar rvol > 1.2,GBPUSD,1440,0.708,0.717,0.012,0.599,0.965,1.059,0.649
ATR rank > 0.5,GBPUSD,1440,0.708,0.716,0.007,0.641,0.863,2.136,0.528
range < 1.0x ATR,GBPUSD,450,0.682,0.679,0.007,0.533,0.264,1.33,0.179
opening-range rvol > 1.2,GBPUSD,1440,0.708,0.721,0.005,0.576,0.683,1.466,0.419
entry window 4 bars,GBPUSD,1440,0.708,0.713,0.002,0.531,0.827,1.202,0.551
with 5-day trend,GBPUSD,1440,0.708,0.72,0.001,0.501,0.74,1.156,0.497
entry window 8 bars,GBPUSD,1440,0.708,0.708,0.0,0.497,0.939,1.17,0.626
entry window 16 bars,GBPUSD,1440,0.708,0.708,0.0,0.308,0.996,1.162,0.658
range > 0.5x ATR,GBPUSD,1440,0.708,0.708,0.0,0.131,1.0,1.169,0.673
range > 1.0x ATR,GBPUSD,1440,0.708,0.708,0.0,0.378,0.987,1.165,0.633
breakeven at 1.5R,GBPUSD,1440,0.708,0.696,-0.001,0.14,1.0,1.214,0.676
range < 1.5x ATR,GBPUSD,900,0.705,0.685,-0.002,0.482,0.456,1.892,0.305
breakeven at 1.0R,GBPUSD,1440,0.708,0.677,-0.01,0.075,1.0,1.188,0.676
with 200-EMA,GBPUSD,1440,0.708,0.706,-0.01,0.438,0.83,1.237,0.539
against 200-EMA,GBPUSD,1440,0.708,0.698,-0.01,0.435,0.712,1.173,0.468
ATR rank < 0.5,GBPUSD,720,0.652,0.636,-0.0155,0.369,0.629,1.321,0.381
against 5-day trend,GBPUSD,1440,0.708,0.688,-0.02,0.356,0.744,1.196,0.5
with 20-EMA,GBPUSD,1398,0.712,0.623,-0.021,0.17,0.996,0.978,0.651
"retest, 8 bars",GBPUSD,1440,0.708,0.687,-0.028,0.358,0.868,1.058,0.579
"retest, 16 bars",GBPUSD,1440,0.708,0.688,-0.028,0.36,0.871,1.058,0.581
"retest, 4 bars",GBPUSD,1440,0.708,0.685,-0.03,0.36,0.859,1.056,0.571
ATR rank < 0.3,GBPUSD,450,0.617,0.561,-0.056,0.236,0.408,1.452,0.266
breakeven at 0.5R,GBPUSD,1440,0.708,0.62,-0.073,0.064,1.0,1.055,0.676
breakout-bar rvol > 2.0,XAUUSD,1440,0.76,0.809,0.083,0.604,0.817,1.537,0.543
breakout-bar rvol > 1.5,XAUUSD,1440,0.76,0.785,0.051,0.61,0.917,1.292,0.624
with 5-day trend,XAUUSD,1440,0.76,0.804,0.036,0.72,0.723,1.373,0.504
ATR rank > 0.7,XAUUSD,1440,0.76,0.794,0.0355,0.716,0.461,1.516,0.308
breakout-bar rvol > 1.2,XAUUSD,1440,0.76,0.778,0.028,0.634,0.956,1.286,0.663
with 200-EMA,XAUUSD,1440,0.76,0.781,0.023,0.664,0.848,1.353,0.548
against 20-EMA,XAUUSD,1377,0.762,0.805,0.02,0.692,0.907,1.407,0.598
ATR rank > 0.5,XAUUSD,1440,0.76,0.78,0.018,0.731,0.752,1.319,0.469
opening-range rvol > 1.5,XAUUSD,1440,0.76,0.776,0.017,0.629,0.413,2.206,0.246
opening-range rvol > 1.2,XAUUSD,1440,0.76,0.784,0.016,0.66,0.593,1.822,0.376
opening-range rvol > 2.0,XAUUSD,1080,0.769,0.786,0.013,0.569,0.506,1.762,0.317
range < 1.0x ATR,XAUUSD,360,0.73,0.726,0.0055,0.528,0.286,1.166,0.199
range < 1.5x ATR,XAUUSD,990,0.753,0.733,0.004,0.506,0.418,1.404,0.294
entry window 4 bars,XAUUSD,1440,0.76,0.754,0.0,0.485,0.819,1.313,0.563
entry window 8 bars,XAUUSD,1440,0.76,0.759,0.0,0.472,0.937,1.276,0.627
