dir_mode,entry_mode,stop_mode,stop_atr_mult,rr,buffer_bps,one_trade,min_or_atr,max_or_atr,trend_mode,fade,min_rvol,use_datr,min_risk_bps,hour,or_bars,hold_bars,trades,pf,win_rate,avg_r,expectancy_r,trades_per_day,trades_per_week,avg_hold_h,max_dd,max_dd_r,sharpe,total_r,days_to_target,days_to_breach,p_target_first,long_share,pct_stop,pct_target,pct_time,label,cost_mult
0,0,2,2.0,1.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,16,970,0.835,0.468,-0.073,-0.073,0.997,6.98,2.06,-0.8041,-80.41,-1.596,-70.79,401.9,86.4,0.177,0.476,0.395,0.318,0.288,OOS_cost0x,0.0
0,0,2,2.0,1.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,16,970,1.197,0.532,0.073,0.073,0.997,6.98,2.06,-0.1161,-11.61,1.596,70.79,86.4,401.9,0.823,0.524,0.318,0.395,0.288,OOS_cost0x,0.0
0,0,2,2.0,1.5,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,16,970,0.828,0.4289,-0.0815,-0.0815,0.997,6.98,2.38,-0.9031,-90.31,-1.606,-79.07,298.1,74.1,0.199,0.476,0.421,0.182,0.397,OOS_cost0x,0.0
0,0,2,2.0,1.5,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,16,970,1.186,0.4856,0.0744,0.0744,0.997,6.98,2.48,-0.1853,-18.53,1.436,72.15,76.1,257.8,0.7721,0.524,0.338,0.225,0.437,OOS_cost0x,0.0
0,0,2,2.0,2.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,16,970,0.846,0.4206,-0.074,-0.074,0.997,6.98,2.54,-0.8609,-86.09,-1.37,-71.77,223.3,73.0,0.2465,0.476,0.425,0.115,0.46,OOS_cost0x,0.0
0,0,2,2.0,2.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,16,970,1.212,0.4773,0.0859,0.0859,0.997,6.98,2.66,-0.1871,-18.71,1.553,83.3,66.4,228.3,0.7748,0.524,0.341,0.135,0.524,OOS_cost0x,0.0
0,0,2,2.0,3.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,16,970,0.861,0.4124,-0.0677,-0.0677,0.997,6.98,2.67,-0.7781,-77.81,-1.165,-65.69,168.1,69.5,0.2927,0.476,0.43,0.054,0.516,OOS_cost0x,0.0
0,0,2,2.0,3.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,16,970,1.201,0.4722,0.0825,0.0825,0.997,6.98,2.83,-0.2967,-29.67,1.41,80.06,63.6,183.7,0.7428,0.524,0.345,0.051,0.604,OOS_cost0x,0.0
0,1,0,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,16,970,0.789,0.3144,-0.1293,-0.1293,0.997,6.98,1.89,-1.2918,-129.18,-1.553,-125.45,79.0,34.8,0.3056,0.468,0.58,0.0,0.42,OOS_cost0x,0.0
0,1,0,0.0,1.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,16,970,0.795,0.4371,-0.1042,-0.1042,0.997,6.98,1.12,-1.0428,-104.28,-2.121,-101.03,439.5,65.6,0.1299,0.468,0.48,0.385,0.135,OOS_cost0x,0.0
0,1,0,0.0,1.5,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,16,970,0.764,0.3711,-0.1332,-0.1332,0.997,6.98,1.42,-1.3256,-132.56,-2.392,-129.18,339.1,51.2,0.1312,0.468,0.534,0.241,0.225,OOS_cost0x,0.0
0,1,0,0.0,2.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,16,970,0.75,0.3381,-0.1481,-0.1481,0.997,6.98,1.58,-1.4772,-147.72,-2.466,-143.69,276.3,45.3,0.1409,0.468,0.559,0.16,0.281,OOS_cost0x,0.0
0,1,0,0.0,3.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,16,970,0.752,0.3237,-0.1502,-0.1502,0.997,6.98,1.75,-1.5119,-151.19,-2.298,-145.7,197.7,42.1,0.1755,0.468,0.572,0.075,0.353,OOS_cost0x,0.0
