dir_mode,entry_mode,stop_mode,stop_atr_mult,rr,buffer_bps,one_trade,min_or_atr,max_or_atr,trend_mode,fade,min_rvol,use_datr,min_risk_bps,hour,or_bars,hold_bars,trades,pf,win_rate,avg_r,expectancy_r,trades_per_day,trades_per_week,avg_hold_h,max_dd,max_dd_r,sharpe,total_r,days_to_target,days_to_breach,p_target_first,long_share,pct_stop,pct_target,pct_time,label,window,cost_mult
0,0,2,0.1,10.0,0.0,1,0.0,0.0,0,0,3.0,1,10.0,0,1,96,104,0.608,0.0673,-0.366,-0.366,0.047,0.33,2.29,-0.4806,-48.06,-0.618,-38.06,700.9,273.7,0.2808,0.577,0.933,0.048,0.019,IS_cost0x,IS,0.0
0,0,2,0.1,10.0,0.0,1,0.0,0.0,1,0,3.0,1,10.0,0,1,96,99,0.733,0.101,-0.2398,-0.2398,0.045,0.32,2.3,-0.31,-31.0,-0.386,-23.74,574.7,319.5,0.3573,0.535,0.899,0.051,0.051,IS_cost0x,IS,0.0
0,2,2,0.1,10.0,0.0,1,0.0,0.0,0,0,3.0,1,10.0,0,1,96,104,0.926,0.1058,-0.0663,-0.0663,0.047,0.33,3.39,-0.3648,-36.48,-0.095,-6.9,320.7,283.9,0.4696,0.558,0.894,0.077,0.029,IS_cost0x,IS,0.0
0,2,2,0.1,10.0,0.0,1,0.0,0.0,1,0,3.0,1,10.0,0,1,96,63,0.915,0.0952,-0.0769,-0.0769,0.029,0.2,3.45,-0.2384,-23.84,-0.087,-4.84,490.9,427.7,0.4656,0.54,0.905,0.079,0.016,IS_cost0x,IS,0.0
0,0,2,0.2,0.0,0.0,1,0.0,0.0,0,0,3.0,1,10.0,0,1,96,104,0.926,0.2019,-0.0575,-0.0575,0.047,0.33,8.15,-0.2416,-24.16,-0.114,-5.98,640.4,523.2,0.4496,0.577,0.769,0.0,0.231,IS_cost0x,IS,0.0
0,0,2,0.2,0.0,0.0,1,0.0,0.0,1,0,3.0,1,10.0,0,1,96,99,1.478,0.2323,0.3519,0.3519,0.045,0.32,8.27,-0.1763,-17.63,0.451,34.84,206.3,356.1,0.6332,0.535,0.727,0.0,0.273,IS_cost0x,IS,0.0
0,2,2,0.2,0.0,0.0,1,0.0,0.0,0,0,3.0,1,10.0,0,1,96,104,1.035,0.2019,0.0277,0.0277,0.047,0.33,7.69,-0.2503,-25.03,0.046,2.88,400.1,429.0,0.5174,0.558,0.788,0.0,0.212,IS_cost0x,IS,0.0
0,2,2,0.2,0.0,0.0,1,0.0,0.0,1,0,3.0,1,10.0,0,1,96,63,1.251,0.2063,0.1951,0.1951,0.029,0.2,7.97,-0.1367,-13.67,0.232,12.29,417.8,613.8,0.595,0.54,0.778,0.0,0.222,IS_cost0x,IS,0.0
0,0,2,0.2,3.0,0.0,1,0.0,0.0,0,0,3.0,1,10.0,0,1,96,104,0.973,0.2692,-0.0194,-0.0194,0.047,0.33,5.7,-0.143,-14.3,-0.05,-2.02,1022.6,912.3,0.4715,0.577,0.712,0.212,0.077,IS_cost0x,IS,0.0
0,0,2,0.2,3.0,0.0,1,0.0,0.0,1,0,3.0,1,10.0,0,1,96,99,1.282,0.3131,0.1892,0.1892,0.045,0.32,4.98,-0.11,-11.0,0.436,18.73,559.8,1448.3,0.7212,0.535,0.667,0.273,0.061,IS_cost0x,IS,0.0
0,2,2,0.2,3.0,0.0,1,0.0,0.0,0,0,3.0,1,10.0,0,1,96,104,0.781,0.2308,-0.1661,-0.1661,0.047,0.33,5.18,-0.2027,-20.27,-0.446,-17.27,1921.5,653.1,0.2537,0.558,0.76,0.183,0.058,IS_cost0x,IS,0.0
0,2,2,0.2,3.0,0.0,1,0.0,0.0,1,0,3.0,1,10.0,0,1,96,63,0.981,0.254,-0.014,-0.014,0.029,0.2,4.5,-0.07,-7.0,-0.028,-0.88,1477.2,1366.6,0.4805,0.54,0.73,0.238,0.032,IS_cost0x,IS,0.0
0,0,2,0.2,5.0,0.0,1,0.0,0.0,0,0,3.0,1,10.0,0,1,96,104,0.988,0.2212,-0.0091,-0.0091,0.047,0.33,6.8,-0.1941,-19.41,-0.019,-0.94,657.5,634.5,0.4911,0.577,0.75,0.115,0.135,IS_cost0x,IS,0.0
0,0,2,0.2,5.0,0.0,1,0.0,0.0,1,0,3.0,1,10.0,0,1,96,99,1.202,0.2525,0.1449,0.1449,0.045,0.32,6.54,-0.1463,-14.63,0.282,14.34,481.6,808.4,0.6267,0.535,0.707,0.131,0.162,IS_cost0x,IS,0.0
0,2,2,0.2,5.0,0.0,1,0.0,0.0,0,0,3.0,1,10.0,0,1,96,104,0.964,0.2115,-0.0277,-0.0277,0.047,0.33,6.38,-0.1696,-16.96,-0.057,-2.88,653.2,588.4,0.4739,0.558,0.779,0.135,0.087,IS_cost0x,IS,0.0
0,2,2,0.2,5.0,0.0,1,0.0,0.0,1,0,3.0,1,10.0,0,1,96,63,1.199,0.2222,0.1515,0.1515,0.029,0.2,6.12,-0.0992,-9.92,0.225,9.54,630.0,1006.1,0.615,0.54,0.762,0.175,0.063,IS_cost0x,IS,0.0
0,0,2,0.2,10.0,0.0,1,0.0,0.0,0,0,3.0,1,10.0,0,1,96,104,1.091,0.2019,0.0704,0.0704,0.047,0.33,7.59,-0.2041,-20.41,0.116,7.33,371.3,441.5,0.5432,0.577,0.769,0.029,0.202,IS_cost0x,IS,0.0
0,0,2,0.2,10.0,0.0,1,0.0,0.0,1,0,3.0,1,10.0,0,1,96,99,1.506,0.2323,0.3725,0.3725,0.045,0.32,7.54,-0.1763,-17.63,0.505,36.87,220.7,421.3,0.6563,0.535,0.727,0.061,0.212,IS_cost0x,IS,0.0
0,2,2,0.2,10.0,0.0,1,0.0,0.0,0,0,3.0,1,10.0,0,1,96,104,1.114,0.2019,0.0902,0.0902,0.047,0.33,7.19,-0.2503,-25.03,0.144,9.38,339.3,416.9,0.5513,0.558,0.788,0.038,0.173,IS_cost0x,IS,0.0
0,2,2,0.2,10.0,0.0,1,0.0,0.0,1,0,3.0,1,10.0,0,1,96,63,1.383,0.2063,0.2983,0.2983,0.029,0.2,7.14,-0.1367,-13.67,0.333,18.79,346.5,582.2,0.6269,0.54,0.778,0.063,0.159,IS_cost0x,IS,0.0
0,0,2,0.05,0.0,0.0,1,0.0,0.0,0,0,0.0,1,10.0,0,2,96,2172,0.688,0.0483,-0.2973,-0.2973,0.991,6.94,2.51,-7.1745,-717.45,-1.332,-645.73,8.2,6.3,0.4344,0.489,0.952,0.0,0.048,IS_cost0x,IS,0.0
0,0,2,0.05,0.0,0.0,1,0.0,0.0,1,0,0.0,1,10.0,0,2,96,2140,0.851,0.0542,-0.1406,-0.1406,0.977,6.84,2.33,-3.6848,-368.48,-0.548,-300.96,5.9,5.3,0.476,0.513,0.946,0.0,0.054,IS_cost0x,IS,0.0
0,2,2,0.05,0.0,0.0,1,0.0,0.0,0,0,0.0,1,10.0,0,2,96,2173,1.116,0.0736,0.1071,0.1071,0.992,6.94,3.68,-1.6421,-164.21,0.402,232.64,4.9,5.2,0.5167,0.51,0.926,0.0,0.074,IS_cost0x,IS,0.0
0,2,2,0.05,0.0,0.0,1,0.0,0.0,1,0,0.0,1,10.0,0,2,96,1159,1.21,0.0647,0.1963,0.1963,0.529,3.7,3.4,-1.2093,-120.93,0.468,227.55,6.8,7.4,0.523,0.539,0.935,0.0,0.065,IS_cost0x,IS,0.0
0,0,2,0.05,3.0,0.0,1,0.0,0.0,0,0,0.0,1,10.0,0,2,96,2172,0.544,0.1538,-0.3859,-0.3859,0.991,6.94,0.87,-8.5208,-852.08,-5.089,-838.08,386.1,19.8,0.0489,0.489,0.846,0.153,0.0,IS_cost0x,IS,0.0
