hour,or_bars,hold_bars,entry_mode,stop_mode,stop_atr_mult,rr,fade,symbol,pf,trades,win_rate,avg_r,trades_per_day,max_dd,days_to_target
0,1,8,1,2,1.0,2.0,1,EURUSD,0.475,684,0.3348,-0.445,0.625,-3.089,2211.9
0,1,8,1,2,1.0,3.0,0,EURUSD,0.43,684,0.2982,-0.5158,0.625,-3.529,1896.8
0,1,8,1,2,1.0,3.0,1,EURUSD,0.485,684,0.307,-0.4507,0.625,-3.1774,1162.6
0,1,8,1,2,2.0,0.0,0,EURUSD,0.488,748,0.3797,-0.2645,0.683,-1.9791,6033.8
0,1,8,1,2,2.0,0.0,1,EURUSD,0.507,748,0.361,-0.2573,0.683,-1.9339,4836.2
0,1,8,1,2,2.0,1.0,0,EURUSD,0.51,748,0.4398,-0.2332,0.683,-1.7494,14881.4
0,1,8,1,2,2.0,1.0,1,EURUSD,0.509,748,0.4144,-0.2378,0.683,-1.7872,16151.6
0,1,8,1,2,2.0,1.5,0,EURUSD,0.479,748,0.3904,-0.2659,0.683,-1.9893,12304.1
0,1,8,1,2,2.0,1.5,1,EURUSD,0.527,748,0.377,-0.24,0.683,-1.8271,7225.5
0,1,8,1,2,2.0,2.0,0,EURUSD,0.497,748,0.3837,-0.2589,0.683,-1.937,6921.7
0,1,8,1,2,2.0,2.0,1,EURUSD,0.506,748,0.365,-0.2559,0.683,-1.9232,7666.1
0,1,8,1,2,2.0,3.0,0,EURUSD,0.484,748,0.3797,-0.2668,0.683,-1.9963,7035.5
0,1,8,1,2,2.0,3.0,1,EURUSD,0.514,748,0.3636,-0.2524,0.683,-1.9067,5317.0
0,1,16,0,0,0.0,0.0,0,EURUSD,0.557,778,0.2918,-0.4018,0.711,-3.1692,291.7
0,1,16,0,0,0.0,1.0,0,EURUSD,0.444,778,0.491,-0.3698,0.711,-2.8823,10418.0
0,1,16,0,0,0.0,1.5,0,EURUSD,0.515,778,0.401,-0.3788,0.711,-2.9527,2124.0
0,1,16,0,0,0.0,2.0,0,EURUSD,0.563,778,0.3599,-0.3631,0.711,-2.8424,818.9
0,1,16,0,0,0.0,3.0,0,EURUSD,0.598,778,0.3162,-0.3539,0.711,-2.8002,344.2
0,1,16,0,1,0.0,0.0,0,EURUSD,0.352,777,0.2059,-0.7367,0.71,-5.771,1298.3
