dir_mode,entry_mode,stop_mode,stop_atr_mult,rr,buffer_bps,one_trade,min_or_atr,max_or_atr,trend_mode,fade,min_rvol,use_datr,min_risk_bps,min_break_rvol,max_entry_bars,be_at_r,min_atr_rank,max_atr_rank,dtrend_mode,fast_trend_mode,retest_bars,hour,minute,or_bars,hold_bars,trades,pf,win_rate,avg_r,expectancy_r,trades_per_day,trades_per_week,avg_hold_h,max_dd,max_dd_r,sharpe,total_r,days_to_target,days_to_breach,p_target_first,long_share,pct_stop,pct_target,pct_time,label,symbol,anchor,anchor_utc
0,0,2,2.0,2.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,16,1089,0.506,0.3627,-0.285,-0.285,0.994,6.96,2.75,-3.1389,-313.89,-5.511,-310.38,3048.8,27.9,0.0091,0.459,0.343,0.1,0.556,,BTCUSDT,Sydney open,21:00
0,1,0,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,16,1081,0.434,0.2683,-0.5088,-0.5088,0.987,6.91,2.02,-5.5003,-550.03,-6.099,-550.03,391.8,15.3,0.0376,0.537,0.529,0.0,0.471,,BTCUSDT,Sydney open,21:00
0,1,0,0.0,1.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,16,1081,0.333,0.4209,-0.4609,-0.4609,0.987,6.91,1.19,-4.9858,-498.58,-8.644,-498.26,23298.2,17.6,0.0008,0.537,0.42,0.419,0.161,,BTCUSDT,Sydney open,21:00
0,1,0,0.0,2.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,16,1081,0.397,0.3182,-0.5051,-0.5051,0.987,6.91,1.68,-5.46,-546.0,-7.806,-546.0,3365.6,16.0,0.0047,0.537,0.499,0.182,0.319,,BTCUSDT,Sydney open,21:00
0,1,2,1.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,16,1052,0.463,0.2567,-0.5348,-0.5348,0.96,6.72,1.81,-5.6258,-562.58,-5.378,-562.58,167.6,14.2,0.0783,0.534,0.612,0.0,0.388,,BTCUSDT,Sydney open,21:00
0,1,2,1.0,0.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,16,1052,0.576,0.3099,-0.391,-0.391,0.96,6.72,1.93,-4.1769,-417.69,-4.219,-411.3,148.8,18.6,0.1113,0.466,0.567,0.0,0.433,,BTCUSDT,Sydney open,21:00
0,1,2,1.0,1.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,16,1052,0.302,0.4335,-0.5303,-0.5303,0.96,6.72,0.9,-5.5785,-557.85,-9.503,-557.85,36915.7,15.7,0.0004,0.534,0.484,0.448,0.068,,BTCUSDT,Sydney open,21:00
0,1,2,1.0,1.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,16,1052,0.343,0.4563,-0.4753,-0.4753,0.96,6.72,0.9,-5.0049,-500.49,-8.547,-500.04,19305.6,17.5,0.0009,0.466,0.457,0.474,0.068,,BTCUSDT,Sydney open,21:00
0,1,2,1.0,2.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,16,1052,0.401,0.3184,-0.5519,-0.5519,0.96,6.72,1.42,-5.8064,-580.64,-7.987,-580.64,2911.3,15.0,0.0051,0.534,0.571,0.219,0.21,,BTCUSDT,Sydney open,21:00
0,1,2,1.0,2.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,16,1052,0.497,0.3622,-0.4335,-0.4335,0.96,6.72,1.48,-4.5793,-457.93,-6.04,-456.03,870.2,18.8,0.0211,0.466,0.533,0.253,0.214,,BTCUSDT,Sydney open,21:00
0,1,2,2.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,16,1079,0.473,0.3216,-0.3115,-0.3115,0.985,6.9,2.56,-3.3614,-336.14,-4.976,-336.14,864.4,25.3,0.0284,0.537,0.339,0.0,0.661,,BTCUSDT,Sydney open,21:00
0,1,2,2.0,0.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,16,1079,0.689,0.3957,-0.158,-0.158,0.985,6.9,2.63,-1.7423,-174.23,-2.51,-170.48,251.6,42.7,0.145,0.463,0.287,0.0,0.713,,BTCUSDT,Sydney open,21:00
0,1,2,2.0,1.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,16,1079,0.401,0.3874,-0.3201,-0.3201,0.985,6.9,2.09,-3.4621,-346.21,-7.103,-345.36,27919.1,25.3,0.0009,0.537,0.31,0.261,0.428,,BTCUSDT,Sydney open,21:00
0,1,2,2.0,1.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,16,1079,0.546,0.4523,-0.2105,-0.2105,0.985,6.9,2.09,-2.2806,-228.06,-4.661,-227.11,3750.0,38.1,0.0101,0.463,0.262,0.31,0.428,,BTCUSDT,Sydney open,21:00
0,1,2,2.0,2.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,16,1079,0.434,0.3364,-0.3248,-0.3248,0.985,6.9,2.4,-3.5048,-350.48,-6.475,-350.48,7718.6,24.9,0.0032,0.537,0.33,0.093,0.577,,BTCUSDT,Sydney open,21:00
0,1,2,2.0,2.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,16,1079,0.622,0.4032,-0.1898,-0.1898,0.985,6.9,2.47,-2.0836,-208.36,-3.629,-204.76,891.6,40.8,0.0437,0.463,0.284,0.108,0.609,,BTCUSDT,Sydney open,21:00
0,0,0,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,32,1095,0.626,0.2164,-0.4493,-0.4493,1.0,7.0,3.24,-4.9197,-491.97,-2.94,-491.97,23.6,10.1,0.3008,0.542,0.727,0.0,0.273,,BTCUSDT,Sydney open,21:00
0,0,0,0.0,1.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,32,1095,0.305,0.4594,-0.5115,-0.5115,1.0,7.0,1.0,-5.6007,-560.07,-9.397,-560.07,30236.1,15.6,0.0005,0.542,0.449,0.529,0.022,,BTCUSDT,Sydney open,21:00
0,0,0,0.0,2.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,32,1095,0.456,0.3543,-0.5382,-0.5382,1.0,7.0,1.81,-5.8931,-589.31,-7.2,-589.31,999.0,14.6,0.0144,0.542,0.608,0.319,0.073,,BTCUSDT,Sydney open,21:00
0,0,2,1.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,32,1065,0.671,0.2385,-0.3588,-0.3588,0.972,6.81,3.52,-3.8214,-382.14,-2.552,-382.14,28.9,12.8,0.3064,0.539,0.704,0.0,0.296,,BTCUSDT,Sydney open,21:00
0,0,2,1.0,0.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,32,1065,0.446,0.2,-0.6515,-0.6515,0.972,6.81,3.17,-6.9389,-693.89,-5.895,-693.89,126.6,11.5,0.0831,0.461,0.762,0.0,0.238,,BTCUSDT,Sydney open,21:00
0,0,2,1.0,1.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,32,1065,0.376,0.4845,-0.44,-0.44,0.972,6.81,1.07,-4.6968,-469.68,-8.235,-468.62,19266.2,18.7,0.001,0.539,0.469,0.52,0.011,,BTCUSDT,Sydney open,21:00
0,0,2,1.0,1.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,32,1065,0.304,0.4394,-0.5604,-0.5604,0.972,6.81,1.07,-5.9686,-596.86,-9.805,-596.86,33179.2,14.7,0.0004,0.461,0.529,0.46,0.011,,BTCUSDT,Sydney open,21:00
