  USDCHF 100/939 days, 1 failed
  USDCHF 200/939 days, 1 failed
  USDCHF 300/939 days, 3 failed
  USDCHF 400/939 days, 5 failed
  USDCHF 500/939 days, 11 failed
  USDCHF 600/939 days, 13 failed
  USDCHF 700/939 days, 13 failed
  USDCHF 800/939 days, 13 failed
  USDCHF 900/939 days, 13 failed
USDCHF: 88800 bars 15m  2023-09-01 00:00:00+00:00 -> 2026-08-30 23:45:00+00:00  (13 failed days)
