dir_mode,entry_mode,stop_mode,stop_atr_mult,rr,buffer_bps,one_trade,min_or_atr,max_or_atr,trend_mode,fade,min_rvol,use_datr,min_risk_bps,hour,or_bars,hold_bars,trades,pf,win_rate,avg_r,expectancy_r,trades_per_day,trades_per_week,avg_hold_h,max_dd,max_dd_r,sharpe,total_r,days_to_target,days_to_breach,p_target_first,long_share,pct_stop,pct_target,pct_time,label,cost_mult
0,0,2,1.0,2.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,8,2138,0.962,0.4093,-0.0202,-0.0202,0.976,6.83,0.96,-0.975,-97.5,-0.325,-43.14,108.0,85.3,0.4414,0.499,0.5,0.179,0.321,IS_cost0x,0.0
0,0,2,1.0,3.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,2138,0.989,0.3821,-0.0059,-0.0059,0.976,6.83,1.03,-1.6852,-168.52,-0.086,-12.67,79.4,75.1,0.4861,0.501,0.503,0.099,0.398,IS_cost0x,0.0
0,0,2,1.0,3.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,8,2138,0.991,0.3994,-0.005,-0.005,0.976,6.83,1.05,-0.9199,-91.99,-0.074,-10.76,82.0,78.0,0.4877,0.499,0.507,0.082,0.411,IS_cost0x,0.0
0,0,2,2.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,2156,1.112,0.4699,0.0353,0.0353,0.984,6.89,1.52,-0.5309,-53.09,0.662,76.11,97.9,170.4,0.635,0.5,0.219,0.0,0.781,IS_cost0x,0.0
0,0,2,2.0,0.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,8,2156,1.004,0.493,0.0014,0.0014,0.984,6.89,1.48,-0.6308,-63.08,0.031,2.97,184.8,190.7,0.5079,0.5,0.236,0.0,0.764,IS_cost0x,0.0
0,0,2,2.0,1.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,2156,1.03,0.4954,0.0091,0.0091,0.984,6.89,1.31,-0.5023,-50.23,0.241,19.71,218.8,290.2,0.5701,0.5,0.209,0.231,0.56,IS_cost0x,0.0
0,0,2,2.0,1.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,8,2156,0.965,0.5037,-0.011,-0.011,0.984,6.89,1.31,-0.6556,-65.56,-0.29,-23.71,299.1,212.9,0.4159,0.5,0.231,0.208,0.56,IS_cost0x,0.0
0,0,2,2.0,1.5,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,2156,1.037,0.475,0.0115,0.0115,0.984,6.89,1.42,-0.5308,-53.08,0.278,24.9,181.6,244.7,0.574,0.5,0.216,0.121,0.663,IS_cost0x,0.0
0,0,2,2.0,1.5,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,8,2156,0.991,0.4944,-0.003,-0.003,0.984,6.89,1.41,-0.6499,-64.99,-0.074,-6.48,226.5,209.0,0.4799,0.5,0.235,0.096,0.669,IS_cost0x,0.0
0,0,2,2.0,2.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,2156,1.07,0.4731,0.0218,0.0218,0.984,6.89,1.46,-0.5214,-52.14,0.497,47.04,147.4,243.8,0.6233,0.5,0.217,0.071,0.712,IS_cost0x,0.0
0,0,2,2.0,2.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,8,2156,1.0,0.4935,-0.0001,-0.0001,0.984,6.89,1.45,-0.663,-66.3,-0.001,-0.12,204.6,204.3,0.4996,0.5,0.236,0.045,0.72,IS_cost0x,0.0
0,0,2,2.0,3.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,2156,1.08,0.4708,0.0253,0.0253,0.984,6.89,1.5,-0.5621,-56.21,0.544,54.56,130.6,220.0,0.6275,0.5,0.218,0.029,0.753,IS_cost0x,0.0
0,0,2,2.0,3.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,8,2156,1.011,0.4935,0.0035,0.0035,0.984,6.89,1.47,-0.6188,-61.88,0.081,7.59,183.5,199.4,0.5207,0.5,0.236,0.016,0.748,IS_cost0x,0.0
0,1,0,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,2039,1.155,0.4424,0.0546,0.0546,0.931,6.51,1.03,-0.539,-53.9,0.765,111.29,62.5,103.6,0.6237,0.498,0.253,0.0,0.747,IS_cost0x,0.0
0,1,0,0.0,1.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,2039,0.985,0.4787,-0.0048,-0.0048,0.931,6.51,0.82,-0.876,-87.6,-0.118,-9.88,258.2,225.4,0.4661,0.498,0.236,0.265,0.498,IS_cost0x,0.0
