hour,minute,or_bars,hold_bars,entry_mode,stop_mode,stop_atr_mult,rr,fade,min_break_rvol,min_atr_rank,fast_trend_mode,symbol,window,pf,trades,win_rate,avg_r,trades_per_day,avg_hold_h,max_dd,sharpe,days_to_target
13,0,1,16,0,0,0.0,1.0,0,2.0,0.5,0,BTCUSDT,IS,0.819,280,0.6036,-0.0873,0.383,0.37,-0.3044,-1.082,840.5
13,0,1,16,0,0,0.0,1.0,0,2.0,0.5,2,BTCUSDT,IS,0.894,97,0.6289,-0.0482,0.133,0.21,-0.1246,-0.36,1714.3
13,0,1,16,0,0,0.0,1.0,0,2.0,0.7,0,BTCUSDT,IS,0.857,157,0.6178,-0.068,0.215,0.4,-0.1257,-0.628,1186.4
13,0,1,16,0,0,0.0,1.0,0,2.0,0.7,2,BTCUSDT,IS,0.968,59,0.6271,-0.0137,0.081,0.31,-0.0849,-0.082,2053.8
13,0,1,16,0,0,0.0,2.0,0,0.0,0.0,0,BTCUSDT,IS,0.5,731,0.3584,-0.4876,1.0,0.83,-3.5966,-6.509,723.2
13,0,1,16,0,0,0.0,2.0,0,0.0,0.0,2,BTCUSDT,IS,0.608,441,0.3946,-0.3302,0.603,0.72,-1.4973,-3.475,532.4
13,0,1,16,0,0,0.0,2.0,0,0.0,0.5,0,BTCUSDT,IS,0.636,313,0.377,-0.3149,0.428,0.82,-1.0439,-2.742,617.6
13,0,1,16,0,0,0.0,2.0,0,0.0,0.5,2,BTCUSDT,IS,0.869,200,0.44,-0.0955,0.274,0.73,-0.4295,-0.671,343.6
13,0,1,16,0,0,0.0,2.0,0,0.0,0.7,0,BTCUSDT,IS,0.76,170,0.4118,-0.1921,0.233,0.92,-0.3618,-1.234,590.1
13,0,1,16,0,0,0.0,2.0,0,0.0,0.7,2,BTCUSDT,IS,0.972,105,0.4571,-0.0195,0.144,0.84,-0.2573,-0.1,472.2
13,0,1,16,0,0,0.0,2.0,0,1.5,0.0,0,BTCUSDT,IS,0.942,593,0.4654,-0.0412,0.811,0.71,-0.5714,-0.497,89.5
13,0,1,16,0,0,0.0,2.0,0,1.5,0.0,2,BTCUSDT,IS,0.992,212,0.4717,-0.0054,0.29,0.52,-0.2495,-0.039,213.3
13,0,1,16,0,0,0.0,2.0,0,1.5,0.5,0,BTCUSDT,IS,0.965,292,0.4555,-0.0248,0.399,0.76,-0.2063,-0.209,167.7
13,0,1,16,0,0,0.0,2.0,0,1.5,0.5,2,BTCUSDT,IS,1.176,129,0.4961,0.1139,0.176,0.68,-0.1831,0.634,227.5
13,0,1,16,0,0,0.0,2.0,0,1.5,0.7,0,BTCUSDT,IS,0.948,161,0.4534,-0.0372,0.22,0.87,-0.1071,-0.233,317.9
13,0,1,16,0,0,0.0,2.0,0,1.5,0.7,2,BTCUSDT,IS,1.158,77,0.4805,0.1005,0.105,0.78,-0.14,0.438,402.2
13,0,1,16,0,0,0.0,2.0,0,2.0,0.0,0,BTCUSDT,IS,1.082,544,0.489,0.0533,0.744,0.72,-0.3614,0.625,69.4
13,0,1,16,0,0,0.0,2.0,0,2.0,0.0,2,BTCUSDT,IS,1.143,149,0.4966,0.0933,0.204,0.48,-0.1778,0.562,210.9
13,0,1,16,0,0,0.0,2.0,0,2.0,0.5,0,BTCUSDT,IS,1.114,280,0.4857,0.0721,0.383,0.76,-0.2357,0.611,126.6
13,0,1,16,0,0,0.0,2.0,0,2.0,0.5,2,BTCUSDT,IS,1.481,97,0.5464,0.2698,0.133,0.56,-0.1527,1.308,191.4
13,0,1,16,0,0,0.0,2.0,0,2.0,0.7,0,BTCUSDT,IS,1.087,157,0.4904,0.0547,0.215,0.86,-0.1209,0.35,242.5
13,0,1,16,0,0,0.0,2.0,0,2.0,0.7,2,BTCUSDT,IS,1.607,59,0.5593,0.3134,0.081,0.7,-0.1105,1.218,278.5
13,0,1,16,0,2,1.0,0.0,0,0.0,0.0,0,BTCUSDT,IS,0.484,708,0.1638,-0.6722,0.969,1.21,-4.8748,-5.214,64.4
13,0,1,16,0,2,1.0,0.0,0,0.0,0.0,2,BTCUSDT,IS,0.619,436,0.2225,-0.4344,0.596,1.15,-2.1132,-2.618,67.6
13,0,1,16,0,2,1.0,0.0,0,0.0,0.5,0,BTCUSDT,IS,0.566,312,0.1891,-0.4916,0.427,1.32,-1.6882,-2.689,133.5
13,0,1,16,0,2,1.0,0.0,0,0.0,0.5,2,BTCUSDT,IS,0.801,199,0.2513,-0.2017,0.272,1.27,-0.9482,-0.801,97.0
13,0,1,16,0,2,1.0,0.0,0,0.0,0.7,0,BTCUSDT,IS,0.609,170,0.2118,-0.4088,0.233,1.47,-0.7367,-1.686,217.9
13,0,1,16,0,2,1.0,0.0,0,0.0,0.7,2,BTCUSDT,IS,0.722,105,0.2667,-0.259,0.144,1.44,-0.4417,-0.939,376.7
