  EURUSD 100/939 days, 0 failed
  EURUSD 200/939 days, 0 failed
  EURUSD 300/939 days, 0 failed
  EURUSD 400/939 days, 0 failed
  EURUSD 500/939 days, 0 failed
  EURUSD 600/939 days, 0 failed
  EURUSD 700/939 days, 0 failed
  EURUSD 800/939 days, 0 failed
  EURUSD 900/939 days, 0 failed
EURUSD: 90048 bars 15m  2023-09-01 00:00:00+00:00 -> 2026-08-30 23:45:00+00:00  (0 failed days)
