quarter,cfg,train_pf_2x,trades,test_pf,test_pf_2x
2020Q4,mom/1h/12/1/longonly/12,0.9330468485937489,184,1.62043617792199,1.4303122382659093
2021Q1,mom/1d/12/1/spread/1,4.071166119690071,90,1.0933060905622953,1.0012073170828173
2021Q2,mom/1d/6/2/longonly/3,3.7841600097547605,30,1.1295031164010552,1.0971924000828908
2021Q3,mom/1d/24/2/spread/7,3.44861551992704,13,1.3001543691866893,1.2042364988195167
2021Q4,rvol/1d/3/1/longonly/7,3.5774807734434386,13,2.009591697773646,1.9355233633274764
2022Q1,rvol/1d/3/1/longonly/7,3.1475425424185395,13,0.432783002286012,0.4175538851142505
2022Q2,mom/1d/12/1/longonly/7,2.2933666922410993,13,0.28892176495992367,0.2833850949651444
2022Q3,mom/1d/12/2/spread/7,2.0225780678279053,13,2.6308303465086804,2.2445927643930146
2022Q4,mom/1d/12/2/spread/7,2.0428460938252333,14,3.2426515659610735,2.7691439790557215
2023Q1,mom/1d/12/2/spread/7,2.099542613726865,12,0.1234340214204988,0.10749789798688723
2023Q2,rvol/1d/3/1/spread/7,2.136360395653022,13,0.46549259390541153,0.43009682346826644
2023Q3,mom/1d/6/1/spread/7,1.8015839107498501,14,2.199462710183873,1.8296006501222315
2023Q4,mom/1d/6/1/spread/7,1.8030733983919949,13,2.156907735843571,1.9590958379592696
2024Q1,mom/1d/6/1/spread/7,1.8174881372071519,13,0.9338532424037095,0.8555314614606083
2024Q2,rvol/1d/3/1/longonly/7,1.7817466100309747,13,0.7264982268652485,0.6925980067559774
2024Q3,rvol/1d/3/1/longonly/7,1.689144691352983,13,0.7680020757265763,0.7422309931306837
2024Q4,mom/1d/6/1/spread/7,1.58178840902462,13,5.664913385925538,4.981477860860381
2025Q1,mom/1d/6/1/spread/7,1.6959446956554485,13,0.6920542738612058,0.6327721707982173
2025Q2,mom/1d/6/1/spread/7,1.6132715608027914,13,1.4083681416437068,1.1705134098816645
2025Q3,mom/1d/6/1/spread/7,1.6013961870898064,13,1.2430386953123072,1.0431359106104152
2025Q4,rvol/1d/3/1/longonly/7,1.6141870270826653,13,0.5724041969112252,0.5487933266804126
2026Q1,mom/1d/6/1/spread/7,1.5591398371498857,13,0.13905073833229165,0.11332454423266582
2026Q2,mom/1d/6/1/spread/7,1.4499229389296038,13,0.9244933045716578,0.7452282989286096
2026Q3,mom/1d/12/2/spread/7,1.4277804773113176,9,0.15779733212111818,0.12223180815695645
