symbol,feature,horizon,ic,null_best,beats_null,spread_bps,monotone,clears_1x,clears_2x,years,same_sign_years,n
BNBUSDT,gap_1h,24h,0.00871,0.00982,False,6.87,0.5,False,False,7,0.71,686856
BNBUSDT,cash_1h,1h,0.00246,0.00494,False,0.73,0.75,False,False,7,0.86,687134
BNBUSDT,cash_1h,4h,-0.00012,0.0046,False,0.48,0.5,False,False,7,0.29,687098
BNBUSDT,cash_1h,8h,-0.00254,0.00523,False,-0.65,0.75,False,False,7,0.43,687050
BNBUSDT,cash_1h,12h,-0.00525,0.00452,True,-2.04,0.5,False,False,7,0.71,687002
BNBUSDT,cash_1h,24h,-0.01112,0.00646,True,-10.21,0.75,False,False,7,0.86,686858
BNBUSDT,gap_4h,1h,0.00229,0.00203,True,0.23,0.5,False,False,7,0.57,687108
BNBUSDT,gap_4h,4h,0.0045,0.01184,False,2.34,0.5,False,False,7,0.86,687072
BNBUSDT,gap_4h,8h,0.01,0.01254,False,5.26,0.75,False,False,7,0.86,687024
BNBUSDT,gap_4h,12h,0.01536,0.0178,False,7.69,0.75,False,False,7,0.86,686976
BNBUSDT,gap_4h,24h,0.00992,0.01327,False,3.98,0.5,False,False,7,0.71,686832
BNBUSDT,cash_4h,1h,0.00218,0.00302,False,0.87,0.5,False,False,7,0.71,687107
BNBUSDT,cash_4h,4h,-0.00168,0.00819,False,-1.46,0.75,False,False,7,0.57,687071
BNBUSDT,cash_4h,8h,-0.00832,0.00792,True,-3.79,0.5,False,False,7,0.86,687023
BNBUSDT,cash_4h,12h,-0.00818,0.01209,False,-4.7,0.75,False,False,7,0.57,686975
BNBUSDT,cash_4h,24h,-0.01041,0.01067,False,-11.59,0.5,False,False,7,0.71,686831
BNBUSDT,lead_1h,1h,-0.01902,0.00526,True,-4.31,1.0,False,False,7,0.86,687143
BNBUSDT,lead_1h,4h,-0.01534,0.00214,True,-6.8,0.75,False,False,7,0.86,687107
BNBUSDT,lead_1h,8h,-0.00877,0.00282,True,-4.94,0.5,False,False,7,0.71,687059
BNBUSDT,lead_1h,12h,-0.00609,0.0022,True,-5.08,0.5,False,False,7,0.71,687011
BNBUSDT,lead_1h,24h,-0.00653,0.00225,True,-9.74,0.5,False,False,7,0.86,686867
BNBUSDT,lead_4h,1h,-0.02326,0.00766,True,-5.78,0.75,False,False,7,0.86,687107
BNBUSDT,lead_4h,4h,-0.01619,0.00623,True,-6.88,0.75,False,False,7,0.71,687071
BNBUSDT,lead_4h,8h,-0.00756,0.0048,True,-3.51,0.5,False,False,7,0.71,687023
BNBUSDT,lead_4h,12h,-0.00432,0.00581,False,-1.51,0.5,False,False,7,0.71,686975
BNBUSDT,lead_4h,24h,-0.01019,0.00492,True,-17.34,0.75,True,False,7,0.86,686831
XRPUSDT,ret_1h,1h,-0.05433,0.005,True,-3.96,0.75,False,False,7,1.0,695764
XRPUSDT,ret_1h,4h,-0.03747,0.00959,True,-6.97,0.5,False,False,7,1.0,695728
XRPUSDT,ret_1h,8h,-0.02911,0.00591,True,-6.61,0.75,False,False,7,1.0,695680
XRPUSDT,ret_1h,12h,-0.02148,0.00511,True,-1.56,0.5,False,False,7,1.0,695632
XRPUSDT,ret_1h,24h,-0.01462,0.00498,True,2.58,0.5,False,False,7,1.0,695488
XRPUSDT,ret_4h,1h,-0.05607,0.00753,True,-1.15,0.5,False,False,7,1.0,695728
XRPUSDT,ret_4h,4h,-0.05434,0.01446,True,-4.15,0.5,False,False,7,1.0,695692
XRPUSDT,ret_4h,8h,-0.03813,0.0093,True,0.54,0.75,False,False,7,1.0,695644
XRPUSDT,ret_4h,12h,-0.02555,0.01207,True,16.07,0.5,True,False,7,0.86,695596
XRPUSDT,ret_4h,24h,-0.02763,0.00621,True,17.03,0.5,True,False,7,1.0,695452
XRPUSDT,prem,1h,-0.00641,0.00543,True,-1.4,0.5,False,False,7,0.71,695776
XRPUSDT,prem,4h,-0.00109,0.01088,False,-1.0,0.5,False,False,7,0.86,695740
XRPUSDT,prem,8h,0.00093,0.01883,False,2.97,0.5,False,False,7,0.0,695692
XRPUSDT,prem,12h,0.00282,0.01447,False,6.6,0.5,False,False,7,0.29,695644
XRPUSDT,prem,24h,-0.00654,0.01123,False,12.63,0.75,False,False,7,1.0,695500
XRPUSDT,prem_z,1h,-0.02113,0.00277,True,-3.31,0.75,False,False,7,0.86,695632
XRPUSDT,prem_z,4h,-0.01516,0.00737,True,-4.06,0.75,False,False,7,0.86,695596
XRPUSDT,prem_z,8h,-0.01071,0.00663,True,-0.83,0.5,False,False,7,0.71,695548
XRPUSDT,prem_z,12h,-0.01071,0.01029,True,-1.94,0.5,False,False,7,0.71,695500
XRPUSDT,prem_z,24h,-0.02504,0.0089,True,-15.05,0.75,True,False,7,0.86,695356
XRPUSDT,dprem_1h,1h,-0.01116,0.00138,True,-2.45,0.5,False,False,7,0.71,695764
XRPUSDT,dprem_1h,4h,-0.00864,0.00305,True,-5.24,0.5,False,False,7,0.71,695728
XRPUSDT,dprem_1h,8h,-0.00641,0.00092,True,-3.98,0.5,False,False,7,0.86,695680
XRPUSDT,dprem_1h,12h,-0.00371,0.00362,True,-4.41,0.5,False,False,7,0.71,695632
XRPUSDT,dprem_1h,24h,-0.003,0.00293,True,-5.15,0.5,False,False,7,0.71,695488
XRPUSDT,dprem_4h,1h,-0.01892,0.00315,True,-4.65,0.75,False,False,7,0.86,695728
XRPUSDT,dprem_4h,4h,-0.01419,0.00322,True,-7.01,0.5,False,False,7,0.71,695692
