signal,look,win,q,band,hold,contrarian,stop_k,trades,tpd,avg_bps,win_rate,pf_0x,tot_0x,pf_1x,tot_1x,pf_2x,tot_2x,pf_3x,tot_3x,symbol,kind
prem_z,0,288,0.02,2016,864,True,0.0,765,0.314,-24.97,0.4654,0.877,-19098.5,0.815,-29808.5,0.7575,-40518.5,0.7043,-51228.5,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,2016,864,True,2.0,1159,0.476,18.9,0.3779,1.1289,21899.9,1.0315,5673.9,0.9445,-10552.1,0.8665,-26778.1,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,2016,864,False,0.0,765,0.314,24.97,0.5346,1.1402,19098.5,1.0594,8388.5,0.9842,-2321.5,0.9142,-13031.5,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,2016,864,False,2.0,1161,0.477,17.44,0.3686,1.1205,20250.6,1.0224,3996.6,0.9351,-12257.4,0.8571,-28511.4,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,2016,96,True,0.0,4833,1.986,3.59,0.5044,1.0635,17351.0,0.8374,-50311.0,0.6626,-117973.0,0.5282,-185635.0,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,96,True,2.0,5216,2.143,1.75,0.4837,1.0316,9122.6,0.8054,-63901.4,0.6327,-136925.4,0.5014,-209949.4,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,96,False,0.0,4833,1.986,-3.59,0.4953,0.9403,-17351.0,0.74,-85013.0,0.5843,-152675.0,0.4643,-220337.0,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,96,False,2.0,5241,2.153,-0.15,0.4743,0.9973,-804.4,0.7788,-74178.4,0.6116,-147552.4,0.4842,-220926.4,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,288,True,0.0,2078,0.854,-3.91,0.486,0.9633,-8129.0,0.843,-37221.0,0.7382,-66313.0,0.6474,-95405.0,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,288,True,2.0,2559,1.051,5.57,0.4334,1.0599,14250.0,0.9166,-21576.0,0.7952,-57402.0,0.6921,-93228.0,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,288,False,0.0,2078,0.854,3.91,0.514,1.0381,8129.0,0.9081,-20963.0,0.7946,-50055.0,0.6958,-79147.0,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,288,False,2.0,2545,1.046,5.55,0.4468,1.0603,14130.0,0.9155,-21500.0,0.7925,-57130.0,0.688,-92760.0,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,576,True,0.0,1117,0.459,5.81,0.5148,1.0388,6490.3,0.9478,-9147.7,0.8649,-24785.7,0.7894,-40423.7,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,576,True,2.0,1538,0.632,7.03,0.3999,1.0559,10817.1,0.9482,-10714.9,0.8535,-32246.9,0.7701,-53778.9,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,576,False,0.0,1117,0.459,-5.81,0.4852,0.9627,-6490.3,0.8784,-22128.3,0.8017,-37766.3,0.7321,-53404.3,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,576,False,2.0,1560,0.641,9.6,0.4045,1.0748,14980.0,0.9678,-6860.0,0.8735,-28700.0,0.79,-50540.0,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,864,True,0.0,764,0.314,-19.81,0.4895,0.8977,-15134.5,0.8318,-25830.5,0.7706,-36526.5,0.7141,-47222.5,BTCUSDT,shuffled_s1
