signal,look,win,q,band,hold,contrarian,stop_k,trades,tpd,avg_bps,win_rate,pf_0x,tot_0x,pf_1x,tot_1x,pf_2x,tot_2x,pf_3x,tot_3x,symbol,kind
prem_z,0,288,0.02,2016,4032,True,0.0,170,0.07,-192.33,0.4118,0.6394,-32696.9,0.6192,-35076.9,0.5997,-37456.9,0.5808,-39836.9,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,2016,4032,True,2.0,415,0.171,19.82,0.2193,1.0891,8226.7,1.0249,2416.7,0.9665,-3393.3,0.9131,-9203.3,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,2016,4032,False,0.0,170,0.07,192.33,0.5882,1.5639,32696.9,1.5139,30316.9,1.4653,27936.9,1.4181,25556.9,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,2016,4032,False,2.0,421,0.173,17.13,0.2185,1.0767,7213.4,1.0134,1319.4,0.9557,-4574.6,0.9031,-10468.6,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,2016,864,True,0.0,764,0.314,-19.81,0.4895,0.8977,-15134.5,0.8318,-25830.5,0.7706,-36526.5,0.7141,-47222.5,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,864,True,2.0,1168,0.48,23.11,0.3818,1.1592,26993.8,1.0592,10641.8,0.97,-5710.2,0.89,-22062.2,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,864,False,0.0,764,0.314,19.81,0.5105,1.1139,15134.5,1.0321,4438.5,0.9564,-6257.5,0.8864,-16953.5,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,864,False,2.0,1173,0.482,12.35,0.37,1.0846,14489.1,0.9894,-1932.9,0.9045,-18354.9,0.8287,-34776.9,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,1728,True,0.0,393,0.161,-11.98,0.5115,0.9568,-4708.1,0.9086,-10210.1,0.8628,-15712.1,0.8193,-21214.1,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,1728,True,2.0,718,0.295,35.19,0.3217,1.1875,25266.5,1.1075,15214.5,1.0348,5162.5,0.9685,-4889.5,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,1728,False,0.0,393,0.161,11.98,0.4885,1.0452,4708.1,0.9926,-793.9,0.9427,-6295.9,0.8954,-11797.9,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,1728,False,2.0,715,0.294,19.39,0.3105,1.1058,13866.2,1.0279,3856.2,0.9575,-6153.8,0.8936,-16163.8,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,2880,True,0.0,237,0.097,-101.65,0.443,0.7418,-24091.0,0.712,-27409.0,0.6835,-30727.0,0.6561,-34045.0,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,2880,True,2.0,509,0.209,28.07,0.2574,1.1254,14286.2,1.0601,7160.2,1.0003,34.2,0.9454,-7091.8,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,2880,False,0.0,237,0.097,101.65,0.557,1.348,24091.0,1.2938,20773.0,1.2416,17455.0,1.1915,14137.0,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,2880,False,2.0,481,0.198,72.54,0.2952,1.3641,34889.9,1.2799,28155.9,1.2033,21421.9,1.1332,14687.9,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,4032,True,0.0,170,0.07,-47.53,0.4941,0.8951,-8080.5,0.8664,-10460.5,0.8385,-12840.5,0.8116,-15220.5,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,4032,True,2.0,374,0.154,30.52,0.2353,1.1262,11415.0,1.0654,6179.0,1.0096,943.0,0.9581,-4293.0,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,4032,False,0.0,170,0.07,47.53,0.5059,1.1172,8080.5,1.0813,5700.5,1.0466,3320.5,1.013,940.5,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,4032,False,2.0,399,0.164,36.42,0.2581,1.1586,14530.2,1.0934,8944.2,1.0336,3358.2,0.9786,-2227.8,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,864,True,0.0,765,0.314,10.8,0.5046,1.0606,8264.0,0.9828,-2446.0,0.9107,-13156.0,0.844,-23866.0,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,2016,864,True,2.0,1134,0.466,10.61,0.3907,1.0704,12028.3,0.9787,-3847.7,0.8964,-19723.7,0.8224,-35599.7,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,2016,864,False,0.0,765,0.314,-10.8,0.4954,0.9429,-8264.0,0.8737,-18974.0,0.8095,-29684.0,0.75,-40394.0,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,2016,864,False,2.0,1181,0.485,12.92,0.3573,1.0889,15258.5,0.993,-1275.5,0.9078,-17809.5,0.8319,-34343.5,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,2016,1728,True,0.0,392,0.161,-48.81,0.4847,0.8355,-19134.0,0.7934,-24622.0,0.7533,-30110.0,0.7154,-35598.0,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,2016,1728,True,2.0,687,0.282,40.17,0.3362,1.2285,27596.4,1.1414,17978.4,1.0626,8360.4,0.991,-1257.6,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,2016,1728,False,0.0,392,0.161,48.81,0.5153,1.1969,19134.0,1.1367,13646.0,1.0795,8158.0,1.0253,2670.0,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,2016,1728,False,2.0,744,0.306,9.61,0.2863,1.0523,7152.0,0.9774,-3264.0,0.9099,-13680.0,0.8488,-24096.0,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,2016,2880,True,0.0,238,0.098,-15.83,0.4706,0.9571,-3768.4,0.9208,-7100.4,0.8859,-10432.4,0.8524,-13764.4,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,2016,2880,True,2.0,503,0.207,40.22,0.2744,1.1942,20232.6,1.1207,13190.6,1.0537,6148.6,0.9925,-893.4,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,2016,2880,False,0.0,238,0.098,15.83,0.5294,1.0448,3768.4,1.0051,436.4,0.9668,-2895.6,0.93,-6227.6,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,2016,2880,False,2.0,528,0.217,20.99,0.2576,1.0985,11082.1,1.0313,3690.1,0.97,-3701.9,0.9141,-11093.9,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,2016,4032,True,0.0,170,0.07,-84.65,0.4765,0.833,-14390.6,0.8081,-16770.6,0.784,-19150.6,0.7606,-21530.6,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,2016,4032,True,2.0,409,0.168,57.48,0.2469,1.265,23509.9,1.1912,17783.9,1.1238,12057.9,1.0623,6331.9,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,2016,4032,False,0.0,170,0.07,84.65,0.5235,1.2005,14390.6,1.1648,12010.6,1.13,9630.6,1.0964,7250.6,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,2016,4032,False,2.0,417,0.171,24.18,0.235,1.1027,10084.9,1.0414,4246.9,0.9852,-1591.1,0.9335,-7429.1,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,8640,864,True,0.0,755,0.31,53.4,0.5338,1.3284,40318.6,1.2328,29748.6,1.1441,19178.6,1.0622,8608.6,BTCUSDT,real
prem_z,0,288,0.02,8640,864,True,2.0,1209,0.497,25.57,0.3805,1.1815,30917.5,1.0773,13991.5,0.9847,-2934.5,0.9018,-19860.5,BTCUSDT,real
prem_z,0,288,0.02,8640,864,False,0.0,755,0.31,-53.4,0.4662,0.7528,-40318.6,0.6985,-50888.6,0.648,-61458.6,0.6012,-72028.6,BTCUSDT,real
prem_z,0,288,0.02,8640,864,False,2.0,1300,0.534,-7.31,0.3208,0.9495,-9500.8,0.8618,-27700.8,0.7846,-45900.8,0.7162,-64100.8,BTCUSDT,real
prem_z,0,288,0.02,8640,1728,True,0.0,387,0.159,-28.51,0.4703,0.9028,-11034.5,0.8587,-16452.5,0.8169,-21870.5,0.7772,-27288.5,BTCUSDT,real
prem_z,0,288,0.02,8640,1728,True,2.0,760,0.312,2.27,0.2908,1.0126,1723.2,0.9382,-8916.8,0.8712,-19556.8,0.8106,-30196.8,BTCUSDT,real
prem_z,0,288,0.02,8640,1728,False,0.0,387,0.159,28.51,0.5297,1.1076,11034.5,1.0534,5616.5,1.0018,198.5,0.9527,-5219.5,BTCUSDT,real
prem_z,0,288,0.02,8640,1728,False,2.0,754,0.31,37.4,0.3024,1.2174,28202.2,1.1287,17646.2,1.0491,7090.2,0.9772,-3465.8,BTCUSDT,real
prem_z,0,288,0.02,8640,2880,True,0.0,235,0.097,141.37,0.5234,1.4589,33221.8,1.4046,29931.8,1.3526,26641.8,1.3026,23351.8,BTCUSDT,real
prem_z,0,288,0.02,8640,2880,True,2.0,551,0.226,44.79,0.2577,1.2325,24679.2,1.1516,16965.2,1.0787,9251.2,1.0125,1537.2,BTCUSDT,real
prem_z,0,288,0.02,8640,2880,False,0.0,235,0.097,-141.37,0.4766,0.6855,-33221.8,0.6599,-36511.8,0.6353,-39801.8,0.6115,-43091.8,BTCUSDT,real
prem_z,0,288,0.02,8640,2880,False,2.0,607,0.249,-1.86,0.2109,0.9912,-1126.4,0.9284,-9624.4,0.8716,-18122.4,0.82,-26620.4,BTCUSDT,real
prem_z,0,288,0.02,8640,4032,True,0.0,169,0.069,110.36,0.5503,1.2834,18650.1,1.2435,16284.1,1.2048,13918.1,1.1672,11552.1,BTCUSDT,real
prem_z,0,288,0.02,8640,4032,True,2.0,468,0.192,-6.95,0.203,0.9687,-3250.4,0.9102,-9802.4,0.8571,-16354.4,0.8087,-22906.4,BTCUSDT,real
prem_z,0,288,0.02,8640,4032,False,0.0,169,0.069,-110.36,0.4497,0.7792,-18650.1,0.755,-21016.1,0.7316,-23382.1,0.709,-25748.1,BTCUSDT,real
prem_z,0,288,0.02,8640,4032,False,2.0,457,0.188,62.33,0.2144,1.3259,28484.7,1.2389,22086.7,1.161,15688.7,1.0906,9290.7,BTCUSDT,real
prem_z,0,288,0.02,8640,864,True,0.0,756,0.311,-9.99,0.4735,0.9489,-7549.8,0.8817,-18133.8,0.8196,-28717.8,0.7621,-39301.8,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,8640,864,True,2.0,1201,0.493,-2.81,0.3547,0.9814,-3374.0,0.895,-20188.0,0.818,-37002.0,0.7492,-53816.0,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,8640,864,False,0.0,756,0.311,9.99,0.5265,1.0539,7549.8,0.9791,-3034.2,0.9095,-13618.2,0.8446,-24202.2,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,8640,864,False,2.0,1158,0.476,2.05,0.3566,1.0135,2371.5,0.9257,-13840.5,0.8475,-30052.5,0.7773,-46264.5,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,8640,1728,True,0.0,388,0.159,-22.5,0.4639,0.9232,-8730.1,0.8786,-14162.1,0.8363,-19594.1,0.7962,-25026.1,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,8640,1728,True,2.0,717,0.295,22.26,0.3068,1.1217,15962.4,1.0429,5924.4,0.9717,-4113.6,0.907,-14151.6,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,8640,1728,False,0.0,388,0.159,22.5,0.5361,1.0831,8730.1,1.0307,3298.1,0.9806,-2133.9,0.933,-7565.9,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,8640,1728,False,2.0,676,0.278,31.54,0.3402,1.1722,21320.9,1.0912,11856.9,1.0175,2392.9,0.9504,-7071.1,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,8640,2880,True,0.0,235,0.097,-69.26,0.4723,0.8246,-16275.8,0.793,-19565.8,0.7628,-22855.8,0.7338,-26145.8,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,8640,2880,True,2.0,511,0.21,21.45,0.2524,1.101,10962.7,1.0334,3808.7,0.9719,-3345.3,0.9157,-10499.3,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,8640,2880,False,0.0,235,0.097,69.26,0.5277,1.2127,16275.8,1.1663,12985.8,1.1216,9695.8,1.0787,6405.8,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,8640,2880,False,2.0,501,0.206,13.41,0.2655,1.065,6716.4,0.9973,-297.6,0.9357,-7311.6,0.8795,-14325.6,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,8640,4032,True,0.0,168,0.069,139.69,0.5357,1.3625,23468.6,1.3207,21116.6,1.2802,18764.6,1.241,16412.6,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,8640,4032,True,2.0,418,0.172,38.64,0.2201,1.1862,16153.5,1.1128,10301.5,1.0464,4449.5,0.986,-1402.5,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,8640,4032,False,0.0,168,0.069,-139.69,0.4643,0.7339,-23468.6,0.7114,-25820.6,0.6896,-28172.6,0.6683,-30524.6,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,8640,4032,False,2.0,411,0.169,-7.8,0.219,0.9663,-3205.9,0.91,-8959.9,0.8586,-14713.9,0.8116,-20467.9,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,8640,864,True,0.0,754,0.31,-7.98,0.4947,0.9573,-6020.6,0.8868,-16576.6,0.8215,-27132.6,0.7613,-37688.6,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,8640,864,True,2.0,1153,0.474,22.28,0.3755,1.1502,25688.1,1.0527,9546.1,0.9656,-6595.9,0.8874,-22737.9,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,8640,864,False,0.0,754,0.31,7.98,0.5053,1.0446,6020.6,0.9677,-4535.4,0.8965,-15091.4,0.8306,-25647.4,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,8640,864,False,2.0,1180,0.485,-5.93,0.3593,0.9612,-6993.3,0.8769,-23513.3,0.8017,-40033.3,0.7344,-56553.3,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,8640,1728,True,0.0,389,0.16,-22.77,0.473,0.918,-8858.1,0.871,-14304.1,0.8265,-19750.1,0.7844,-25196.1,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,8640,1728,True,2.0,716,0.294,15.61,0.3115,1.0816,11176.1,1.008,1152.1,0.9412,-8871.9,0.8804,-18895.9,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,8640,1728,False,0.0,389,0.16,22.77,0.527,1.0894,8858.1,1.0335,3412.1,0.9805,-2033.9,0.9302,-7479.9,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,8640,1728,False,2.0,715,0.294,12.8,0.3203,1.0675,9149.5,0.994,-860.5,0.9272,-10870.5,0.8664,-20880.5,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,8640,2880,True,0.0,235,0.097,-2.04,0.4894,0.9944,-479.0,0.9568,-3769.0,0.9206,-7059.0,0.8859,-10349.0,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,8640,2880,True,2.0,556,0.228,-23.19,0.205,0.9002,-12896.0,0.8473,-20680.0,0.799,-28464.0,0.7548,-36248.0,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,8640,2880,False,0.0,235,0.097,2.04,0.5106,1.0056,479.0,0.9675,-2811.0,0.9309,-6101.0,0.8956,-9391.0,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,8640,2880,False,2.0,505,0.207,61.87,0.2832,1.3235,31245.9,1.2377,24175.9,1.1601,17105.9,1.0896,10035.9,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,8640,4032,True,0.0,168,0.069,-236.37,0.4345,0.59,-39709.7,0.5716,-42061.7,0.5537,-44413.7,0.5363,-46765.7,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,8640,4032,True,2.0,386,0.159,45.07,0.2409,1.1936,17395.2,1.1276,11991.2,1.0672,6587.2,1.0116,1183.2,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,8640,4032,False,0.0,168,0.069,236.37,0.5655,1.6949,39709.7,1.642,37357.7,1.5906,35005.7,1.541,32653.7,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,8640,4032,False,2.0,388,0.159,77.09,0.2784,1.3575,29909.5,1.2795,24477.5,1.2082,19045.5,1.1426,13613.5,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,8640,864,True,0.0,756,0.311,-13.19,0.4907,0.9317,-9969.9,0.8643,-20553.9,0.8018,-31137.9,0.7439,-41721.9,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,8640,864,True,2.0,1117,0.459,3.25,0.3644,1.0216,3633.3,0.9327,-12004.7,0.8534,-27642.7,0.7823,-43280.7,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,8640,864,False,0.0,756,0.311,13.19,0.5093,1.0733,9969.9,0.9957,-614.1,0.9237,-11198.1,0.8571,-21782.1,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,8640,864,False,2.0,1149,0.472,14.13,0.3577,1.098,16233.6,1.0008,147.6,0.9146,-15938.4,0.8376,-32024.4,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,8640,1728,True,0.0,387,0.159,-75.33,0.5039,0.7562,-29152.9,0.7172,-34570.9,0.6801,-39988.9,0.6447,-45406.9,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,8640,1728,True,2.0,678,0.279,48.64,0.3466,1.2765,32977.7,1.1871,23485.7,1.1061,13993.7,1.0326,4501.7,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,8640,1728,False,0.0,387,0.159,75.33,0.4961,1.3224,29152.9,1.2548,23734.9,1.1909,18316.9,1.1305,12898.9,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,8640,1728,False,2.0,713,0.293,16.93,0.31,1.0902,12070.2,1.0148,2088.2,0.9466,-7893.8,0.8845,-17875.8,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,8640,2880,True,0.0,235,0.097,86.34,0.5532,1.2804,20289.6,1.2301,16999.6,1.1817,13709.6,1.1352,10419.6,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,8640,2880,True,2.0,513,0.211,46.07,0.2788,1.2186,23631.8,1.1452,16449.8,1.0782,9267.8,1.0169,2085.8,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,8640,2880,False,0.0,235,0.097,-86.34,0.4468,0.781,-20289.6,0.7505,-23579.6,0.7212,-26869.6,0.693,-30159.6,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,8640,2880,False,2.0,518,0.213,49.16,0.2664,1.251,25464.9,1.1705,18212.9,1.0977,10960.9,1.0316,3708.9,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,8640,4032,True,0.0,169,0.069,49.68,0.4793,1.1208,8396.6,1.0853,6030.6,1.0509,3664.6,1.0177,1298.6,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,8640,4032,True,2.0,409,0.168,60.9,0.2469,1.2812,24906.5,1.2065,19180.5,1.1384,13454.5,1.0761,7728.5,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,8640,4032,False,0.0,169,0.069,-49.68,0.5207,0.8922,-8396.6,0.8638,-10762.6,0.8364,-13128.6,0.8098,-15494.6,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,8640,4032,False,2.0,416,0.171,65.71,0.238,1.2949,27335.5,1.2215,21511.5,1.1544,15687.5,1.093,9863.5,BTCUSDT,shuffled_s2
prem_z,0,288,0.05,2016,864,True,0.0,786,0.323,-12.52,0.4911,0.9346,-9838.4,0.8664,-20842.4,0.8033,-31846.4,0.7448,-42850.4,BTCUSDT,real
prem_z,0,288,0.05,2016,864,True,2.0,1326,0.545,15.86,0.3575,1.1147,21031.5,1.0126,2467.5,0.9224,-16096.5,0.8422,-34660.5,BTCUSDT,real
prem_z,0,288,0.05,2016,864,False,0.0,786,0.323,12.52,0.5089,1.07,9838.4,0.992,-1165.6,0.9198,-12169.6,0.8529,-23173.6,BTCUSDT,real
prem_z,0,288,0.05,2016,864,False,2.0,1389,0.571,-12.04,0.3168,0.9199,-16727.3,0.8373,-36173.3,0.7642,-55619.3,0.6992,-75065.3,BTCUSDT,real
prem_z,0,288,0.05,2016,1728,True,0.0,398,0.164,-23.52,0.4774,0.9201,-9360.1,0.8757,-14932.1,0.8335,-20504.1,0.7933,-26076.1,BTCUSDT,real
prem_z,0,288,0.05,2016,1728,True,2.0,815,0.335,3.65,0.2798,1.0205,2978.0,0.945,-8432.0,0.8772,-19842.0,0.816,-31252.0,BTCUSDT,real
prem_z,0,288,0.05,2016,1728,False,0.0,398,0.164,23.52,0.5226,1.0868,9360.1,1.0343,3788.1,0.9843,-1783.9,0.9367,-7355.9,BTCUSDT,real
