symbol,feature,horizon,q1_bps,q2_bps,q3_bps,q4_bps,q5_bps
BNBUSDT,lead_1h,24h,30.77,7.11,4.38,6.25,21.03
BNBUSDT,lead_4h,1h,4.05,0.49,-0.01,0.08,-1.72
BNBUSDT,lead_4h,4h,7.76,0.85,0.61,1.46,0.87
BNBUSDT,lead_4h,8h,10.18,2.73,1.67,1.8,6.67
BNBUSDT,lead_4h,12h,14.2,2.99,1.86,2.84,12.7
BNBUSDT,lead_4h,24h,34.73,6.13,6.06,5.2,17.38
XRPUSDT,ret_1h,1h,3.33,-0.13,-0.68,-0.27,-0.63
XRPUSDT,ret_1h,4h,7.75,0.13,-1.16,-1.06,0.78
XRPUSDT,ret_1h,8h,9.76,0.28,0.06,-0.39,3.16
XRPUSDT,ret_1h,12h,10.48,-0.53,0.16,0.14,8.93
XRPUSDT,ret_1h,24h,18.94,-0.17,-1.61,-0.57,21.52
XRPUSDT,ret_4h,1h,1.77,-0.57,-0.02,-0.2,0.62
XRPUSDT,ret_4h,4h,5.5,0.7,0.81,-1.91,1.35
XRPUSDT,ret_4h,8h,5.35,1.35,0.92,-0.72,5.89
XRPUSDT,ret_4h,12h,1.45,1.52,0.25,-1.67,17.52
XRPUSDT,ret_4h,24h,13.73,0.63,-3.77,-3.27,30.75
XRPUSDT,prem,1h,1.88,-0.39,-0.15,-0.16,0.48
XRPUSDT,prem,4h,4.91,-1.4,-0.13,-0.77,3.91
XRPUSDT,prem,8h,6.84,-2.99,0.25,-0.97,9.81
XRPUSDT,prem,12h,9.63,-2.92,-0.82,-2.85,16.23
XRPUSDT,prem,24h,21.73,-4.89,-5.04,-8.0,34.37
XRPUSDT,prem_z,1h,2.63,0.11,-0.43,-0.05,-0.69
XRPUSDT,prem_z,4h,3.82,0.38,0.18,2.16,-0.23
XRPUSDT,prem_z,8h,3.15,-0.71,2.84,5.04,2.32
XRPUSDT,prem_z,12h,4.27,1.5,4.45,6.47,2.33
XRPUSDT,prem_z,24h,17.25,6.52,5.85,6.41,2.2
XRPUSDT,dprem_1h,1h,2.64,-0.49,-0.67,-0.06,0.19
XRPUSDT,dprem_1h,4h,7.38,-1.12,-1.16,-0.78,2.14
XRPUSDT,dprem_1h,8h,10.3,-1.61,-1.69,-0.45,6.32
XRPUSDT,dprem_1h,12h,14.07,-2.33,-2.48,0.27,9.66
XRPUSDT,dprem_1h,24h,25.6,-2.86,-6.15,1.07,20.45
XRPUSDT,dprem_4h,1h,3.43,-0.11,-0.27,-0.22,-1.22
XRPUSDT,dprem_4h,4h,7.38,0.21,-0.85,-0.66,0.37
