sym,feature,horizon,n,q1,q5,spread,abs_spread,monotone,years_same_sign,years,null_1d,beats_1d,null_1w,beats_1w,null_1mo,beats_1mo,beats_all_nulls,clears_taker1x,clears_taker2x,clears_mixed,clears_maker2x
XRPUSDT,size_z,24h,406597,29.073992248734893,-3.972042231458187,-33.04603448019308,33.04603448019308,0.75,4,6,42.338573626409335,False,53.16460307326313,False,44.36320297054226,False,False,True,True,True,True
XRPUSDT,crowd_z,1h,492005,1.7813330561262437,-0.9055732797245456,-2.6869063358507894,2.6869063358507894,0.75,5,6,2.770087647269917,False,3.2501641622244533,False,2.6347325660857033,True,False,False,False,False,False
XRPUSDT,crowd_z,2h,491993,2.4799912412693597,-2.0153912995883383,-4.4953825408576975,4.4953825408576975,1.0,5,6,3.536530965571129,True,5.164197113384887,False,5.406006904321742,False,False,False,False,False,False
XRPUSDT,crowd_z,4h,491969,2.9348579956925667,-4.045904039784163,-6.9807620354767295,6.9807620354767295,0.75,5,6,8.972561744414378,False,9.389560400535256,False,8.754884493950147,False,False,False,False,False,False
XRPUSDT,crowd_z,8h,491921,3.758390971417835,-10.88640075241625,-14.644791723834086,14.644791723834086,0.75,6,6,15.131372874437524,False,19.148673908638756,False,21.63331908815016,False,False,True,False,True,True
XRPUSDT,crowd_z,24h,491729,14.703389148520712,-9.33533407229617,-24.038723220816884,24.038723220816884,0.5,5,6,31.522551278307116,False,44.42458568217387,False,34.41609295924962,False,False,True,False,True,True
XRPUSDT,disagree,1h,406871,-0.4435564624002869,0.034888626200997544,0.47844508860128443,0.47844508860128443,0.75,2,6,3.116359697167994,False,2.5652094278571806,False,2.786682697445401,False,False,False,False,False,False
XRPUSDT,disagree,2h,406859,-0.30983501892561616,-0.070387760403009,0.23944725852260718,0.23944725852260718,0.75,2,6,6.477811580662315,False,5.5259921194853625,False,5.022624061161467,False,False,False,False,False,False
XRPUSDT,disagree,4h,406835,-1.8053191606363916,-1.404878561211346,0.40044059942504573,0.40044059942504573,0.75,2,6,10.496252748078163,False,11.328357097910494,False,7.829428805547777,False,False,False,False,False,False
XRPUSDT,disagree,8h,406787,-4.502533888946049,0.14696800707968055,4.649501896025729,4.649501896025729,0.5,3,6,13.130725298657799,False,22.104409228641487,False,20.101035645710382,False,False,False,False,False,False
XRPUSDT,disagree,24h,406595,3.8469485906797467,4.675640760140967,0.8286921694612199,0.8286921694612199,0.75,4,6,36.184619082308046,False,59.51470213512407,False,50.303918815619134,False,False,False,False,False,False
XRPUSDT,dcrowd_4h,1h,492151,2.2571722785548958,0.27109108802119664,-1.986081190533699,1.986081190533699,0.75,5,6,2.4546028952172465,False,3.0060926784110924,False,3.058561462092645,False,False,False,False,False,False
XRPUSDT,dcrowd_4h,2h,492139,3.7980558968494296,0.6254950109636097,-3.1725608858858196,3.1725608858858196,0.75,5,6,3.5775675212527536,False,7.697013980868872,False,5.877923872458426,False,False,False,False,False,False
XRPUSDT,dcrowd_4h,4h,492115,3.731243768529789,2.414003676212707,-1.317240092317082,1.317240092317082,0.5,5,6,6.922899151567273,False,6.209817868499982,False,8.945227261832974,False,False,False,False,False,False
XRPUSDT,dcrowd_4h,8h,492067,6.2937754156358645,1.5761585860654452,-4.717616829570419,4.717616829570419,0.75,3,6,9.332890659362663,False,19.147285618013846,False,15.462698774684654,False,False,False,False,False,False
XRPUSDT,dcrowd_4h,24h,491875,27.711948421079345,4.5217809527445745,-23.19016746833477,23.19016746833477,0.5,6,6,18.80940099482921,True,27.554412572111463,False,32.54181107021939,False,False,True,False,True,True
DOGEUSDT,size_z,1h,407018,0.7851378459780487,-1.1471006702030726,-1.9322385161811213,1.9322385161811213,0.5,4,6,3.995753344834636,False,3.536531378860965,False,4.61098998832232,False,False,False,False,False,False
DOGEUSDT,size_z,2h,407006,1.6865504632136397,-1.1481733515333945,-2.834723814747034,2.834723814747034,0.75,3,6,9.947368406459631,False,6.686199537666601,False,5.969129360271099,False,False,False,False,False,False
DOGEUSDT,size_z,4h,406982,2.7323556151589705,-0.015223614974257628,-2.747579230133228,2.747579230133228,0.5,3,6,8.807426660317976,False,20.492718393843887,False,7.986583038057315,False,False,False,False,False,False
DOGEUSDT,size_z,8h,406934,2.092552102718561,0.8904050615967282,-1.2021470411218331,1.2021470411218331,0.75,4,6,21.344331460182218,False,20.897902095683683,False,20.683260407186797,False,False,False,False,False,False
