sym,universe,horizon,combo,n_test,n_feat,spread,abs_spread,best_single,best_single_feature,lift_vs_best,null_max,beats_null,clears_taker1x,clears_taker2x,clears_mixed,clears_maker2x
BTCUSDT,no_depth,1h,equal_all,37278,16,5.402917707732573,5.402917707732573,3.619718927219826,size_z,1.7831987805127474,2.577467277755539,True,False,False,False,False
BTCUSDT,no_depth,1h,ic_weighted,37278,16,5.930953022361897,5.930953022361897,3.619718927219826,size_z,2.311234095142071,2.774984499948111,True,False,False,False,False
BTCUSDT,no_depth,1h,equal_top3,37278,16,4.1354649449767535,4.1354649449767535,3.619718927219826,size_z,0.5157460177569275,3.8710164357265913,True,False,False,False,False
BTCUSDT,no_depth,1h,equal_top5,37278,16,5.264213913301498,5.264213913301498,3.619718927219826,size_z,1.6444949860816722,2.565786972676629,True,False,False,False,False
BTCUSDT,no_depth,1h,equal_top8,37278,16,6.43323074285919,6.43323074285919,3.619718927219826,size_z,2.813511815639364,2.689454034005899,True,False,False,False,False
BTCUSDT,no_depth,2h,equal_all,37278,16,8.102613566715567,8.102613566715567,8.663580671583338,dvolz,-0.5609671048677711,3.947285213930331,True,False,False,False,True
BTCUSDT,no_depth,2h,ic_weighted,37278,16,6.819623328209196,6.819623328209196,8.663580671583338,dvolz,-1.843957343374142,4.147311820820728,True,False,False,False,False
BTCUSDT,no_depth,2h,equal_top3,37278,16,3.923300631766513,3.923300631766513,8.663580671583338,dvolz,-4.740280039816825,4.6212561108729355,False,False,False,False,False
BTCUSDT,no_depth,2h,equal_top5,37278,16,7.2703309278230694,7.2703309278230694,8.663580671583338,dvolz,-1.3932497437602684,5.502515401312149,True,False,False,False,False
BTCUSDT,no_depth,2h,equal_top8,37278,16,5.140421311828099,5.140421311828099,8.663580671583338,dvolz,-3.5231593597552386,3.585647380574189,True,False,False,False,False
BTCUSDT,no_depth,4h,equal_all,37278,16,6.152632172461088,6.152632172461088,11.227902215741558,size_z,-5.0752700432804705,8.54029454639613,False,False,False,False,False
BTCUSDT,no_depth,4h,ic_weighted,37278,16,6.817240128874006,6.817240128874006,11.227902215741558,size_z,-4.410662086867553,7.41895552540784,False,False,False,False,False
BTCUSDT,no_depth,4h,equal_top3,37278,16,2.3554234932276588,2.3554234932276588,11.227902215741558,size_z,-8.8724787225139,5.368428708914776,False,False,False,False,False
BTCUSDT,no_depth,4h,equal_top5,37278,16,8.11703498456464,8.11703498456464,11.227902215741558,size_z,-3.1108672311769183,9.726080043768015,False,False,False,False,True
BTCUSDT,no_depth,4h,equal_top8,37278,16,5.061138545734387,5.061138545734387,11.227902215741558,size_z,-6.166763670007171,8.478499315528511,False,False,False,False,False
BTCUSDT,all,1h,equal_all,28988,22,2.4366789587027107,2.4366789587027107,4.729840523038281,imbz_5,-2.2931615643355707,3.4425358542942917,False,False,False,False,False
BTCUSDT,all,1h,ic_weighted,28988,22,3.734439137929159,3.734439137929159,4.729840523038281,imbz_5,-0.9954013851091226,3.5152163589279755,True,False,False,False,False
BTCUSDT,all,1h,equal_top3,28988,22,4.965624258757281,4.965624258757281,4.729840523038281,imbz_5,0.23578373571900002,5.186818101748858,False,False,False,False,False
BTCUSDT,all,1h,equal_top5,28988,22,4.3580524554562565,4.3580524554562565,4.729840523038281,imbz_5,-0.3717880675820249,4.087183900413461,True,False,False,False,False
BTCUSDT,all,1h,equal_top8,28988,22,3.426399209954184,3.426399209954184,4.729840523038281,imbz_5,-1.3034413130840976,5.338698977522004,False,False,False,False,False
BTCUSDT,all,2h,equal_all,28988,22,6.572811488447522,6.572811488447522,9.964598158840161,dvolz,-3.391786670392639,7.334112835106152,False,False,False,False,False
BTCUSDT,all,2h,ic_weighted,28988,22,7.177766507721982,7.177766507721982,9.964598158840161,dvolz,-2.786831651118179,8.687450285119224,False,False,False,False,False
BTCUSDT,all,2h,equal_top3,28988,22,1.5312840945689423,1.5312840945689423,9.964598158840161,dvolz,-8.433314064271219,7.784830888678439,False,False,False,False,False
BTCUSDT,all,2h,equal_top5,28988,22,4.702806380108729,4.702806380108729,9.964598158840161,dvolz,-5.261791778731432,10.414665154145222,False,False,False,False,False
BTCUSDT,all,2h,equal_top8,28988,22,6.869750042419303,6.869750042419303,9.964598158840161,dvolz,-3.0948481164208577,6.605884105884717,True,False,False,False,False
BTCUSDT,all,4h,equal_all,28988,22,9.68654493044043,9.68654493044043,14.615257739429532,size_z,-4.928712808989102,6.169931174570326,True,False,False,True,True
BTCUSDT,all,4h,ic_weighted,28988,22,9.231920984908344,9.231920984908344,14.615257739429532,size_z,-5.3833367545211885,7.510658787173693,True,False,False,True,True
BTCUSDT,all,4h,equal_top3,28988,22,7.833149368312963,7.833149368312963,14.615257739429532,size_z,-6.7821083711165695,7.742760478111421,True,False,False,False,False
BTCUSDT,all,4h,equal_top5,28988,22,7.402239948830633,7.402239948830633,14.615257739429532,size_z,-7.213017790598899,11.388800442969535,False,False,False,False,False
BTCUSDT,all,4h,equal_top8,28988,22,8.826056115214659,8.826056115214659,14.615257739429532,size_z,-5.789201624214874,14.080064650662283,False,False,False,False,True
