symbol,tf,quarter,train_pf_2x,cfg,test_pf_2x,test_trades
BTCUSDT,1h,2020-10-01,2.0717,254,1.1646,14
BTCUSDT,1h,2021-01-01,1.6685,254,1.9828,12
BTCUSDT,1h,2021-04-01,2.3573,254,2.2716,11
BTCUSDT,1h,2021-07-01,2.9064,537,1.6621,11
BTCUSDT,1h,2021-10-01,2.4259,107,1.2548,11
BTCUSDT,1h,2022-01-01,2.5301,369,0.6482,14
BTCUSDT,1h,2022-04-01,1.8676,369,0.9329,14
BTCUSDT,1h,2022-07-01,1.7771,107,0.6417,12
BTCUSDT,1h,2022-10-01,1.3709,107,0.7144,12
BTCUSDT,1h,2023-01-01,1.7752,424,1.0973,13
BTCUSDT,1h,2023-04-01,1.7711,638,9.6247,13
BTCUSDT,1h,2023-07-01,1.3805,637,1.9776,17
BTCUSDT,1h,2023-10-01,1.9144,588,0.1916,16
BTCUSDT,1h,2024-01-01,1.8652,157,3.9402,13
BTCUSDT,1h,2024-04-01,2.3574,212,1.403,13
BTCUSDT,1h,2024-07-01,3.5676,206,0.7976,15
BTCUSDT,1h,2024-10-01,2.4478,206,0.6612,14
BTCUSDT,1h,2025-01-01,2.0737,152,1.0491,14
BTCUSDT,1h,2025-04-01,1.9137,98,2.0235,12
BTCUSDT,1h,2025-07-01,2.0384,44,1.1396,14
BTCUSDT,1h,2025-10-01,1.6145,103,0.3957,11
BTCUSDT,1h,2026-01-01,2.1085,539,0.7756,12
BTCUSDT,1h,2026-04-01,1.7633,48,0.1495,12
BTCUSDT,4h,2018-10-01,1.5244,142,0.4538,12
BTCUSDT,4h,2019-01-01,1.5582,634,0.2383,14
BTCUSDT,4h,2019-04-01,1.6918,69,0.4783,17
BTCUSDT,4h,2019-07-01,1.8738,539,0.4924,5
BTCUSDT,4h,2019-10-01,1.6374,438,1.1944,14
BTCUSDT,4h,2020-01-01,1.5058,492,1.7723,16
BTCUSDT,4h,2020-04-01,1.6998,438,0.2613,11
BTCUSDT,4h,2020-07-01,1.4204,445,1.3649,10
BTCUSDT,4h,2020-10-01,1.6857,446,0.675,8
BTCUSDT,4h,2021-01-01,1.7839,635,264.9949,12
BTCUSDT,4h,2021-04-01,3.2896,635,0.4613,12
BTCUSDT,4h,2021-07-01,3.814,635,1.1578,12
BTCUSDT,4h,2021-10-01,3.2235,633,0.8642,14
BTCUSDT,4h,2022-01-01,1.9895,363,0.2465,13
BTCUSDT,4h,2022-04-01,1.1201,56,0.8085,16
BTCUSDT,4h,2022-07-01,1.4053,101,0.2413,9
BTCUSDT,4h,2022-10-01,1.1769,431,0.4723,13
BTCUSDT,4h,2023-01-01,0.9568,423,1.8581,11
BTCUSDT,4h,2023-04-01,1.3598,410,2.5621,12
BTCUSDT,4h,2023-07-01,1.5672,410,1.4293,13
BTCUSDT,4h,2023-10-01,2.6676,317,0.8121,7
BTCUSDT,4h,2024-01-01,2.8078,315,0.9038,7
BTCUSDT,4h,2024-04-01,2.2697,487,0.9911,12
BTCUSDT,4h,2024-07-01,2.0311,303,1.4301,8
BTCUSDT,4h,2024-10-01,1.7362,487,0.728,18
BTCUSDT,4h,2025-01-01,2.2943,448,0.404,11
BTCUSDT,4h,2025-04-01,1.6716,503,1.106,9
BTCUSDT,4h,2025-07-01,1.7569,503,7.7271,11
BTCUSDT,4h,2025-10-01,2.4399,446,2.5254,11
BTCUSDT,4h,2026-01-01,2.3509,438,0.3742,6
BTCUSDT,4h,2026-04-01,3.6192,507,1.6284,13
ETHUSDT,1h,2020-04-01,1.7427,585,1.7423,14
