symbol,feature,horizon,ic,null_best,beats_null,spread_bps,monotone,clears_2x,same_sign_years,n
ETHUSDT,disp,1h,-0.0014,0.0075,False,0.96,0.5,False,0.33,41117
ETHUSDT,disp,4h,-0.00107,0.01478,False,3.32,0.75,False,0.5,41114
ETHUSDT,disp,8h,-0.0041,0.01039,False,0.39,0.5,False,0.67,41110
ETHUSDT,disp,24h,-0.01017,0.01363,False,-7.33,0.75,False,0.5,41094
ETHUSDT,sys_gap,1h,0.00182,0.00683,False,2.51,0.5,False,0.83,33891
ETHUSDT,sys_gap,4h,0.00912,0.01738,False,10.45,1.0,False,0.67,33888
ETHUSDT,sys_gap,8h,0.00878,0.01657,False,16.48,0.75,False,0.67,33884
ETHUSDT,sys_gap,24h,0.01239,0.0211,False,26.44,0.75,False,0.67,33868
ETHUSDT,idio,1h,0.0042,0.00474,False,-4.09,1.0,False,0.83,41117
ETHUSDT,idio,4h,-0.0011,0.00989,False,-10.91,1.0,False,0.5,41114
ETHUSDT,idio,8h,-0.00482,0.01471,False,-15.27,0.75,False,0.5,41110
ETHUSDT,idio,24h,-0.01954,0.02165,False,-37.48,0.5,True,0.67,41094
ETHUSDT,dsys_12,1h,-0.00454,0.00626,False,-1.27,0.5,False,0.5,41107
ETHUSDT,dsys_12,4h,0.00028,0.0054,False,-2.02,0.5,False,0.67,41104
ETHUSDT,dsys_12,8h,-0.00586,0.00823,False,-4.17,0.5,False,0.67,41100
ETHUSDT,dsys_12,24h,-0.0076,0.00766,False,-6.93,0.75,False,0.67,41084
ETHUSDT,down_12,1h,-0.01022,0.01223,False,-3.62,0.75,False,0.67,41107
ETHUSDT,down_12,4h,-0.01334,0.01073,True,-7.67,0.75,False,0.83,41104
ETHUSDT,down_12,8h,-0.0121,0.01069,True,-9.78,0.75,False,0.83,41100
ETHUSDT,down_12,24h,-0.0083,0.01136,False,-9.19,0.5,False,0.67,41084
ETHUSDT,dsys_48,1h,0.00191,0.00569,False,-1.74,0.75,False,0.67,41101
ETHUSDT,dsys_48,4h,-0.0034,0.00835,False,-7.92,0.5,False,0.5,41098
ETHUSDT,dsys_48,8h,-0.01428,0.01149,True,-13.05,0.75,False,0.67,41094
ETHUSDT,dsys_48,24h,-0.00506,0.00904,False,-3.55,0.5,False,0.67,41078
ETHUSDT,down_48,1h,-0.00719,0.00685,True,-4.05,0.75,False,0.67,41101
ETHUSDT,down_48,4h,-0.01367,0.01456,False,-9.35,0.75,False,0.83,41098
ETHUSDT,down_48,8h,-0.01754,0.01433,True,-11.45,0.5,False,0.83,41094
ETHUSDT,down_48,24h,-0.0075,0.01632,False,-7.58,0.75,False,0.67,41078
ETHUSDT,dsys_144,1h,-0.00341,0.00513,False,-2.47,0.5,False,0.5,41085
ETHUSDT,dsys_144,4h,-0.02194,0.01665,True,-12.75,0.75,False,1.0,41082
ETHUSDT,dsys_144,8h,-0.03919,0.00717,True,-24.52,0.75,False,1.0,41078
ETHUSDT,dsys_144,24h,-0.00074,0.01867,False,-14.66,0.75,False,0.5,41062
ETHUSDT,down_144,1h,-0.00135,0.00404,False,-3.99,1.0,False,0.5,41085
ETHUSDT,down_144,4h,-0.01818,0.01663,True,-14.7,0.75,False,0.83,41082
ETHUSDT,down_144,8h,-0.02648,0.01465,True,-20.53,0.75,False,0.83,41078
ETHUSDT,down_144,24h,-0.00551,0.00934,False,-20.1,0.75,False,0.5,41062
SOLUSDT,own,1h,-0.00033,0.00367,False,-2.08,0.5,False,0.5,40995
SOLUSDT,own,4h,-0.01185,0.00826,True,-7.81,0.5,False,0.67,40992
SOLUSDT,own,8h,-0.0248,0.01059,True,-13.49,0.5,False,0.83,40988
SOLUSDT,own,24h,-0.02832,0.00776,True,-34.68,0.75,True,1.0,40972
SOLUSDT,sys,1h,-0.0064,0.00437,True,-6.26,0.75,False,0.83,40997
SOLUSDT,sys,4h,-0.02043,0.0171,True,-18.56,1.0,False,0.83,40994
SOLUSDT,sys,8h,-0.03247,0.016,True,-31.31,1.0,True,0.83,40990
SOLUSDT,sys,24h,-0.01766,0.02463,False,-34.45,0.75,True,0.5,40974
SOLUSDT,breadth,1h,-0.00308,0.00576,False,-5.43,0.75,False,0.33,40997
SOLUSDT,breadth,4h,-0.01731,0.01849,False,-15.46,1.0,False,0.67,40994
SOLUSDT,breadth,8h,-0.0296,0.01516,True,-32.32,1.0,True,0.83,40990
SOLUSDT,breadth,24h,-0.01936,0.02348,False,-38.99,1.0,True,0.5,40974
SOLUSDT,disp,1h,-0.00601,0.00928,False,0.12,0.5,False,0.67,40997
SOLUSDT,disp,4h,-0.00539,0.01205,False,-0.13,0.5,False,0.83,40994
SOLUSDT,disp,8h,0.00023,0.02191,False,-2.76,0.75,False,0.33,40990
SOLUSDT,disp,24h,-0.02017,0.01483,True,-31.59,0.75,True,0.83,40974
SOLUSDT,sys_gap,1h,0.00531,0.0074,False,3.88,0.75,False,0.83,33891
SOLUSDT,sys_gap,4h,0.01449,0.02133,False,13.69,1.0,False,0.83,33888
SOLUSDT,sys_gap,8h,0.01915,0.01892,True,19.47,0.75,False,0.83,33884
SOLUSDT,sys_gap,24h,0.01278,0.03582,False,3.76,0.5,False,0.67,33868
SOLUSDT,idio,1h,0.00492,0.00293,True,0.15,0.5,False,0.67,40995
SOLUSDT,idio,4h,-0.00022,0.01044,False,1.03,0.5,False,0.5,40992
SOLUSDT,idio,8h,-0.00541,0.02257,False,1.81,0.75,False,0.5,40988
SOLUSDT,idio,24h,-0.0221,0.01084,True,-13.41,0.75,False,0.83,40972
SOLUSDT,dsys_12,1h,-0.01434,0.00776,True,-5.31,0.75,False,0.67,40987
SOLUSDT,dsys_12,4h,-0.00558,0.00571,False,-4.38,0.5,False,0.67,40984
SOLUSDT,dsys_12,8h,-0.00651,0.00672,False,1.12,0.75,False,0.5,40980
SOLUSDT,dsys_12,24h,-0.00807,0.00766,True,-6.31,0.75,False,0.83,40964
SOLUSDT,down_12,1h,-0.01103,0.0066,True,-4.38,0.75,False,0.67,40982
SOLUSDT,down_12,4h,-0.00148,0.00924,False,-6.19,0.5,False,0.67,40979
SOLUSDT,down_12,8h,-0.00331,0.00817,False,-6.79,0.5,False,0.5,40975
SOLUSDT,down_12,24h,-0.00104,0.00279,False,-6.21,0.75,False,0.5,40959
SOLUSDT,dsys_48,1h,-0.00401,0.00843,False,-1.99,0.75,False,0.67,40981
SOLUSDT,dsys_48,4h,-0.00135,0.00576,False,-1.65,0.5,False,0.67,40978
SOLUSDT,dsys_48,8h,-0.00901,0.01125,False,-1.01,0.5,False,0.67,40974
SOLUSDT,dsys_48,24h,-0.00717,0.00838,False,0.53,0.5,False,0.83,40958
SOLUSDT,down_48,1h,-0.0031,0.01001,False,-1.76,0.5,False,0.83,40978
SOLUSDT,down_48,4h,0.00198,0.00948,False,-3.89,0.5,False,0.67,40975
SOLUSDT,down_48,8h,-0.00246,0.00792,False,-5.27,0.75,False,0.5,40971
SOLUSDT,down_48,24h,-0.00639,0.00858,False,-6.5,0.75,False,0.67,40955
SOLUSDT,dsys_144,1h,-0.00391,0.0066,False,-1.13,0.75,False,1.0,40965
SOLUSDT,dsys_144,4h,-0.01977,0.01831,True,-10.91,0.75,False,1.0,40962
SOLUSDT,dsys_144,8h,-0.03677,0.01432,True,-23.45,0.75,False,1.0,40958
SOLUSDT,dsys_144,24h,-0.01122,0.02356,False,-19.58,0.75,False,0.83,40942
SOLUSDT,down_144,1h,0.00025,0.01181,False,-3.27,0.5,False,0.5,40962
SOLUSDT,down_144,4h,-0.00802,0.01374,False,-7.75,0.5,False,0.67,40959
SOLUSDT,down_144,8h,-0.01664,0.00721,True,-11.07,0.75,False,0.5,40955
SOLUSDT,down_144,24h,-0.00748,0.01289,False,-6.73,0.5,False,0.67,40939
BNBUSDT,own,1h,0.00596,0.00433,True,-2.17,1.0,False,0.5,41141
BNBUSDT,own,4h,0.00785,0.01134,False,-6.1,0.75,False,0.67,41138
BNBUSDT,own,8h,0.00088,0.01249,False,-10.56,1.0,False,0.33,41134
BNBUSDT,own,24h,-0.00401,0.00835,False,-18.47,0.75,False,0.5,41118
BNBUSDT,sys,1h,0.00884,0.0048,True,-2.67,0.75,False,0.67,41141
BNBUSDT,sys,4h,0.00566,0.01386,False,-6.65,1.0,False,0.5,41138
BNBUSDT,sys,8h,-5e-05,0.00602,False,-11.02,0.75,False,0.5,41134
BNBUSDT,sys,24h,0.01312,0.01053,True,-4.17,0.5,False,0.67,41118
BNBUSDT,breadth,1h,0.00874,0.00791,True,-2.51,0.75,False,0.67,41141
