gate,trades,pf_2x,total_r,maxdd_r,ret_dd,r_per_day,tpd
sys,3403,1.6559807705858685,1445.6468415808927,-44.58008952982567,32.42808295873213,0.865656791365804,2.037724550898204
breadth,3410,1.6648286764582871,1467.318150047294,-48.66208295038882,30.15321295521259,0.8786336227828108,2.0419161676646707
dsys_12,3046,1.5951208029935315,1249.7204484846409,-50.975319099095145,24.51618686398423,0.7483355978949945,1.8239520958083832
dsys_48,3058,1.6567648897039668,1356.2932875763431,-52.8997502530068,25.638935554317705,0.8121516692073911,1.8311377245508982
dsys_144,3033,1.6783177388487591,1361.2384853087178,-48.145394404982426,28.273493282835112,0.8146250660135953,1.81508078994614
sys_gap,2397,1.2998412372441595,497.8666022883799,-48.754213800627895,10.21176557834203,0.29812371394513765,1.4353293413173653
