symbol,tf,anchor,entry_level,stop_k,target_mode,rr,min_risk_bps,flow_mode,crowd_mode,revert,trades,tpd,win_rate,avg_r,pf_0x,pf_1x,pf_2x,maxdd_r_2x,total_r_2x,pf_3x
BTCUSDT,15m,D,1,1.0,1,1.0,50.0,0,0,1,13420,5.514,0.4925,-0.2039,0.9706,0.6614,0.4371,-5272.43,-5271.9,0.267
BTCUSDT,15m,D,1,1.0,1,1.0,50.0,0,0,0,15108,6.207,0.4921,-0.1988,0.9698,0.6686,0.4488,-5780.11,-5776.9,0.2813
BTCUSDT,15m,D,1,1.0,1,1.0,50.0,0,1,1,6863,2.82,0.4921,-0.2034,0.9694,0.6618,0.4379,-2686.16,-2685.7,0.2677
BTCUSDT,15m,D,1,1.0,1,1.0,50.0,0,1,0,7686,3.158,0.4913,-0.2008,0.9652,0.6663,0.4483,-2953.66,-2951.6,0.2823
BTCUSDT,15m,D,1,1.0,1,1.0,50.0,1,0,1,10144,4.168,0.4895,-0.207,0.9583,0.6572,0.438,-3984.51,-3984.5,0.2712
BTCUSDT,15m,D,1,1.0,1,1.0,50.0,1,0,0,11327,4.654,0.4982,-0.1837,0.9942,0.6891,0.4654,-4131.12,-4128.2,0.2943
BTCUSDT,15m,D,1,1.0,1,1.0,50.0,1,1,1,5011,2.059,0.4897,-0.2043,0.9605,0.6608,0.4419,-1946.5,-1946.5,0.2751
BTCUSDT,15m,D,1,1.0,1,1.0,50.0,1,1,0,5524,2.27,0.4993,-0.1809,0.9981,0.6929,0.4691,-1995.73,-1993.4,0.2981
BTCUSDT,15m,D,1,1.0,1,1.0,100.0,0,0,1,3746,1.539,0.4947,-0.1248,0.9798,0.7767,0.6117,-900.24,-897.4,0.4752
BTCUSDT,15m,D,1,1.0,1,1.0,100.0,0,0,0,4278,1.758,0.5014,-0.1072,1.0111,0.8048,0.6369,-944.8,-940.5,0.4975
BTCUSDT,15m,D,1,1.0,1,1.0,100.0,0,1,1,1931,0.793,0.479,-0.1544,0.9212,0.7318,0.5777,-517.65,-517.7,0.4499
BTCUSDT,15m,D,1,1.0,1,1.0,100.0,0,1,0,2191,0.9,0.5039,-0.1041,1.0159,0.8097,0.6416,-481.8,-473.4,0.5019
BTCUSDT,15m,D,1,1.0,1,1.0,100.0,1,0,1,2965,1.218,0.4907,-0.1319,0.9627,0.7653,0.6046,-731.24,-726.3,0.4713
BTCUSDT,15m,D,1,1.0,1,1.0,100.0,1,0,0,3333,1.369,0.5008,-0.1069,1.0084,0.805,0.6391,-729.4,-726.2,0.5012
BTCUSDT,15m,D,1,1.0,1,1.0,100.0,1,1,1,1501,0.617,0.4957,-0.1192,0.9852,0.7848,0.6214,-350.31,-346.8,0.4856
BTCUSDT,15m,D,1,1.0,1,1.0,100.0,1,1,0,1653,0.679,0.4997,-0.1097,1.001,0.8,0.6359,-371.21,-363.6,0.4996
BTCUSDT,15m,D,1,1.0,1,2.0,25.0,0,0,1,14644,6.016,0.3259,-0.2815,0.955,0.665,0.4718,-7803.26,-7800.6,0.3339
BTCUSDT,15m,D,1,1.0,1,2.0,25.0,0,0,0,15332,6.299,0.3204,-0.2918,0.933,0.6548,0.469,-8255.19,-8251.6,0.3361
BTCUSDT,15m,D,1,1.0,1,2.0,25.0,0,1,1,8399,3.451,0.3243,-0.2941,0.9479,0.6524,0.4572,-4647.51,-4646.0,0.3186
BTCUSDT,15m,D,1,1.0,1,2.0,25.0,0,1,0,8730,3.587,0.3241,-0.2887,0.9508,0.6587,0.4661,-4756.95,-4751.7,0.3294
BTCUSDT,15m,D,1,1.0,1,2.0,25.0,1,0,1,11690,4.803,0.3235,-0.2872,0.9427,0.6587,0.4691,-6262.54,-6262.2,0.3336
BTCUSDT,15m,D,1,1.0,1,2.0,25.0,1,0,0,12128,4.983,0.3235,-0.2818,0.943,0.6641,0.4771,-6373.97,-6369.5,0.343
BTCUSDT,15m,D,1,1.0,1,2.0,25.0,1,1,1,6224,2.557,0.3281,-0.2769,0.9637,0.669,0.4731,-3295.41,-3295.3,0.3335
BTCUSDT,15m,D,1,1.0,1,2.0,25.0,1,1,0,6453,2.651,0.3281,-0.2728,0.9652,0.674,0.4803,-3380.25,-3371.1,0.3423
BTCUSDT,15m,D,1,1.0,1,2.0,50.0,0,0,1,10432,4.286,0.3212,-0.2364,0.9298,0.7059,0.5436,-4439.3,-4437.5,0.4207
BTCUSDT,15m,D,1,1.0,1,2.0,50.0,0,0,0,11037,4.535,0.3227,-0.2285,0.9394,0.7146,0.5516,-4597.22,-4594.0,0.428
BTCUSDT,15m,D,1,1.0,1,2.0,50.0,0,1,1,5680,2.334,0.3181,-0.2454,0.9154,0.6955,0.5358,-2462.02,-2461.9,0.4147
BTCUSDT,15m,D,1,1.0,1,2.0,50.0,0,1,0,5949,2.444,0.3227,-0.227,0.9408,0.7164,0.5538,-2465.02,-2463.7,0.4305
BTCUSDT,15m,D,1,1.0,1,2.0,50.0,1,0,1,8286,3.404,0.3228,-0.2299,0.9344,0.7123,0.5508,-3444.19,-3443.5,0.428
BTCUSDT,15m,D,1,1.0,1,2.0,50.0,1,0,0,8710,3.578,0.3245,-0.2233,0.9419,0.7198,0.558,-3553.47,-3549.4,0.4349
BTCUSDT,15m,D,1,1.0,1,2.0,50.0,1,1,1,4273,1.756,0.3237,-0.2257,0.938,0.7161,0.5542,-1751.66,-1751.5,0.431
BTCUSDT,15m,D,1,1.0,1,2.0,50.0,1,1,0,4440,1.824,0.3261,-0.2155,0.9514,0.7282,0.5655,-1776.66,-1769.8,0.4417
BTCUSDT,15m,D,1,1.0,1,2.0,100.0,0,0,1,2972,1.221,0.324,-0.1781,0.905,0.7599,0.6425,-874.45,-871.6,0.5456
BTCUSDT,15m,D,1,1.0,1,2.0,100.0,0,0,0,3145,1.292,0.3367,-0.1339,0.9717,0.8159,0.69,-790.51,-784.4,0.5862
BTCUSDT,15m,D,1,1.0,1,2.0,100.0,0,1,1,1629,0.669,0.3155,-0.2087,0.8586,0.7213,0.61,-534.02,-525.6,0.5181
BTCUSDT,15m,D,1,1.0,1,2.0,100.0,0,1,0,1684,0.692,0.3373,-0.1251,0.9836,0.8269,0.7001,-412.14,-403.5,0.5956
BTCUSDT,15m,D,1,1.0,1,2.0,100.0,1,0,1,2503,1.028,0.3292,-0.1639,0.9228,0.7766,0.658,-697.34,-693.4,0.5599
BTCUSDT,15m,D,1,1.0,1,2.0,100.0,1,0,0,2575,1.058,0.3351,-0.1465,0.9496,0.7988,0.6765,-675.04,-669.7,0.5756
BTCUSDT,15m,D,1,1.0,1,2.0,100.0,1,1,1,1310,0.538,0.329,-0.1682,0.9143,0.7692,0.6514,-376.88,-367.4,0.554
BTCUSDT,15m,D,1,1.0,1,2.0,100.0,1,1,0,1335,0.548,0.3288,-0.159,0.9293,0.7826,0.6637,-368.59,-362.7,0.5655
BTCUSDT,15m,D,1,1.0,2,0.0,25.0,0,0,1,7240,2.975,0.1412,-0.3941,0.8266,0.6316,0.503,-4659.92,-4637.8,0.4118
BTCUSDT,15m,D,1,1.0,2,0.0,25.0,0,0,0,7948,3.265,0.1295,-0.4083,0.8264,0.6274,0.4977,-5320.24,-5296.1,0.4065
BTCUSDT,15m,D,1,1.0,2,0.0,25.0,0,1,1,5204,2.138,0.1409,-0.3475,0.8919,0.6779,0.538,-3148.69,-3136.8,0.4396
BTCUSDT,15m,D,1,1.0,2,0.0,25.0,0,1,0,5208,2.14,0.1279,-0.4046,0.8436,0.635,0.5011,-3545.77,-3507.4,0.4079
BTCUSDT,15m,D,1,1.0,2,0.0,25.0,1,0,1,6624,2.721,0.1374,-0.4438,0.7658,0.5862,0.4672,-4587.71,-4551.7,0.3825
BTCUSDT,15m,D,1,1.0,2,0.0,25.0,1,0,0,6806,2.796,0.1386,-0.3437,0.8943,0.6814,0.5418,-4083.37,-4062.9,0.4432
BTCUSDT,15m,D,1,1.0,2,0.0,25.0,1,1,1,4318,1.774,0.1376,-0.4093,0.8128,0.6197,0.4926,-2843.45,-2843.4,0.4027
BTCUSDT,15m,D,1,1.0,2,0.0,25.0,1,1,0,4145,1.703,0.139,-0.3291,0.9225,0.6974,0.5519,-2504.87,-2453.9,0.4503
BTCUSDT,15m,D,1,1.0,2,0.0,50.0,0,0,1,5639,2.317,0.1692,-0.3154,0.8401,0.6774,0.5596,-2824.43,-2816.4,0.4705
BTCUSDT,15m,D,1,1.0,2,0.0,50.0,0,0,0,6207,2.55,0.1542,-0.342,0.8264,0.6608,0.5428,-3354.18,-3341.2,0.4545
BTCUSDT,15m,D,1,1.0,2,0.0,50.0,0,1,1,3850,1.582,0.1678,-0.3217,0.8338,0.6718,0.5545,-1950.12,-1950.1,0.4659
BTCUSDT,15m,D,1,1.0,2,0.0,50.0,0,1,0,3769,1.548,0.1611,-0.311,0.8615,0.6889,0.5659,-1922.17,-1909.9,0.4739
BTCUSDT,15m,D,1,1.0,2,0.0,50.0,1,0,1,5092,2.092,0.1671,-0.3624,0.7805,0.6296,0.5199,-2778.17,-2769.8,0.4368
BTCUSDT,15m,D,1,1.0,2,0.0,50.0,1,0,0,5313,2.183,0.1639,-0.3107,0.8571,0.6869,0.565,-2685.08,-2671.7,0.4736
BTCUSDT,15m,D,1,1.0,2,0.0,50.0,1,1,1,3179,1.306,0.1651,-0.3649,0.7778,0.6273,0.518,-1737.67,-1737.7,0.4351
BTCUSDT,15m,D,1,1.0,2,0.0,50.0,1,1,0,2992,1.229,0.1761,-0.2502,0.9266,0.7435,0.6122,-1353.88,-1317.7,0.5136
BTCUSDT,15m,D,1,1.0,2,0.0,100.0,0,0,1,2309,0.949,0.2434,-0.2136,0.865,0.74,0.6393,-767.38,-757.5,0.5565
BTCUSDT,15m,D,1,1.0,2,0.0,100.0,0,0,0,2366,0.972,0.2342,-0.2085,0.881,0.7519,0.6484,-784.71,-775.9,0.5637
BTCUSDT,15m,D,1,1.0,2,0.0,100.0,0,1,1,1402,0.576,0.2418,-0.2239,0.8499,0.7277,0.6291,-480.32,-472.9,0.5479
BTCUSDT,15m,D,1,1.0,2,0.0,100.0,0,1,0,1353,0.556,0.252,-0.1253,0.9898,0.8467,0.7318,-346.44,-329.0,0.6377
BTCUSDT,15m,D,1,1.0,2,0.0,100.0,1,0,1,2023,0.831,0.2506,-0.1901,0.8931,0.7656,0.6626,-619.61,-612.2,0.5777
BTCUSDT,15m,D,1,1.0,2,0.0,100.0,1,0,0,2023,0.831,0.2422,-0.187,0.9053,0.7747,0.6696,-621.5,-614.7,0.5832
BTCUSDT,15m,D,1,1.0,2,0.0,100.0,1,1,1,1169,0.48,0.2506,-0.2176,0.8534,0.7302,0.6305,-391.63,-385.0,0.5483
BTCUSDT,15m,D,1,1.0,2,0.0,100.0,1,1,0,1122,0.461,0.2531,-0.1327,0.9758,0.8365,0.7243,-289.19,-278.1,0.6323
BTCUSDT,15m,D,1,2.0,0,0.0,25.0,0,0,1,15561,6.393,0.5939,-0.0562,1.3539,0.8397,0.4998,-3351.22,-3350.4,0.2937
BTCUSDT,15m,D,1,2.0,0,0.0,25.0,0,0,0,12819,5.267,0.2328,-0.5224,0.3254,0.1802,0.1085,-8994.54,-8994.5,0.07
BTCUSDT,15m,D,1,2.0,0,0.0,25.0,0,1,1,8162,3.353,0.5893,-0.0488,1.3969,0.86,0.507,-1731.81,-1731.5,0.2948
BTCUSDT,15m,D,1,2.0,0,0.0,25.0,0,1,0,7755,3.186,0.2432,-0.5143,0.3543,0.1979,0.1199,-5426.29,-5424.6,0.0776
BTCUSDT,15m,D,1,2.0,0,0.0,25.0,1,0,1,11812,4.853,0.5875,-0.0693,1.2813,0.8065,0.4884,-2634.16,-2633.9,0.2919
BTCUSDT,15m,D,1,2.0,0,0.0,25.0,1,0,0,10637,4.37,0.2384,-0.5047,0.3368,0.1909,0.1179,-7204.81,-7204.8,0.0775
BTCUSDT,15m,D,1,2.0,0,0.0,25.0,1,1,1,5998,2.464,0.5882,-0.0569,1.3322,0.8389,0.5077,-1270.78,-1270.5,0.3026
BTCUSDT,15m,D,1,2.0,0,0.0,25.0,1,1,0,5921,2.433,0.2493,-0.5019,0.3499,0.1988,0.1229,-4014.69,-4014.5,0.0812
BTCUSDT,15m,D,1,2.0,0,0.0,50.0,0,0,1,14155,5.816,0.6079,-0.0462,1.2953,0.8624,0.5512,-2516.24,-2515.5,0.3433
BTCUSDT,15m,D,1,2.0,0,0.0,50.0,0,0,0,11162,4.586,0.235,-0.4994,0.2923,0.1802,0.1191,-7141.8,-7141.8,0.082
BTCUSDT,15m,D,1,2.0,0,0.0,50.0,0,1,1,7308,3.002,0.5996,-0.0474,1.2914,0.86,0.5507,-1312.0,-1311.7,0.344
