symbol,tf,anchor,entry_level,stop_k,target_mode,rr,min_risk_bps,flow_mode,crowd_mode,revert,trades,tpd,win_rate,avg_r,pf_0x,pf_1x,pf_2x,maxdd_r_2x,total_r_2x,pf_3x
BTCUSDT,15m,D,1,1.0,1,1.0,50.0,0,0,1,7790,3.2,0.4715,-0.2321,0.8961,0.6234,0.4226,-3194.05,-3192.4,0.2686
BTCUSDT,15m,D,1,1.0,1,1.0,50.0,0,0,0,8292,3.407,0.5187,-0.1344,1.0853,0.7598,0.5196,-2568.23,-2564.5,0.3352
BTCUSDT,15m,D,1,1.0,1,1.0,50.0,0,1,1,2538,1.043,0.5102,-0.156,1.0433,0.7275,0.4945,-846.31,-845.0,0.3156
BTCUSDT,15m,D,1,1.0,1,1.0,50.0,0,1,0,2668,1.096,0.4891,-0.1942,0.9607,0.6744,0.463,-985.29,-983.0,0.3006
BTCUSDT,15m,D,1,1.0,1,1.0,50.0,1,0,1,7286,2.993,0.4752,-0.224,0.908,0.6338,0.4312,-2917.31,-2916.2,0.2756
BTCUSDT,15m,D,1,1.0,1,1.0,50.0,1,0,0,7717,3.171,0.5179,-0.1357,1.0795,0.758,0.5204,-2389.34,-2386.2,0.3378
BTCUSDT,15m,D,1,1.0,1,1.0,50.0,1,1,1,2358,0.969,0.5102,-0.1552,1.0421,0.7285,0.4963,-780.95,-780.2,0.3178
BTCUSDT,15m,D,1,1.0,1,1.0,50.0,1,1,0,2471,1.015,0.4881,-0.1963,0.9545,0.6717,0.4628,-916.82,-913.0,0.3022
BTCUSDT,15m,D,1,1.0,1,1.0,100.0,0,0,1,2601,1.069,0.4637,-0.1697,0.871,0.7063,0.5702,-708.7,-707.1,0.4559
BTCUSDT,15m,D,1,1.0,1,1.0,100.0,0,0,0,2805,1.152,0.5219,-0.0494,1.111,0.9033,0.7314,-432.15,-421.6,0.5868
BTCUSDT,15m,D,1,1.0,1,1.0,100.0,0,1,1,866,0.356,0.5023,-0.0889,1.0133,0.8346,0.6849,-163.43,-159.6,0.5578
BTCUSDT,15m,D,1,1.0,1,1.0,100.0,0,1,0,929,0.382,0.4973,-0.0977,0.993,0.8196,0.674,-179.05,-178.3,0.5501
BTCUSDT,15m,D,1,1.0,1,1.0,100.0,1,0,1,2477,1.018,0.4655,-0.1681,0.8732,0.7089,0.5729,-668.48,-668.5,0.4587
BTCUSDT,15m,D,1,1.0,1,1.0,100.0,1,0,0,2657,1.092,0.5243,-0.0468,1.1162,0.9083,0.736,-405.03,-391.5,0.591
BTCUSDT,15m,D,1,1.0,1,1.0,100.0,1,1,1,821,0.337,0.5055,-0.0822,1.0261,0.8459,0.6948,-147.49,-145.3,0.5664
BTCUSDT,15m,D,1,1.0,1,1.0,100.0,1,1,0,874,0.359,0.4966,-0.1008,0.9861,0.8143,0.6702,-172.09,-170.1,0.5476
BTCUSDT,15m,D,1,1.0,1,2.0,25.0,0,0,1,10320,4.24,0.325,-0.3157,0.9338,0.6293,0.4328,-6060.57,-6059.6,0.2958
BTCUSDT,15m,D,1,1.0,1,2.0,25.0,0,0,0,10281,4.224,0.352,-0.2317,1.0722,0.7177,0.4913,-5238.7,-5238.7,0.3343
BTCUSDT,15m,D,1,1.0,1,2.0,25.0,0,1,1,4620,1.898,0.3468,-0.277,1.046,0.6745,0.4456,-2703.12,-2697.2,0.2904
BTCUSDT,15m,D,1,1.0,1,2.0,25.0,0,1,0,4627,1.901,0.3231,-0.3449,0.9454,0.6086,0.4006,-3022.16,-3022.1,0.2594
BTCUSDT,15m,D,1,1.0,1,2.0,25.0,1,0,1,9713,3.991,0.3264,-0.3094,0.9376,0.6351,0.4388,-5607.59,-5606.6,0.3015
BTCUSDT,15m,D,1,1.0,1,2.0,25.0,1,0,0,9573,3.933,0.349,-0.2397,1.0554,0.7087,0.4866,-4935.71,-4930.1,0.3324
BTCUSDT,15m,D,1,1.0,1,2.0,25.0,1,1,1,4280,1.758,0.3502,-0.2644,1.0607,0.6869,0.4555,-2437.99,-2431.5,0.2983
BTCUSDT,15m,D,1,1.0,1,2.0,25.0,1,1,0,4268,1.753,0.3189,-0.3566,0.9261,0.5973,0.3939,-2833.7,-2830.7,0.2557
BTCUSDT,15m,D,1,1.0,1,2.0,50.0,0,0,1,6080,2.498,0.3215,-0.2418,0.9002,0.6929,0.5402,-2536.33,-2534.8,0.4233
BTCUSDT,15m,D,1,1.0,1,2.0,50.0,0,0,0,5914,2.43,0.3549,-0.1309,1.0743,0.8248,0.6421,-1828.82,-1825.9,0.5027
BTCUSDT,15m,D,1,1.0,1,2.0,50.0,0,1,1,2135,0.877,0.3569,-0.1294,1.075,0.8274,0.6453,-657.62,-654.3,0.5059
BTCUSDT,15m,D,1,1.0,1,2.0,50.0,0,1,0,2158,0.887,0.3239,-0.2183,0.9387,0.7231,0.5646,-863.48,-854.0,0.4434
BTCUSDT,15m,D,1,1.0,1,2.0,50.0,1,0,1,5807,2.386,0.3248,-0.233,0.9112,0.7026,0.5486,-2362.67,-2362.7,0.4305
BTCUSDT,15m,D,1,1.0,1,2.0,50.0,1,0,0,5562,2.285,0.3529,-0.1378,1.0617,0.8159,0.6357,-1758.94,-1749.8,0.4981
BTCUSDT,15m,D,1,1.0,1,2.0,50.0,1,1,1,2009,0.825,0.3604,-0.1187,1.0896,0.8406,0.6568,-592.85,-591.1,0.5157
BTCUSDT,15m,D,1,1.0,1,2.0,50.0,1,1,0,1999,0.821,0.3192,-0.2341,0.9148,0.7051,0.5509,-829.81,-821.5,0.4331
BTCUSDT,15m,D,1,1.0,1,2.0,100.0,0,0,1,2157,0.886,0.331,-0.1807,0.8791,0.748,0.6399,-610.68,-610.3,0.5497
BTCUSDT,15m,D,1,1.0,1,2.0,100.0,0,0,0,2062,0.847,0.3637,-0.0562,1.078,0.9165,0.7839,-341.39,-329.4,0.6735
BTCUSDT,15m,D,1,1.0,1,2.0,100.0,0,1,1,737,0.303,0.3623,-0.0719,1.0387,0.8957,0.7763,-132.33,-123.9,0.6752
BTCUSDT,15m,D,1,1.0,1,2.0,100.0,0,1,0,750,0.308,0.3307,-0.1379,0.9354,0.8075,0.7006,-179.21,-175.3,0.6102
BTCUSDT,15m,D,1,1.0,1,2.0,100.0,1,0,1,2075,0.853,0.333,-0.1766,0.8846,0.7535,0.6454,-577.53,-577.5,0.555
BTCUSDT,15m,D,1,1.0,1,2.0,100.0,1,0,0,1972,0.81,0.3651,-0.0612,1.0693,0.9088,0.777,-335.77,-324.4,0.667
BTCUSDT,15m,D,1,1.0,1,2.0,100.0,1,1,1,704,0.289,0.3651,-0.058,1.0597,0.9152,0.7942,-110.72,-107.8,0.6917
